metaphlan	clade	msp
SGB5852	t__SGB5852	msp_0659
SGB6796	t__SGB6796	msp_0160
SGB14874	t__SGB14874	msp_0147
SGB1967	t__SGB1967	msp_0310
SGB14215	t__SGB14215	msp_0729
SGB14294	t__SGB14294	msp_0720
SGB15370	t__SGB15370	msp_0979
SGB9209	t__SGB9209	msp_1079
SGB9223	t__SGB9223	msp_0411
SGB14350	t__SGB14350	msp_1886
SGB6038	t__SGB6038	msp_0289
SGB15234	t__SGB15234	msp_0205
SGB4285	t__SGB4285	msp_0045
SGB380	t__SGB380	msp_0992
SGB14004	t__SGB14004	msp_1246
SGB15148	t__SGB15148	msp_1484
SGB2303	t__SGB2303	msp_0032
SGB6508	t__SGB6508	msp_1226
SGB15078	t__SGB15078	msp_0331
SGB4816	t__SGB4816	msp_0244
SGB1991	t__SGB1991	msp_1158
SGB14857	t__SGB14857	msp_0400
SGB1943	t__SGB1943	msp_0155
SGB4668	t__SGB4668	msp_1939
SGB6176	t__SGB6176	msp_1601
SGB7098	t__SGB7098	msp_1222
SGB14922	t__SGB14922	msp_0631
SGB6334	t__SGB6334	msp_1343
SGB14844	t__SGB14844	msp_0467
SGB14754	t__SGB14754	msp_1159
SGB4183	t__SGB4183	msp_1575
SGB4772	t__SGB4772	msp_1428
SGB4110	t__SGB4110	msp_1738
SGB4828	t__SGB4828	msp_0065
SGB14291	t__SGB14291	msp_0494
SGB6191	t__SGB6191	msp_0792
SGB1831	t__SGB1831	msp_0485
SGB9274	t__SGB9274	msp_0617
SGB9224	t__SGB9224	msp_0201
SGB4867	t__SGB4867	msp_0733
SGB9258	t__SGB9258	msp_0618
SGB4212	t__SGB4212	msp_0451
SGB15224	t__SGB15224	msp_0723
SGB4746	t__SGB4746	msp_0254
SGB1592	t__SGB1592	msp_0568
SGB4031	t__SGB4031	msp_1264c
SGB14113	t__SGB14113	msp_0555
SGB4040	t__SGB4040	msp_0231
SGB14020	t__SGB14020	msp_0982
SGB15202	t__SGB15202	msp_1357
SGB15220	t__SGB15220	msp_1136
SGB14019	t__SGB14019	msp_1316
SGB6444	t__SGB6444	msp_1306c
SGB4289	t__SGB4289	msp_0571
SGB4208	t__SGB4208	msp_0752
SGB2284	t__SGB2284	msp_0711c
SGB1370	t__SGB1370	msp_1989
SGB3683	t__SGB3683	msp_1276
SGB6528	t__SGB6528	msp_1518
SGB47280	t__SGB47280	msp_1677
SGB14809	t__SGB14809	msp_0573
SGB15356	t__SGB15356	msp_0490
SGB19690	t__SGB19690	msp_1280
SGB7045	t__SGB7045	msp_1196
SGB1917	t__SGB1917	msp_0349
SGB7126	t__SGB7126	msp_0890c
SGB10139	t__SGB10139	msp_0209
SGB4651	t__SGB4651	msp_0542
SGB5868	t__SGB5868	msp_1325
SGB5190	t__SGB5190	msp_0258
SGB5909	t__SGB5909	msp_0994
SGB14137	t__SGB14137	msp_0719
SGB4680	t__SGB4680	msp_0358
SGB4108	t__SGB4108	msp_1668
SGB1595	t__SGB1595	msp_1636
SGB14027	t__SGB14027	msp_0432
SGB4788	t__SGB4788	msp_0163
SGB1705	t__SGB1705	msp_0687
SGB6509	t__SGB6509	msp_1322
SGB14948	t__SGB14948	msp_0957
SGB6502	t__SGB6502	msp_0748
SGB5792	t__SGB5792	msp_0131
SGB19429	t__SGB19429	msp_0963c
SGB14247	t__SGB14247	msp_0692
SGB1885	t__SGB1885	msp_1904
SGB1896	t__SGB1896	msp_1982
