mOTU	msp
ext_mOTU_v3_16205	msp_1051
ref_mOTU_v3_07609	msp_1322
ext_mOTU_v3_17396	msp_0017:0.7911720371813206,msp_0126:0.17197070066989686,msp_0259:0.036857262148782585
ext_mOTU_v3_26414	msp_0579
meta_mOTU_v3_12886	msp_0858
ext_mOTU_v3_26423	msp_0970
meta_mOTU_v3_12251	msp_0534
ext_mOTU_v3_15342	msp_0043:0.004195459464165073,msp_1904:0.995804540535835
ref_mOTU_v3_10412	msp_1093
ext_mOTU_v3_26664	msp_0655
ref_mOTU_v3_02810	msp_0003
meta_mOTU_v3_14485	msp_0595
ext_mOTU_v3_17356	msp_0231
meta_mOTU_v3_12334	msp_0596
meta_mOTU_v3_14120	msp_0676
meta_mOTU_v3_12396	msp_0407
ref_mOTU_v3_02401	msp_0739c
ref_mOTU_v3_00856	msp_0107:0.005559406469244926,msp_0674:0.9944405935307551
ref_mOTU_v3_02971	msp_0213
ref_mOTU_v3_07646	msp_0762
ref_mOTU_v3_07745	msp_0734
meta_mOTU_v3_13312	msp_0496
ref_mOTU_v3_05071	msp_0101:0.2776847198957752,msp_1843:0.7223152801042249
ref_mOTU_v3_03681	msp_0164
ext_mOTU_v3_16371	msp_2054
ref_mOTU_v3_03683	msp_0090
ref_mOTU_v3_11851	msp_0986
ext_mOTU_v3_17658	msp_1140
ext_mOTU_v3_17791	msp_1903
meta_mOTU_v3_14318	msp_1246
ext_mOTU_v3_17744	msp_0887
ext_mOTU_v3_18124	msp_0745:0.8969947164519901,msp_0758:0.10300528354800988
ref_mOTU_v3_03477	msp_0061
meta_mOTU_v3_13276	msp_0765
meta_mOTU_v3_13280	msp_0592
ext_mOTU_v3_15387	msp_1656
meta_mOTU_v3_13871	msp_2003
ext_mOTU_v3_26641	msp_1370
ref_mOTU_v3_03955	msp_0662
meta_mOTU_v3_13079	msp_0221
ext_mOTU_v3_17514	msp_1075
ext_mOTU_v3_15389	msp_0058:0.30136581207067675,msp_1891:0.6986341879293232
ref_mOTU_v3_03808	msp_0469c:0.6059201176086488,msp_0878:0.03231766183085968,msp_0916:0.36176222056049145
meta_mOTU_v3_13645	msp_0124
ref_mOTU_v3_03149	msp_0422:0.29385425996245274,msp_0621:0.35878728230652723,msp_1866:0.3473584577310201
ref_mOTU_v3_03635	msp_0493
ref_mOTU_v3_01589	msp_1028c
ref_mOTU_v3_07595	msp_0412
ext_mOTU_v3_16200	msp_1295:0.9768179312358902,msp_1903:0.023182068764109755
ref_mOTU_v3_07717	msp_0642
ref_mOTU_v3_03153	msp_0132
ext_mOTU_v3_28764	msp_0786
ref_mOTU_v3_07629	msp_0540
ref_mOTU_v3_01576	msp_0520c
ext_mOTU_v3_28816	msp_1435
ref_mOTU_v3_05263	msp_0572
ref_mOTU_v3_07652	msp_1260
meta_mOTU_v3_13000	msp_0837
ref_mOTU_v3_07618	msp_0808
ext_mOTU_v3_16233	msp_1318
ref_mOTU_v3_07698	msp_0476
ext_mOTU_v3_26874	msp_1398
ref_mOTU_v3_07722	msp_0825
meta_mOTU_v3_12767	msp_0823
meta_mOTU_v3_14198	msp_1083
meta_mOTU_v3_12470	msp_0489
meta_mOTU_v3_12521	msp_0404
ref_mOTU_v3_03348	msp_1059c:0.9987211164865869,msp_1268:0.0012788835134131887
ref_mOTU_v3_07475	msp_1259c
ref_mOTU_v3_04782	msp_0853c
ref_mOTU_v3_04326	msp_1155
meta_mOTU_v3_14411	msp_1269
ext_mOTU_v3_18033	msp_1160:0.7939377652345236,msp_1180:0.2060622347654763
ref_mOTU_v3_00999	msp_1783
meta_mOTU_v3_14070	msp_0921
ext_mOTU_v3_17691	msp_0532:0.37312874251497,msp_0826:0.6268712574850299
ref_mOTU_v3_03618	msp_0093
ref_mOTU_v3_11219	msp_0601c
ref_mOTU_v3_01939	msp_0313:0.9830287489930686,msp_0742:0.016971251006931275
ext_mOTU_v3_16228	msp_0106:0.469775635116274,msp_0311:0.10266584793574086,msp_0487:0.04750650188310945,msp_1298:0.3800520150648756
ext_mOTU_v3_17940	msp_0448
