	PC1	PC2	PC3
SAMEA2466887	-0.0651744549906313	-0.022149119700574083	0.04510181629031291
SAMEA2466888	-0.04049344039564273	0.03372336872880055	0.10124303010401989
SAMEA2466889	-0.07106322177555657	-0.017129255950047745	0.09973964131261823
SAMEA2466890	-0.049427599428449834	-0.051422020695697346	-0.016789607586993216
SAMEA2466891	-0.06289715639472655	-0.04379164315503803	0.07640548890625126
SAMEA2466892	-0.05425070220283963	-0.0325472936022973	0.07864801771682728
SAMEA2466893	-0.02441462594646704	-0.030271931844303282	0.13018243515362163
SAMEA2466894	-0.015173745402636956	-0.02245285188385082	0.11643676534348829
SAMEA2466895	-0.02458439076512658	-0.07420215325751359	0.012593095774297488
SAMEA2466896	0.01711294868920217	-0.06323373624720727	0.1129069254383041
SAMEA2466897	-0.04591857291683229	-0.0023287826986749653	0.032853868730103646
SAMEA2466898	-0.05591609224223896	0.008093457746410486	0.029632677601878325
SAMEA2466899	-0.05182826888693421	0.061095651413703676	0.08087071720595444
SAMEA2466900	0.056075537892509957	0.008740807100415566	-0.0772049596302779
SAMEA2466901	-0.02824632946599705	-0.017769362313931707	0.06486193185428706
SAMEA2466902	0.049648187919264126	-0.0208520421333697	-0.01769244181348939
SAMEA2466903	-0.04868143430113829	0.04466767813168512	0.02810190494719373
SAMEA2466904	-0.017775652914654053	-0.029766365117769488	-0.07008681334295369
SAMEA2466905	0.02684250636831991	0.00869989147266678	-0.026926189104912894
SAMEA2466906	-0.059439668345203554	-0.025544367150452815	0.026456558866738904
SAMEA2466907	0.06423442107387907	-0.10883573541175895	0.014737551626096686
SAMEA2466908	-0.019312139468676305	0.036277486510687816	0.050731719972134943
SAMEA2466910	-0.012656581741208723	0.053886240065570266	-0.08286480279889337
SAMEA2466911	-0.06220416273102533	0.025585759338325693	-0.00810512699624176
SAMEA2466912	-0.0043695387185638266	-0.036956150700444744	0.12655014420953492
SAMEA2466913	-0.033085472671347295	-0.02168782756106231	-0.023549109463495015
SAMEA2466914	0.004801036137761915	-0.033749335371587315	0.027324649288228794
