	PC1	PC2	PC3
SAMEA2466887	-0.06122973589386622	-0.021523135688376462	0.028385451793795285
SAMEA2466888	-0.033221130694578105	0.03741334109870598	0.0790253136784499
SAMEA2466889	-0.08103976977447713	-0.0009851494452854936	0.06368540815235879
SAMEA2466890	-0.0614733547193483	-0.0485525814527219	-0.06592924327839206
SAMEA2466891	-0.05800528459086478	-0.03650514225860768	0.09085669700361237
SAMEA2466892	-0.05506146804365196	-0.033621611412653074	0.017555856554170524
SAMEA2466893	-0.018724731189124662	-0.029625703125453685	0.0916736546339216
SAMEA2466894	-0.014458761238282514	-0.029816248837049454	0.02943927736626939
SAMEA2466895	-0.03862387932953523	-0.06302666977929414	-0.034532500238748876
SAMEA2466896	0.015606127183871608	-0.06401153168296393	0.06930241872427853
SAMEA2466897	-0.04948121118324008	-0.009689928110150218	-0.037122370152104345
SAMEA2466898	-0.052507778831018544	0.011520288726205844	0.07766239557850749
SAMEA2466899	-0.0420235574323703	0.06563117901050551	0.02148592289295557
SAMEA2466900	0.052146623052537186	0.020228858741631807	-0.0053058282020739585
SAMEA2466901	-0.02473550539921783	-0.020814267881132848	0.02689620073678661
SAMEA2466902	0.042908799376547485	-0.04060029651994098	-0.09067382201513674
SAMEA2466903	-0.053274548144169535	0.03415764820063897	-0.05786613747187927
SAMEA2466904	-0.02162231443300417	-0.025527341773835865	-0.04553432327178766
SAMEA2466905	0.025742090056461893	-0.01139940140865582	-0.08730192129205334
SAMEA2466906	-0.05620595572736167	-0.016854098627631143	0.03722856088883765
SAMEA2466907	0.05237360822996544	-0.11252018150251827	0.030639425941576884
SAMEA2466908	-0.01525025517128964	0.022354626383852588	-0.011067559339949734
SAMEA2466910	-0.017783326387184262	0.04970893395413842	-0.10030368790168714
SAMEA2466911	-0.055034234544769016	0.0228292932364429	-0.020615992621518028
SAMEA2466912	-0.008429242751906723	-0.04841420799667181	0.013517015615992299
SAMEA2466913	-0.0456567079161272	-0.02345285648302954	-0.08920547125011423
SAMEA2466914	0.0031012113724415797	-0.04467163485495178	-0.06006054987189824
SAMEA2466915	0.03163695434412435	-0.07835164310486174	0.06431224983935317
SAMEA2466916	0.0016594424306057706	-0.08378920019575199	0.045747089681109764
SAMEA2466917	0.055502022216793255	-0.1352438275708521	0.06682592958548872
SAMEA2466918	-0.017977660810244718	-0.029544194064591443	-0.05729948508677013
SAMEA2466921	-0.039964725614439395	-0.06626565480844826	0.051598586987904885
SAMEA2466922	-0.004627239030771807	-0.06543900022630733	0.09427014890736307
SAMEA2466923	0.06526867468732755	-0.01741781154061293	0.007365237695819195
SAMEA2466924	-0.0037703458659090645	-0.10632068289847647	-0.034636212164190334
SAMEA2466925	-0.0691710605446465	0.006117514924474293	-0.024425364932290746
SAMEA2466926	0.0487484651852251	-0.05662115705226069	0.09383815409096036
SAMEA2466927	-0.07536498283290033	-0.0765973364108175	0.014246684097899798
SAMEA2466928	-0.00730027651715838	-0.09236849258254587	-0.034194528954578265
SAMEA2466930	-0.0174061165202247	-0.007604635201350267	0.016399085823421818
SAMEA2466931	-0.042215979207822184	-0.002852553644111352	-0.08175484060523673
SAMEA2466932	-0.07178427254020497	0.010649952767229704	-0.04401816238667506
SAMEA2466933	0.07245020880572056	0.029663258638180024	-0.03939975228660426
SAMEA2466934	-0.05031015096572027	-0.05339995982618404	0.08138753404224128
SAMEA2466935	0.032450479082571884	-0.02093491167463303	-0.03704024131817443
SAMEA2466936	0.028371178205010256	-0.08629645147652763	-0.005976937767861888
SAMEA2466937	-0.07395610162254049	-0.018473518524595903	-0.022206343467812483
SAMEA2466938	-0.02421399730847907	-0.015140675207451998	0.05438488924966578
SAMEA2466939	-0.07886959167447473	-0.022682750005520117	-0.021137421698735993
SAMEA2466940	-0.03502075653376053	0.055411225194193045	-0.006255836240210208
SAMEA2466941	-0.004002321278859414	-0.09787354590145035	0.035741701320745854
SAMEA2466942	-0.09092958048443472	-0.002691015705861442	0.09337830839149913
SAMEA2466943	-0.059834068730986636	-0.023881611456280403	0.11183023888296796
SAMEA2466944	0.04512077889326465	-0.054606863075232964	0.05625404520511643
SAMEA2466945	-0.031115349385425022	-0.09142798131871721	0.0074406837690363225
SAMEA2466946	0.010496768596434754	-0.019157497479828735	-0.08528726684279188
SAMEA2466947	-0.07888635006375805	-0.03165099916185711	0.007115794214138214
SAMEA2466948	-0.017589738768296743	-0.03322056014656582	0.04334634204075428
SAMEA2466949	-0.026952809972820468	0.01691405417086191	0.013503212587104713
SAMEA2466950	-0.03709995113325805	-0.01933744092930496	0.08971908056920869
SAMEA2466951	-0.06599359512394523	0.006008176367727784	0.037130941659606925
SAMEA2466952	-0.007339977296350463	-0.026121914201249107	-0.04962957082055318
SAMEA2466953	-0.03861302803904397	0.025547505655381785	-0.050725506885389196
SAMEA2466954	0.01549152075665111	-0.0948833418943172	-0.010673631531260596
SAMEA2466955	-0.0834675215524064	-0.008887056184395066	-0.05971302584325907
SAMEA2466956	0.022308882374657085	-0.11924662248297366	0.06360510324024723
SAMEA2466957	-0.02178321600685142	-0.030437239103688864	0.02213408686951606
SAMEA2466958	0.007489240408360007	-0.09679824386136793	0.0018089488094070675
SAMEA2466959	-0.06868584695747924	0.0033225164073980183	0.06363428469338872
SAMEA2466960	0.0002451990804456972	-0.03154272705260057	0.023326817929191498
SAMEA2466961	-0.016845500075028174	-0.03526756751413369	0.032386594391967914
SAMEA2466962	-0.05713153938631472	0.00043971033123903176	0.09344452632087882
SAMEA2466963	-0.05263797654319132	-0.016845574886815283	0.0829785304390989
SAMEA2466964	-0.08427236332016685	0.034256928461338175	0.036016234499169866
SAMEA2466965	-0.04231518209715522	0.030428964053689302	-0.017167291747228648
SAMEA2466966	0.02699510901097313	-0.05277434167261812	-0.050746372696245406
SAMEA2466967	-0.017020479876991068	0.01793912287273083	-0.03440514301039178
SAMEA2466968	0.028929341537744926	0.07445587591605841	-0.058093949568549304
SAMEA2466969	0.004158595834947931	-0.010047056011910685	0.1274267527024486
SAMEA2466970	0.029521995881781622	0.03790256350723318	-0.05262494509440637
SAMEA2466971	-0.02680199696661148	0.041400315806383536	0.011078279916360812
SAMEA2466972	-0.05689319023408215	-0.033223387037786066	0.06568370596746348
SAMEA2466973	0.0028041804161540737	-0.05998886378134117	0.004017864070926228
SAMEA2466974	-0.05496810023079021	0.013277579983108604	0.021192261419435657
SAMEA2466975	0.026578531617784146	-0.015393878739573144	-0.03787584985756446
SAMEA2466976	-0.05090323767706596	-0.005239609701602908	-0.034192419388712515
SAMEA2466977	-0.05692046750723965	0.02249656815614508	0.03215136274594255
SAMEA2466979	-0.045431469603672205	-0.010008688085943544	-0.06969785105216757
SAMEA2466980	0.03101541408803192	-0.032741435320330844	-0.01141110349156301
SAMEA2466981	0.022383959437480262	-0.03354599980130042	-0.09184289094438047
SAMEA2466983	-0.013900323981053907	-0.01491556871084122	0.1564448545100007
SAMEA2466984	-0.06494609572902862	-0.033220128263875166	-0.015288294093289571
SAMEA2466986	-0.059673262413507795	0.013056427584594103	-0.009090335286022065
SAMEA2466987	0.014550305993592475	-0.14418077853204475	0.03383435270803854
SAMEA2466988	-0.07927718587762334	0.02491453807142524	0.01693353157976537
SAMEA2466989	-0.028395051966175696	-0.057520790819307874	0.09860376377980018
SAMEA2466991	-0.01135388536971228	-0.061697682692375494	-0.01010675624305423
SAMEA2466992	-0.050920412079628996	0.004040568637340908	0.07375507543276451
SAMEA2466993	-0.08026826461139329	-0.005176793053864195	0.0135119061279178
SAMEA2466995	-0.048614850025154685	0.005044039478941317	-0.05312068513017924
SAMEA2466996	-0.0473500592698617	-0.014011394834063275	0.07824933150588279
SAMEA2466997	0.002896284699092951	-0.034523450480526574	-0.09659187086712782
SAMEA2466998	0.06583148698209064	-0.09749504111176874	0.0160976339507199
SAMEA2466999	0.03336271451364698	-0.04581960198196584	-0.0462930910574258
SAMEA2467001	0.05942288124416789	-0.11321214649105102	0.0775468490289524
SAMEA2467002	-0.005091614852275908	-0.09811435509427845	0.04537120746944043
SAMEA2467003	0.016043466953270656	-0.06111792290766088	-0.05175519006146946
SAMEA2467004	0.0024394368448468987	-0.0939384299559199	-0.03926162045872505
SAMEA2467006	-0.019952343515541277	0.014824473280948615	0.13893665016530923
SAMEA2467008	0.006087071788063621	0.009657646258342846	0.08304656694848654
SAMEA2467009	0.09886315314178114	-0.06683660715075401	0.09578914924100004
SAMEA2467010	-0.009938516966017111	-0.09585983962590405	0.028687962649359917
SAMEA2467011	0.03804449270541075	-0.0773353956799209	-0.04877283063518182
SAMEA2467012	-0.04914667749525226	0.0031404572608442513	-0.06609566161811681
SAMEA2467013	-0.022567511126984727	-0.027372906144435626	-0.06079209377290829
SAMEA2467014	0.005511999391577765	-0.05154518203769723	-0.017135753065739945
SAMEA2467015	-0.019432084864371583	0.0012414210052304015	-0.0557274541249452
SAMEA2467016	-0.039447538944321375	-0.019853618341547957	0.013773248629308864
SAMEA2467017	-0.029597641607539527	-0.036089730675379836	0.08670725814370661
SAMEA2467018	0.05761693013283477	0.011012380934203573	-0.05912274333451092
SAMEA2467019	-0.05325301092054585	0.07503355856910869	-0.013199550813852453
SAMEA2467020	-0.03791881646473517	0.03561655308602663	-0.007421743507031247
SAMEA2467021	-0.04649788786779156	-0.00027942512084249994	-0.005549979067450425
SAMEA2467022	-0.06403080822317468	0.003924680717258885	-0.021408703879547335
SAMEA2467023	0.039259736278883205	-0.0017005549992059777	-0.06290372745302507
SAMEA2467024	-0.04857977928519538	-0.024448788779222123	0.13166499266552248
SAMEA2467025	-0.020398724336882813	-0.026594582562740898	-0.08428024585227445
SAMEA2467026	-0.014128725317745373	-0.05024856260698716	-0.10349023117506143
SAMEA2467027	-0.06209655627031946	0.04718726076746609	0.029682073745715173
SAMEA2467028	-0.032289644396248846	0.03040091573173259	-0.008025856045191727
SAMEA2467029	-0.054305862397569155	0.07135632335860453	0.12032459191325671
SAMEA2467030	-0.0006430392158563343	0.06532716370553973	-0.024225234094117237
SAMEA2467031	-0.04488392029744594	0.056226213377497745	0.1183607300478919
SAMEA2467032	0.08566300376351017	-0.042092840336556664	0.037821631916497234
SAMEA2467033	0.039422844935927445	-0.08234427866999076	-0.03272002609672208
SAMEA2467034	-0.0651971770927762	0.0028000424455094813	-0.01158452359584379
SAMEA2467035	-0.07434342323050444	0.02496062188686141	-0.004261196711709077
SAMEA2467036	-0.07389853452564511	-0.01740987319732416	-0.05029506503765948
SAMEA2467037	0.01873941358056996	0.01154579123861048	-0.06629737960815112
SAMEA2467038	0.059759975008599045	-0.11961973709798787	0.009115100741891726
SAMEA2467039	-0.06810434824041575	0.044821603955644496	-0.059669816697984907
SAMEA2467040	0.022522086949621812	-0.033686677748691246	-0.09389440780325153
SAMEA2467041	0.03150310141281738	-0.03717916149359385	-0.04744764424256717
SAMEA2467042	-0.016214449987033717	0.025108058186766737	-0.021763291581170668
SAMEA2467043	0.025313764750635057	-0.11920728889743168	0.034466592730179185
