	PC1	PC2	PC3
SAMEA2466887	-0.05289831280198377	-0.014920686367044874	-0.03978812435160938
SAMEA2466888	-0.02747590409963052	0.0410202989482433	-0.08787025890888328
SAMEA2466889	-0.08821210224711906	0.0008501873670554265	-0.04825607328651582
SAMEA2466890	-0.06708566126046928	-0.049632346940324756	0.05066820547537332
SAMEA2466891	-0.05056133078494614	-0.025811973598693028	-0.10547641974806293
SAMEA2466892	-0.04672108395045858	-0.027705380126800128	-0.0319017832546451
SAMEA2466893	-0.010026421265901688	-0.02504598640901992	-0.10403019258890384
SAMEA2466894	-0.010135517763979042	-0.023813201964119395	-0.03738026156813562
SAMEA2466895	-0.04685986943973582	-0.06365061118177391	0.03830238679419598
SAMEA2466896	0.018470826676089135	-0.0634176262499619	-0.08499019430783994
SAMEA2466897	-0.04233952629085786	-0.005748548182361221	0.024028324373458265
SAMEA2466898	-0.04161931320577259	0.021829209607631565	-0.07937112837564132
SAMEA2466899	-0.04668160915268465	0.06432897706782553	-0.01706491542860542
SAMEA2466900	0.056530246309678164	0.020478748707890265	0.011264129051509007
SAMEA2466901	-0.01777537548265747	-0.01726320934212648	-0.039005114243906486
SAMEA2466902	0.04048192723905356	-0.04277980996233162	0.08742842757509661
SAMEA2466903	-0.05163312653105534	0.03973758990361449	0.0594187866536714
SAMEA2466904	-0.019134695625733212	-0.03043952004374924	0.049097640322064984
SAMEA2466905	0.024704510621716188	-0.007825667651725909	0.07306398833455624
SAMEA2466906	-0.04876695142059901	-0.012322297130203653	-0.047721770159025206
SAMEA2466907	0.0522408772290969	-0.11868683696094891	-0.034297770514746494
SAMEA2466908	-0.008478623729249983	0.02816104679373582	0.0033883276894001928
SAMEA2466910	-0.02165356795607205	0.05323497475894614	0.10599378382733715
SAMEA2466911	-0.05232285904157498	0.029912135090402973	0.01145550883380713
SAMEA2466912	-0.006271492768143519	-0.043574627222243256	-0.023175674717008137
SAMEA2466913	-0.05375529017534384	-0.029764908652085163	0.0874463660189055
