	kraken2 + bracken	metaphlan3	motus3	metaphlan4
SAMEA2466887	89.07374889237602	113.60081744318771	63.430182963509004	71.2350310951193
SAMEA2466888	91.3427842938865	109.33455677755396	68.45752931204429	63.329413358837435
SAMEA2466889	99.37431812970628	147.83999154292522	108.68001404772127	112.58766786724226
SAMEA2466890	88.74554573149578	122.87680102313523	88.40898115906786	89.36938305941484
SAMEA2466891	100.2065030648285	116.01845190992191	72.11425935579244	71.34881468271655
SAMEA2466892	81.32703919624842	108.7255132580794	62.54687404943872	59.51922204084639
SAMEA2466893	98.42197461791186	107.60508813384217	64.2677172027133	59.131056579533464
SAMEA2466894	94.82305116254301	101.88237316499546	64.6447270620915	56.72598192603139
SAMEA2466895	89.63977932835799	105.63977358643595	84.37301633127029	81.70618278133205
SAMEA2466896	91.21112586256069	108.22404947270842	70.99574379013335	63.37958451656461
SAMEA2466897	76.97818587575098	108.51398120543313	72.1902353845939	66.16754394762195
SAMEA2466898	102.81277068877169	128.82116163042983	74.79529720147953	78.68164811649801
SAMEA2466899	85.43271903057217	114.12576170297115	84.34958859306649	77.16018006906228
SAMEA2466900	111.83611329115749	132.1831549443488	96.86254246640577	91.61518919382371
SAMEA2466901	87.63458093457295	98.59863908624267	61.11183606541902	55.27484635237093
SAMEA2466902	81.89377045397649	107.12842967500629	71.07527236959123	65.51638121720056
SAMEA2466903	84.5815367659009	118.55170048539213	80.92981175439671	79.56605967607635
SAMEA2466904	91.19288178320076	128.29811650723994	83.50766426758507	76.90955109663544
SAMEA2466905	90.6850781797611	100.05930814458009	62.23644475797436	51.49806407114105
SAMEA2466906	97.83709469391864	115.68234711917403	67.07684923403303	69.97022403816983
SAMEA2466907	89.37717783922712	114.74641052710349	70.42730209646193	66.71842282440683
SAMEA2466908	89.55913853754754	103.50225920776813	67.67442589459294	62.03382852237983
SAMEA2466910	84.84073142062142	121.62366634162078	84.46536172997594	83.7154622938352
SAMEA2466911	80.33989433332466	112.0116654960848	70.82228438321485	73.24671240529896
SAMEA2466912	79.58053152313545	105.76500514768057	66.48724092552608	63.806659552589906
SAMEA2466913	89.06860632305154	121.40379315693157	93.01219174619047	98.91921368480035
