	PC1	PC2	PC3
SAMEA2466887	0.050793319052354194	-0.02695591989467253	0.0246160473789892
SAMEA2466888	0.0010188861347228961	-0.06405310503177075	-0.046240856568467964
SAMEA2466889	0.024624043006278462	-0.06946791604719013	-0.1018666861549557
SAMEA2466890	0.06097000384022558	0.01141262642687313	0.021473454994352104
SAMEA2466891	0.05060764492193538	-0.01839348746118874	-0.06982169765640281
SAMEA2466892	0.07225470999283033	0.004181810357444027	0.026650649547459104
SAMEA2466893	0.04374714951925739	-0.0657546748178068	-0.07007357524348878
SAMEA2466894	0.05355411515973552	-0.011732137997232175	0.02383022654576028
SAMEA2466895	0.08708178605779303	0.033577787366803336	0.029992874679064543
SAMEA2466896	0.04880694462811226	-0.03475727564252262	-0.08524940415958082
SAMEA2466897	0.051679815789103925	-0.01624511275473228	0.04312233796527008
SAMEA2466898	0.018225674020730217	-0.05181204313982084	-0.006764821257317107
SAMEA2466899	-0.02121132960924952	-0.08516486949740464	0.004669032481818205
SAMEA2466900	-0.04532934821448456	0.016649742125977578	-0.025552470361937297
SAMEA2466901	0.04046537871383981	-0.02851219568512038	0.020392494253891457
SAMEA2466902	0.010304272755815715	0.04118089614685421	0.06802053734936896
SAMEA2466903	0.004371892161439946	-0.07166102028229183	0.0475267487457312
SAMEA2466904	0.01494838056907618	-0.013567398969058998	0.006442035407088288
SAMEA2466905	-0.03705636542077416	-0.02808888663408922	0.05116317632018654
SAMEA2466906	0.06576773032340134	-0.02327058512206776	0.023463567022404496
SAMEA2466907	0.0634883933169957	0.11189747352334205	0.03291808677981658
SAMEA2466908	0.01016609669259662	-0.042076379902919056	0.05924392995485228
SAMEA2466910	-0.04934908057148805	-0.0438238445571072	0.04848594180498744
SAMEA2466911	0.0029628995995561866	-0.05648018718459269	0.02897329103145703
SAMEA2466912	0.048265399202341165	-0.018022031105283352	0.015648144395385675
SAMEA2466913	0.05907414986936043	0.014499965589546717	0.054084800542451815
SAMEA2466914	0.029156268186955072	-0.015180585260894035	0.03953439442913324
SAMEA2466915	0.030146081639612816	0.0410269424206519	-0.08934970410251665
SAMEA2466916	0.07706297856343657	0.02843356454686678	-0.036489198395454114
SAMEA2466917	0.08155764750202724	0.1414184861346214	0.0002267551713309629
SAMEA2466918	0.02769615896868598	-0.015033914482081892	0.04401378391680416
SAMEA2466921	0.08404251318995822	0.01892215536974793	-0.024603611160699885
SAMEA2466922	0.014726327997161769	0.028066130462659065	-0.12272426190057426
SAMEA2466923	0.002234929215072761	0.06111831555011281	0.06325708905598484
SAMEA2466924	0.08770792587859674	0.06008420064589523	0.03946636315605881
SAMEA2466925	0.027749945135300942	-0.01218338447819153	0.036520880220186416
SAMEA2466926	0.023234153698336965	0.018500959924238992	-0.05370344600668229
SAMEA2466927	0.08614632592515606	0.018104234480901333	-0.006269714933176018
SAMEA2466928	0.07261640786580158	0.048512636943511434	0.02650244512327219
SAMEA2466930	0.013864036018346853	-0.005220916733142336	0.011217342530387565
SAMEA2466931	0.013345682628505494	-0.0006667305261466948	0.06992559978841238
SAMEA2466932	0.022226609830583364	0.0002676441896028499	0.02977962385182105
SAMEA2466933	-0.06464095278559723	0.0422903048327991	0.029494337139592486
SAMEA2466934	0.05953939598395126	0.004508540094896819	-0.028798481861285554
SAMEA2466935	-0.020166370761820436	0.00566765170075152	0.03198168165056746
SAMEA2466936	0.06566738897062384	0.09053904372090718	0.027258151352981312
SAMEA2466937	0.06070937670774963	-0.020227842020269615	0.01713154906808735
SAMEA2466938	0.011446623557726599	-0.02693087647492924	-0.1295558442663481
SAMEA2466939	0.04279339561652011	-0.05085819626519222	0.00878470009232939
SAMEA2466940	-0.021586454871592053	-0.03391178632651383	-0.0326244275952174
SAMEA2466941	0.07661679739506905	0.047729839412190396	0.01227444854287946
SAMEA2466942	0.025464835853004592	-0.07106593061762402	-0.06650450805431686
SAMEA2466943	0.030465535955037246	-0.077166816101715	-0.08073314498139739
SAMEA2466944	0.007467498233526727	0.04339398590435429	-0.16780789986532577
SAMEA2466945	0.07344607328939366	0.05511152503238208	-0.011023744046621455
SAMEA2466946	0.002927855314554084	0.0035732370084744095	0.04391030010624508
SAMEA2466947	0.0676204539495099	-0.017287760403898355	0.013853035744523677
SAMEA2466948	0.028753432769427073	0.019533808890775273	-0.030355164625864184
SAMEA2466949	0.019625602856050528	-0.04478096471879281	0.00810259383789623
SAMEA2466950	0.04611824697477106	-0.0690282771730254	-0.09388003282855857
SAMEA2466951	0.032733067172618105	-0.07090789311910878	-0.03366932613423733
SAMEA2466952	0.03968858959314626	-0.029688784245918986	0.052946404152443234
SAMEA2466953	0.025686056796954047	-0.05885387981433996	0.04788763068920461
SAMEA2466954	0.05057305658282152	0.07577983467700412	0.019481556027023096
SAMEA2466955	0.042837155659254	-0.04313812903840661	0.005628658092912538
SAMEA2466956	0.08028630940182677	0.0857970022901197	-0.007928616392322035
SAMEA2466957	0.02947749411674506	0.014073097190909597	-0.007136302367016873
SAMEA2466958	0.07252577496094073	0.07167190158346554	0.021065772095940766
SAMEA2466959	0.02602903390452259	-0.10061173452328283	-0.06685787780534537
SAMEA2466960	0.0202880434807009	0.05107706178947638	-0.06359034619298429
SAMEA2466961	0.05641977826988907	-0.0006527326016505348	-0.038167506013365375
SAMEA2466962	0.024361190123823956	-0.04086190642814758	-0.06286245686291184
SAMEA2466963	0.05627461711837013	-0.026171620479512225	-0.015413364440897217
SAMEA2466964	0.02494810010072732	-0.06816980669197725	-0.018467392999817193
SAMEA2466965	-0.00019491080988313664	-0.08131224318386295	0.0044846608455254115
SAMEA2466966	0.043566798803284096	0.07285507909153582	0.043805453608121554
SAMEA2466967	0.0010089760928513438	-0.026599534026571534	0.06907374891839177
SAMEA2466968	-0.08270650117200648	-0.0031499249814773704	0.02551370863688213
SAMEA2466969	0.009763516604008468	-0.07784106225878945	-0.10798435447028709
SAMEA2466970	-0.055244669420626696	-0.016243081958281384	0.05678647125070887
SAMEA2466971	0.013013670906036848	-0.06618392303438891	0.0210353864853777
SAMEA2466972	0.044184461682510404	0.006211588364038229	-0.03555691662751729
SAMEA2466973	0.03520215721454	0.022083612881427826	-0.007999391833268045
SAMEA2466974	0.014827860101525162	-0.05073384906041042	-0.03806886537318125
SAMEA2466975	0.006749740638121178	-0.004896832739491835	0.05733721150779274
SAMEA2466976	0.03935457256279537	-0.015235730397466314	0.036354991768893806
SAMEA2466977	0.020594263359176586	-0.06207347978257906	-0.026263156547099493
SAMEA2466979	0.035692401199945975	-0.011863765662102899	0.0413122459718847
SAMEA2466980	0.001590240774129793	0.024501447941571036	0.03829233777054199
SAMEA2466981	0.017882876453077342	0.030908556819163827	0.08110722173406519
SAMEA2466983	0.018262948123696852	-0.07407321973675808	-0.10964991577170632
SAMEA2466984	0.02824182603522256	-0.021334307614916642	-0.026196835572699237
SAMEA2466986	0.026888329343368197	-0.03417822837732982	-0.0026465722906052463
SAMEA2466987	0.08360796378754587	0.11245515557392884	-2.043585954276757e-05
SAMEA2466988	0.01766098491381054	-0.07716253991118899	-0.03749110606863174
SAMEA2466989	0.05190797604779583	0.06149097098940852	-0.11939583367214104
SAMEA2466991	0.05075568864694712	0.04326895366780781	-0.00615513074056098
SAMEA2466992	0.025911460430377606	-0.07398249657271906	-0.0896717734838697
SAMEA2466993	0.040405380896421955	-0.026989260434220612	-0.013841144075193051
SAMEA2466995	0.02407117291231744	-0.047784007891600394	0.024976192061692586
SAMEA2466996	0.020210588854666735	-0.0549085851440357	-0.04344068259120556
SAMEA2466997	0.0045227152375625045	0.018286850638405204	0.04290847430878056
SAMEA2466998	0.02844469351923827	0.09947098699174808	-0.04065642711456968
SAMEA2466999	0.039944854767557436	0.03118705751791023	0.03855702482487486
SAMEA2467001	0.07009539238994392	0.1338655276220507	-0.026887932301798548
SAMEA2467002	0.07079924631234465	0.07974366344553668	-0.012328923987508704
SAMEA2467003	0.008844680198729561	0.030025580665652613	0.034273108625416195
SAMEA2467004	0.058795824954314714	0.07214125122367468	0.035639662729403866
SAMEA2467006	0.003774757547708086	-0.09164504640294374	-0.10098401302299194
SAMEA2467008	-0.005060593885746118	-0.08253679259377898	-0.061982514445806096
SAMEA2467009	-0.011322831755908185	0.08988653629985341	-0.10853973699838358
SAMEA2467010	0.07507933014348864	0.035679560768129635	0.012674671892930424
SAMEA2467011	0.023367299313857982	0.07462083409352012	0.08087020932538634
SAMEA2467012	0.03736187208911366	-0.026488873128764055	0.063546337028371
SAMEA2467013	0.036781552627779095	0.007712850684411255	0.029366465650161475
SAMEA2467014	0.021944134718114752	0.05560128029159061	0.031210893516575567
SAMEA2467015	-0.019819664365253484	-0.04367194658308897	0.03051990096959623
SAMEA2467016	0.03353989068369438	-0.03281532536410904	-0.1057708966127571
SAMEA2467017	0.042037439794030275	-0.009994900136081853	-0.0743940470501135
SAMEA2467018	-0.058588855343025124	0.03685458893894949	-0.047872954647643816
SAMEA2467019	-0.031158146670420765	-0.0676768880998135	9.72005323681007e-05
SAMEA2467020	0.015552263597004266	-0.06808450841864035	0.01574550853810548
SAMEA2467021	0.031947446848488235	0.014497412535508227	0.053282115492572585
SAMEA2467022	0.01689980728021375	-0.06596888671424808	0.0344979122942438
SAMEA2467023	0.012902379259950138	0.002300800101761633	0.08544295430705863
SAMEA2467024	0.04567407166807941	0.01925284130590144	-0.06485380785998768
SAMEA2467025	0.01344215332030119	-0.018173306479133264	0.059234867663567295
SAMEA2467026	0.0334767188461119	0.017678684297713618	0.06386013068787812
SAMEA2467027	0.006284635158795392	-0.028009551771316744	0.004099111816258785
SAMEA2467028	0.00952292248095516	-0.0419885002464509	0.047258768089943115
SAMEA2467029	-0.008557995927221094	-0.09756875595724637	-0.07962241812769075
SAMEA2467030	-0.06560886903173853	-0.02880381994874606	0.028058210897133822
SAMEA2467031	0.0014941519120708166	-0.08392924782303178	-0.08677330384171442
SAMEA2467032	0.012244971745905022	0.1258253042612823	0.011862669972143717
SAMEA2467033	0.05460556895632542	0.09643839376769768	0.008972265572241114
SAMEA2467034	0.030480858160837426	-0.04580225068045488	-0.0030307871971454944
SAMEA2467035	0.015085192061453721	-0.03862867192208599	-0.07128139755631427
SAMEA2467036	0.05193276307457287	0.00183790234104808	0.024419521126438092
SAMEA2467037	0.003723775497669674	-0.0033305494375356513	0.06771486169421766
SAMEA2467038	0.04923359127741449	0.13095257379613692	0.017447526315726967
SAMEA2467039	-0.0013414937225198192	-0.04310272178339064	0.03664163004709998
SAMEA2467040	0.016134374555736335	0.018290725146241898	0.062253799854758235
SAMEA2467041	-0.006326823184286415	0.03986014990866853	0.027269341248629987
SAMEA2467042	-0.015852166088809995	-0.008755937875371171	0.02259864892295963
SAMEA2467043	0.07567301122342475	0.10495555653807101	-0.02303727714112167
SAMEA2467044	0.03263025297379565	-0.09383179984937996	-0.05522283145409105
SAMEA2467045	0.05310388372646611	0.01601948455014265	0.054431258707931265
SAMEA2467046	0.04766268146273635	-0.05086803378219485	0.0024816422814356756
SAMEA2467047	0.07689351685084617	0.09347798397139188	0.03038810471851627
SAMEA2467048	0.05721483328389849	0.055193856811666185	0.0012474982958648804
SAMEA2467049	0.06722214951659883	-0.002583728555014096	0.04097631956787669
SAMEA2467050	0.05425592205865753	-0.006667673910830544	0.006857051962669422
SAMEA2467051	0.08340169014798998	0.0757147381289405	0.022020041985996112
SAMEA2467052	0.05499951007251376	0.006113707018439404	0.005066298923857447
SAMEA2467053	0.019697300647220015	-0.06216038268965479	-0.09646773930284026
SAMEA2467054	0.04574301691209763	-0.05608670549605738	0.005816296701340313
SAMEA2467055	0.027340525032376113	-0.04636628958446018	0.0021960847262480995
SAMEA2467056	0.03559174174304355	-0.003470476671403378	0.04984649654420713
SAMEA2467057	0.01241960750666669	-0.0764422100983824	-0.0729352171097508
SAMEA2467058	0.06725591969139681	0.0038044293195673966	0.03735334037491134
SAMEA2467059	0.06437000872713242	0.07341769629593531	0.056414155515945086
SAMEA2467060	0.05158110097229458	0.028186414884938418	0.017201652793099882
SAMEA2467061	0.016979285273641127	-0.0839166848506489	0.007582348701249362
SAMEA2467062	0.026531867250079173	-0.03702646985279673	-0.09046155581104183
SAMEA2467063	0.05627503789691384	-0.004818518897274148	0.010023512160021278
SAMEA2467064	0.06371125519939189	0.03205364152236497	0.04312234855220684
SAMEA2467065	0.03209719494014029	0.006669734124844823	0.04228510472438966
SAMEA2467066	0.06112309919548214	0.06168339136692051	0.01748914881715968
SAMEA2467067	0.05621440355807015	0.002430224253273065	0.014664858336302695
SAMEA2467068	0.07443751039475945	0.12129857449441285	0.02028766311669879
SAMEA2467069	0.06749738207826869	0.01993925258755865	0.05327248733661116
SAMEA2467070	0.016657513619721037	-0.0005435767276150184	0.05119438210055051
SAMEA2467071	0.05846986045897295	0.004819960919834867	0.05457504807197637
SAMEA2467072	0.018228965469005598	-0.02677327282807717	0.029385020581933374
SAMEA2467073	0.04966673609934015	-0.011179201830944034	0.0033445723980358956
SAMEA2467074	0.02918062814850768	-0.05755835897595937	-0.029916834552220013
SAMEA2467075	0.0644294552321533	0.018576150786259273	0.054153833912222143
SAMEA2467076	0.07584368014620621	0.00608079439022479	0.02935683558863754
SAMEA2467077	0.04453009698712943	0.03140525412679763	0.03970089428942176
SAMEA2467078	0.05920093861735805	-0.029555736421187587	0.044178746033178715
SAMEA2467079	0.06416716897947386	0.07398445686997578	0.03665096618665443
SAMEA2467080	0.04314394823739612	-0.03642424496884223	0.04721688485528036
SAMEA2467081	0.07151214422519102	0.023377665321399906	0.054564547841762505
SAMEA2467082	0.052074712887480765	0.009694739011737695	-0.04663092317680461
SAMEA2467083	0.04298868654519563	-0.03752159203348605	0.013509930854414398
SAMEA2467084	0.041326450881119005	-0.005151980477248707	0.052669043287030565
SAMEA2467085	0.05357776329799069	0.037285535407395605	0.07094605533644217
SAMEA3136623	-0.09415134861439284	0.0015283519296689894	0.05816100511861647
SAMEA3136624	-0.07975940388020303	0.0200232896996299	0.019258712282630385
SAMEA3136625	-0.07085233647217075	-0.044301402747497005	0.003649807193164464
SAMEA3136626	-0.08969476844105001	0.04571902742346125	0.028466414687360185
SAMEA3136627	-0.015917648101496408	-0.030663844743244507	-0.01743073537343812
SAMEA3136628	-0.09980042588487516	0.031156082676643458	-0.05379617761929091
SAMEA3136629	0.011917002332971053	-0.014238007896217196	0.0436225561822717
SAMEA3136630	-0.06762124565127184	-0.048097904599086666	0.020447330891415073
SAMEA3136631	-0.09531268395452402	0.02302550876280557	0.03656223079435698
SAMEA3136632	-0.034071030814550506	-0.07780246093953957	-0.03677725585815226
SAMEA3136633	-0.10945080236259419	0.0763960172011253	-0.08420478972558089
SAMEA3136634	-0.04432095518253887	-0.058203428357992464	-0.0245268971107668
SAMEA3136635	-0.10481929639267898	0.09591990214780867	-0.01962724195325618
SAMEA3136636	-0.0959190057384626	0.08293849653755533	-0.002744194709681469
SAMEA3136637	-0.10863466122127412	0.017996612290135383	0.01258750321660126
SAMEA3136638	-0.05586727338387454	-0.03876149287735508	0.05782821935309991
SAMEA3136639	-0.10497217462108265	0.06654892801441789	0.0062555348777897524
SAMEA3136640	-0.05174918734589893	0.05533010118992417	-0.019892693296759342
SAMEA3136641	0.03048547559045939	-0.020930749225712728	0.03434493061964929
SAMEA3136642	-0.012767364349482918	-0.06319216602265418	-0.03923796983237117
