	PC1	PC2	PC3
SAMEA2466887	-0.035536620484356914	0.05506322468327915	-0.015486005509728859
SAMEA2466888	0.004078382411551451	0.0310322764549959	0.06377852782330323
SAMEA2466889	-0.027128002602651247	0.022951456868489796	0.11468182282761247
SAMEA2466890	-0.06104625205172748	-0.0034407273000791605	-0.012363343350139888
SAMEA2466891	-0.045916977121773075	-0.005799808901744308	0.07758051793869414
SAMEA2466892	-0.06679442261533523	0.020798643493890157	0.0021418333766350384
SAMEA2466893	-0.045179160133575993	0.031008219421574182	0.0612205916414581
SAMEA2466894	-0.053140407941089755	0.019291643617355234	-0.019029785680851452
SAMEA2466895	-0.09705903883783629	-0.024994652430623324	-0.04448405077406392
SAMEA2466896	-0.040792863098568936	-0.003352688631991661	0.10330672528647894
SAMEA2466897	-0.04439423305099028	0.04752377514685751	-0.012831788746865094
SAMEA2466898	-0.016229624406640056	0.032744325200889934	0.04422430052842391
SAMEA2466899	0.031672303741173795	0.08088581123963513	0.0381273008770015
SAMEA2466900	0.058359246199603775	-0.019460708830793802	-0.016851037662759385
SAMEA2466901	-0.03679013413704046	0.04305377857741619	0.004178486027697512
SAMEA2466902	-0.03352144589915166	0.006270653895372728	-0.07841712006930528
SAMEA2466903	-0.0015842738711453843	0.08470335275872111	-0.01941898464702795
SAMEA2466904	-0.015901578348173677	0.02593935782050283	-0.009134751704002133
SAMEA2466905	0.027724012472173036	0.05984145337955705	-0.018069809299522052
SAMEA2466906	-0.06259208304670985	0.03928521074921215	0.015117340697779237
SAMEA2466907	-0.07580904263359467	-0.06399973315374197	-0.0650397002829411
SAMEA2466908	-0.007719656451154663	0.05804751342742481	-0.03919619237639573
SAMEA2466910	0.06876660593278539	0.04865540535879499	-0.05526180197855134
SAMEA2466911	-0.006427814784748692	0.07149053808909532	0.000327000144102643
SAMEA2466912	-0.04264565015564628	0.028572143643443765	0.013713249614170692
SAMEA2466913	-0.07166143162958263	0.005721616673036331	-0.052937617200844056
SAMEA2466914	-0.02896531243689036	0.03626091189335559	-0.025648938068770274
SAMEA2466915	-0.03382872465069687	-0.04006669099832338	0.01930511733969721
SAMEA2466916	-0.07634401302766465	-0.039864657406204845	0.03209304433897872
SAMEA2466917	-0.08419873766272744	-0.1057812161176919	-0.07803404390310442
SAMEA2466918	-0.017428332278181965	0.04695593259027384	-0.008778446547046875
SAMEA2466921	-0.09202980042451735	-0.019574762598639887	0.0256668225910911
SAMEA2466922	-0.015573872142245091	-0.06974565687258397	0.08500011781698909
SAMEA2466923	-0.011741626813110438	-0.015426930485700374	-0.08751242618834759
SAMEA2466924	-0.09597413385547875	-0.02819897115880085	-0.05461587722480974
SAMEA2466925	-0.03464591262358449	0.026671133657094365	-0.01620843851223387
SAMEA2466926	-0.0124878504571338	-0.025390580512999007	0.04843100239035149
SAMEA2466927	-0.08799382184155952	-0.0088840463656819	0.015523722531896446
SAMEA2466928	-0.07634259716840239	-0.019373153239355304	-0.040150569330229806
SAMEA2466930	0.007534109222341278	0.01414995087754229	0.0019480031100894573
SAMEA2466931	-0.013389203114133514	0.04090478337860234	-0.0811506120731888
SAMEA2466932	-0.025689114047141984	0.0209222679636924	-0.011143855456090859
SAMEA2466933	0.05087152028217908	-0.016127253531046038	-0.033465399667485005
SAMEA2466934	-0.060131907999577655	-0.003223574976861245	0.004839520782415895
SAMEA2466935	0.014454363956553983	0.0417880199400123	-0.02256195628069695
SAMEA2466936	-0.07351615884005536	-0.05795071024961233	-0.06641263037427475
SAMEA2466937	-0.0650718974401085	0.014195377656340078	0.0021806661056218875
SAMEA2466938	0.005249266059962083	-0.024400242797429916	0.12516569499189484
SAMEA2466939	-0.04244759307570303	0.039578234084939816	0.0038498173785631775
SAMEA2466940	0.03227698685459379	0.013974076626136575	0.05248118899737834
SAMEA2466941	-0.08196876475223266	-0.032584738633736385	-0.03188595388488497
SAMEA2466942	-0.023329811386412463	0.026545584691649735	0.1142042935463275
SAMEA2466943	-0.028768857594480116	0.016698751829693003	0.11269332579073153
SAMEA2466944	0.004608589423839099	-0.09845911026509627	0.1265879915079112
SAMEA2466945	-0.08280092807553822	-0.049773394439983326	-0.00700726411812376
SAMEA2466946	0.01113496227453449	0.029077129882424183	-0.04809926872150573
SAMEA2466947	-0.07027225461755746	0.018748509781618954	0.02586979672198839
SAMEA2466948	-0.02888764814069105	-0.039565396443838705	0.0069944718882908215
SAMEA2466949	-0.005981314608728847	0.05925575829035654	-0.003067970524742147
SAMEA2466950	-0.03833930381732579	0.008078121500460706	0.13118390334719904
SAMEA2466951	-0.029725050181683244	0.04577815003324526	0.07372109139966554
SAMEA2466952	-0.0427117480198235	0.05499322181041634	-0.027087185318293378
SAMEA2466953	-0.027073853452116863	0.07123619579294725	0.000845317731899917
SAMEA2466954	-0.059505741228477085	-0.06513720731867803	-0.037655234707807614
SAMEA2466955	-0.045793747154814386	0.044058316169483254	0.026252330264835956
SAMEA2466956	-0.08327679702088546	-0.06371433132647807	-0.027357664503340044
SAMEA2466957	-0.023848442578668305	-0.011885085575321827	-0.0011558095889221728
SAMEA2466958	-0.07496807250332453	-0.043867528764178	-0.048951762483287274
SAMEA2466959	-0.01648019932598652	0.06693655848026087	0.11321095293028194
SAMEA2466960	0.0016491836622409169	-0.06523804338829582	0.00405257490912256
SAMEA2466961	-0.042659905911497875	-0.013304796890508	0.0321902573550031
SAMEA2466962	-0.011921594359849406	-0.006452004813844376	0.060452306344527626
SAMEA2466963	-0.05365288436783672	0.012444828389733473	0.03779812836281279
SAMEA2466964	-0.025018044965807645	0.04601888942609648	0.05478510689862509
SAMEA2466965	0.013771780011044897	0.07988723986693438	0.03377040502436096
SAMEA2466966	-0.0463950149073105	-0.04080497692161814	-0.06857540700350835
SAMEA2466967	-0.020194952346693155	0.05821858257304602	-0.0395791900753383
SAMEA2466968	0.09028625714494044	-0.010015821525168826	-0.029948539426666847
SAMEA2466969	0.0046191284419624425	0.020883445854175495	0.12917202296815386
