	PC1	PC2	PC3
SAMEA2466887	0.04871568847690003	0.026051984968710976	-0.018822233897616468
SAMEA2466888	0.01212729226524023	0.0588489709434441	0.049378096999243795
SAMEA2466889	0.03964806199132542	0.04668703193765912	0.11201772143097
SAMEA2466890	0.06068128810563109	-0.011666350867510111	-0.014827548978525007
SAMEA2466891	0.057757533716053334	0.016370969034896654	0.0688323363553594
SAMEA2466892	0.07484909164801568	-0.01190179792878815	-0.021589634164560723
SAMEA2466893	0.054339378754142624	0.0350464303715481	0.06648376184271748
SAMEA2466894	0.05494666495860193	0.008143797448955187	-0.02072582248318977
SAMEA2466895	0.08615911985234677	-0.03153388463387365	-0.03574673148662211
SAMEA2466896	0.055030639520382944	0.00402018636904246	0.09411774941147995
SAMEA2466897	0.05055646302636032	0.01872674731304912	-0.053174217826087306
SAMEA2466898	0.025859614868881105	0.04442559272949167	0.04035977351588281
SAMEA2466899	-0.004912427146828075	0.07569726353069282	-0.005059258147644232
SAMEA2466900	-0.04523726605056004	-0.007468365910971767	0.024707722266329453
SAMEA2466901	0.04226085767795757	0.022264897183464433	-0.008897112026705655
SAMEA2466902	0.004380602208232492	-0.049375353572303556	-0.08405310633609037
SAMEA2466903	0.016045244336875906	0.061239162757082494	-0.05348403534200018
SAMEA2466904	0.01588650975817915	0.009065163686903396	-0.009211163614365928
SAMEA2466905	-0.02959406516223427	0.0217410041970584	-0.0652789648606531
SAMEA2466906	0.07274756137921203	0.017289758291050217	-0.009955701126609038
SAMEA2466907	0.03765121473886803	-0.11833604521700361	-0.03471167941791041
SAMEA2466908	0.01357546410120807	0.04110056827010577	-0.05993670820912439
SAMEA2466910	-0.043569954876915035	0.047049349204065546	-0.0430630235906962
SAMEA2466911	0.013153952977078984	0.0533337751574861	-0.03222501829346873
SAMEA2466912	0.05397280415674341	-0.0016683940735333694	-0.019639801585952483
SAMEA2466913	0.055089612834529976	-0.012180995399053091	-0.06459105153560327
SAMEA2466914	0.027016581895464013	0.006544938855716896	-0.04235789428320597
SAMEA2466915	0.018827856558815914	-0.03026291352172076	0.09290812658772112
SAMEA2466916	0.0785744293332894	-0.047368228141961094	0.053310467642365494
SAMEA2466917	0.06282390818637451	-0.155821487098433	-0.004053627331974303
SAMEA2466918	0.02759584250419141	0.008089860171883722	-0.046289665735867555
SAMEA2466921	0.08611135577781526	-0.031038583457875607	0.044516733215535405
SAMEA2466922	0.024468519034978976	-0.03440335242476631	0.10776200491692767
SAMEA2466923	-0.01846737801617459	-0.07310847382865793	-0.0692603991752875
SAMEA2466924	0.08504693423782594	-0.08317780000563298	-0.0593836357607724
SAMEA2466925	0.020972372358385352	0.0261503857641347	-0.01633449691999595
SAMEA2466926	0.024028443215739347	-0.026756702644481375	0.0692480687429922
SAMEA2466927	0.09211539790741724	-0.03441267686977683	0.007569924831250447
SAMEA2466928	0.07076869191899873	-0.06626385710070926	-0.03440392135673794
SAMEA2466930	0.002026377417230287	0.015099371583159833	0.01897500938240058
SAMEA2466931	0.0075875598080494475	0.0027109245833058515	-0.07518323146478952
SAMEA2466932	0.018120328440265288	0.025395906463746606	-0.014924186456128771
SAMEA2466933	-0.07100297801757417	-0.0413422593617455	-0.006106962462372626
SAMEA2466934	0.05979157906080358	-0.01549566754420296	0.05733337281053504
SAMEA2466935	-0.026528931086695535	-0.012362914018115827	-0.03645325366019818
SAMEA2466936	0.04103710059816148	-0.08887573953230667	-0.043619682351951156
SAMEA2466937	0.06464337119166717	0.021883199186424254	-0.023073934220562316
SAMEA2466938	0.0191542297990707	0.02273777879951163	0.07610467516433225
SAMEA2466939	0.057932009879174	0.04028396218129035	-0.009035841763676583
SAMEA2466940	-0.011937578131352065	0.04139706359060035	0.02453236510078596
SAMEA2466941	0.07648599495579872	-0.06527158930200086	-0.02290235188691646
SAMEA2466942	0.041693155618218715	0.06031721822761482	0.09708500941980326
SAMEA2466943	0.04469328054869852	0.06074978732483574	0.09523941933024312
SAMEA2466944	0.006646691769697666	-0.043332322814797083	0.10292297558073119
SAMEA2466945	0.07360393572084908	-0.068549459691475	0.026852087442437483
SAMEA2466946	-0.006450392440773186	0.0014652967111450305	-0.07373082510485579
SAMEA2466947	0.06738780682215764	0.02685603603721775	-0.004693852533017765
SAMEA2466948	0.02896598738388381	-0.023766992588198844	0.03719846684721442
SAMEA2466949	0.021679734577617252	0.04273353881839358	-0.02263458902377324
SAMEA2466950	0.05792120638625751	0.042780357177509123	0.10675083041097859
SAMEA2466951	0.04338702303690623	0.06502782621545287	0.03566844409237409
SAMEA2466952	0.04676906679400876	0.013883212859300196	-0.07670993964311952
SAMEA2466953	0.03406212084503724	0.053100751556385044	-0.04780201449907867
SAMEA2466954	0.04206742087581471	-0.08538884424560572	-0.011738947010615574
SAMEA2466955	0.05131225294416979	0.040626848436549776	-0.00398533502405771
SAMEA2466956	0.07530116269003682	-0.10385079867451837	0.011797463707367057
SAMEA2466957	0.0201333838705092	-0.014177818869045828	0.006647059775832818
SAMEA2466958	0.06600814182853729	-0.08738456112317258	-0.019910453065983092
SAMEA2466959	0.045977035199632116	0.07174438891665896	0.07230045090529442
SAMEA2466960	0.009301871112902392	-0.04034793228613352	0.06879348971507918
SAMEA2466961	0.04958395956075079	-0.0027549456977445006	0.058597418888763284
SAMEA2466962	0.03230013549028179	0.031189902742886216	0.0809858977679719
SAMEA2466963	0.0574739570953684	0.022303325127824163	0.02130180118986369
SAMEA2466964	0.03180350117480081	0.0646242877555646	0.0381355065178724
