	PC1	PC2	PC3
SAMEA2466887	0.047056369201643536	0.029893287154108796	-0.016357751772721665
SAMEA2466888	0.007795096301628002	0.05580804565309669	0.0435750110994923
SAMEA2466889	0.032395480700742274	0.04973036619223349	0.10109533075658791
SAMEA2466890	0.06003947768242612	-0.014435276707566502	-0.010400869473200958
SAMEA2466891	0.05649299711636407	0.01578729936763168	0.06669644482076352
SAMEA2466892	0.07522069733594354	-0.0071574731350723675	-0.024073294631103304
SAMEA2466893	0.05157595876165592	0.04063345867490892	0.05224247730705123
SAMEA2466894	0.05584289465899352	0.0033270000336639988	-0.029343901547411955
SAMEA2466895	0.08943134520823844	-0.03862687944728743	-0.031032355704476516
SAMEA2466896	0.053697308606102175	0.009258012113902196	0.0732285243904147
SAMEA2466897	0.05176374305909145	0.018426514442051057	-0.052272477912630816
SAMEA2466898	0.021603504715013846	0.04999177931377029	0.0397946284220101
SAMEA2466899	-0.013078150730647211	0.07837121723029007	-0.01570678167244587
SAMEA2466900	-0.0426604793901961	-0.010744136584040229	0.03193151207540735
SAMEA2466901	0.04199076810694331	0.025710802338055564	-0.01124155115108896
SAMEA2466902	0.0013511376683574584	-0.046147479653143475	-0.07756517057855498
SAMEA2466903	0.011873804405337869	0.06821688854872224	-0.05219471729661979
SAMEA2466904	0.015416261767856388	0.010840635767971923	-0.003498474177746886
SAMEA2466905	-0.03188266457777951	0.022269458151063334	-0.0650739287007076
SAMEA2466906	0.06899891105559229	0.023773931179959972	-0.0070577112539830095
SAMEA2466907	0.04665048586638608	-0.1218601660672261	-0.03611812278773614
SAMEA2466908	0.012280782916138077	0.04132209257701527	-0.06529037983778115
SAMEA2466910	-0.04409084316796931	0.047231117698757104	-0.05028766098023655
SAMEA2466911	0.011303095551119063	0.0593867385235245	-0.030012095437411387
SAMEA2466912	0.05170829672090677	0.005843439500657211	-0.01887288508939919
SAMEA2466913	0.060154342715619306	-0.01776344085718311	-0.06363075230536978
SAMEA2466914	0.030166458740307926	0.009193146248063326	-0.05173118104252249
SAMEA2466915	0.022635987301803405	-0.03395273466352025	0.09397162751459094
SAMEA2466916	0.07849298819064976	-0.047993076635513096	0.03866217399754223
SAMEA2466917	0.07048651554794975	-0.15387401087414831	0.0015681989536497078
SAMEA2466918	0.024809877374745132	0.015381007075998767	-0.04856578554525663
SAMEA2466921	0.08726916589656779	-0.03457391509870767	0.03119672989090039
SAMEA2466922	0.023138770786298675	-0.03065024371675198	0.11819447888460574
