,simulation,kraken2 + bracken,metaphlan3,motus3,metaphlan4
SAMEA2466887,473,677,186,435,424
SAMEA2466888,428,626,141,388,373
SAMEA2466889,890,892,206,668,578
SAMEA2466890,689,784,192,561,517
SAMEA2466891,451,719,168,407,404
SAMEA2466892,436,599,170,411,393
SAMEA2466893,320,563,136,300,296
SAMEA2466894,375,610,146,347,343
SAMEA2466895,512,657,143,394,365
SAMEA2466896,297,485,122,271,263
SAMEA2466897,535,688,176,473,454
SAMEA2466898,486,725,154,447,429
SAMEA2466899,622,779,192,534,513
SAMEA2466900,508,631,141,413,368
SAMEA2466901,379,590,154,357,354
SAMEA2466902,496,653,170,425,409
SAMEA2466903,672,788,187,555,555
SAMEA2466904,637,820,200,550,542
SAMEA2466905,436,653,161,393,389
SAMEA2466906,412,656,156,386,372
SAMEA2466907,298,465,119,262,248
SAMEA2466908,403,626,148,370,356
SAMEA2466910,715,808,198,585,550
SAMEA2466911,549,727,177,479,487
SAMEA2466912,436,580,153,375,366
SAMEA2466913,717,817,187,559,499
SAMEA2466914,496,603,179,417,415
SAMEA2466915,343,520,123,326,293
SAMEA2466916,434,604,162,373,346
SAMEA2466917,242,376,90,182,170
SAMEA2466918,522,661,175,451,431
SAMEA2466921,450,634,165,392,398
SAMEA2466922,316,508,97,286,280
SAMEA2466923,285,646,126,263,251
SAMEA2466924,474,543,135,363,308
SAMEA2466925,690,812,191,592,569
SAMEA2466926,243,487,128,227,214
SAMEA2466927,722,796,192,541,500
SAMEA2466928,569,603,138,409,350
SAMEA2466930,444,679,169,422,411
SAMEA2466931,677,773,178,544,503
SAMEA2466932,776,854,203,617,569
SAMEA2466933,491,659,158,410,370
SAMEA2466934,537,747,180,483,470
SAMEA2466935,524,659,165,446,425
SAMEA2466936,471,555,123,339,292
SAMEA2466937,582,776,173,495,478
SAMEA2466938,582,720,196,482,442
SAMEA2466939,575,762,155,509,498
SAMEA2466940,743,1022,208,602,538
SAMEA2466941,437,615,159,353,341
SAMEA2466942,610,817,186,552,539
SAMEA2466943,423,655,156,390,376
SAMEA2466944,369,613,149,300,302
SAMEA2466945,535,731,185,466,457
SAMEA2466946,784,747,154,519,416
SAMEA2466947,516,705,166,459,449
SAMEA2466948,442,647,153,384,384
SAMEA2466949,466,643,166,407,424
SAMEA2466950,348,546,125,318,313
SAMEA2466951,526,728,193,464,475
SAMEA2466952,407,583,142,372,359
SAMEA2466953,473,623,164,431,428
SAMEA2466954,437,598,135,368,355
SAMEA2466955,885,911,202,653,598
SAMEA2466956,221,440,100,201,200
SAMEA2466957,642,695,184,490,438
SAMEA2466958,438,582,161,372,349
SAMEA2466959,527,692,182,482,473
SAMEA2466960,634,770,187,494,460
SAMEA2466961,460,637,165,417,393
SAMEA2466962,513,779,169,457,447
SAMEA2466963,477,712,165,431,416
SAMEA2466964,678,872,185,592,580
SAMEA2466965,698,809,190,565,507
SAMEA2466966,523,655,157,400,367
SAMEA2466967,430,626,144,380,381
SAMEA2466968,622,666,164,489,450
SAMEA2466969,318,511,124,287,286
SAMEA2466970,570,735,159,467,403
SAMEA2466971,416,600,157,388,385
SAMEA2466972,665,852,212,584,560
SAMEA2466973,478,681,147,436,414
SAMEA2466974,557,750,198,502,500
SAMEA2466975,359,586,162,323,325
SAMEA2466976,500,726,176,461,451
SAMEA2466977,624,927,185,531,509
SAMEA2466979,708,789,205,555,524
SAMEA2466980,420,772,164,376,376
SAMEA2466981,594,696,166,454,407
SAMEA2466983,291,544,107,263,268
SAMEA2466984,784,898,233,672,633
SAMEA2466986,613,822,200,542,523
SAMEA2466987,556,535,121,352,278
SAMEA2466988,602,806,174,527,523
SAMEA2466989,427,637,140,380,365
SAMEA2466991,425,629,159,378,374
SAMEA2466992,637,748,184,524,488
SAMEA2466993,584,761,173,510,495
SAMEA2466995,626,745,196,531,514
SAMEA2466996,608,782,209,533,513
SAMEA2466997,624,752,164,499,464
SAMEA2466998,310,494,129,266,261
SAMEA2466999,444,671,152,373,355
SAMEA2467001,241,471,107,202,200
SAMEA2467002,377,599,119,348,325
SAMEA2467003,615,696,176,484,435
SAMEA2467004,505,640,174,423,409
SAMEA2467006,379,580,141,349,350
SAMEA2467008,438,633,170,394,366
SAMEA2467009,195,357,63,164,145
SAMEA2467010,332,459,130,306,296
SAMEA2467011,416,571,144,348,320
SAMEA2467012,607,745,177,516,487
SAMEA2467013,612,713,204,503,485
SAMEA2467014,541,721,171,467,443
SAMEA2467015,574,704,185,495,482
SAMEA2467016,577,745,203,481,470
SAMEA2467017,602,757,202,496,493
SAMEA2467018,476,649,161,406,392
SAMEA2467019,650,818,201,569,565
SAMEA2467020,551,678,189,499,481
SAMEA2467021,570,737,186,488,477
SAMEA2467022,625,757,194,536,533
SAMEA2467023,406,560,149,354,336
SAMEA2467024,457,670,143,408,396
SAMEA2467025,571,763,181,505,492
SAMEA2467026,644,777,186,516,480
SAMEA2467027,594,881,176,539,517
SAMEA2467028,544,690,166,473,452
SAMEA2467029,593,765,186,526,515
SAMEA2467030,519,656,160,442,431
SAMEA2467031,517,663,155,456,451
SAMEA2467032,294,406,102,233,225
SAMEA2467033,420,591,159,358,307
SAMEA2467034,555,672,188,494,485
SAMEA2467035,736,842,223,612,583
SAMEA2467036,692,829,205,596,565
SAMEA2467037,507,639,156,411,393
SAMEA2467038,392,514,119,286,263
SAMEA2467039,735,850,189,620,594
SAMEA2467040,540,686,170,436,412
SAMEA2467041,478,648,169,407,398
SAMEA2467042,620,793,199,512,491
SAMEA2467043,466,616,144,376,338
SAMEA2467044,563,710,171,488,490
SAMEA2467045,532,649,166,433,405
SAMEA2467046,563,745,183,514,505
SAMEA2467047,392,523,122,331,288
SAMEA2467048,480,611,166,393,363
SAMEA2467049,598,723,162,498,458
SAMEA2467050,616,791,179,533,519
SAMEA2467051,537,668,158,444,408
SAMEA2467052,456,615,142,406,393
SAMEA2467053,459,603,132,388,376
SAMEA2467054,613,808,194,530,519
SAMEA2467055,634,832,182,557,546
SAMEA2467056,501,679,161,434,408
SAMEA2467057,418,545,133,368,361
SAMEA2467058,405,584,140,354,348
SAMEA2467059,418,548,125,315,296
SAMEA2467060,551,667,155,478,445
SAMEA2467061,732,852,210,614,590
SAMEA2467062,557,755,173,474,456
SAMEA2467063,541,705,173,461,449
SAMEA2467064,383,647,140,353,338
SAMEA2467065,565,711,169,487,480
SAMEA2467066,594,719,180,469,430
SAMEA2467067,611,704,200,517,488
SAMEA2467068,473,556,125,310,270
SAMEA2467069,480,579,139,387,362
SAMEA2467070,489,653,160,429,396
SAMEA2467071,649,674,165,464,385
SAMEA2467072,671,793,181,570,548
SAMEA2467073,430,674,152,397,390
SAMEA2467074,609,781,171,534,506
SAMEA2467075,551,715,159,477,454
SAMEA2467076,532,717,186,464,452
SAMEA2467077,583,762,160,492,466
SAMEA2467078,593,735,192,509,509
SAMEA2467079,414,507,129,345,312
SAMEA2467080,616,766,174,529,495
SAMEA2467081,597,681,150,433,369
SAMEA2467082,462,546,106,310,254
SAMEA2467083,755,835,165,546,468
SAMEA2467084,658,643,151,438,355
SAMEA2467085,704,636,135,393,313
SAMEA3136623,286,506,92,259,249
SAMEA3136624,373,542,139,335,324
SAMEA3136625,431,843,163,410,363
SAMEA3136626,344,453,94,299,288
SAMEA3136627,583,800,181,513,515
SAMEA3136628,328,825,112,293,258
SAMEA3136629,477,846,182,430,414
SAMEA3136630,525,673,133,477,456
SAMEA3136631,393,556,138,339,346
SAMEA3136632,578,851,172,506,483
SAMEA3136633,295,642,99,242,215
SAMEA3136634,472,636,145,430,423
SAMEA3136635,309,511,113,268,244
SAMEA3136636,301,433,102,259,247
SAMEA3136637,380,800,125,350,312
SAMEA3136638,481,632,154,424,401
SAMEA3136639,273,459,98,229,204
SAMEA3136640,422,552,121,368,355
SAMEA3136641,592,780,168,494,473
SAMEA3136642,641,809,166,564,543
SAMEA3136643,358,696,126,324,289
SAMEA3136644,634,781,196,545,542
SAMEA3136645,541,729,159,473,466
SAMEA3136646,346,535,130,311,301
SAMEA3136647,212,335,80,181,161
SAMEA3136648,515,787,163,457,442
SAMEA3136649,199,383,74,176,172
SAMEA3136650,279,429,87,248,231
SAMEA3136651,470,796,149,417,392
SAMEA3136652,560,915,167,493,463
SAMEA3136653,399,736,145,352,329
SAMEA3136654,606,816,186,525,509
SAMEA3136655,363,717,137,306,282
SAMEA3136656,421,552,158,361,341
SAMEA3136657,351,818,114,294,260
SAMEA3136658,609,866,190,545,522
SAMEA3136659,591,750,162,509,492
SAMEA3136660,280,783,97,253,219
SAMEA3136661,276,646,99,247,209
SAMEA3136662,344,533,113,305,297
SAMEA3136663,422,760,141,390,355
SAMEA3136664,398,738,142,355,333
SAMEA3136665,309,558,135,249,228
SAMEA3136666,388,832,141,361,339
SAMEA3136667,467,665,160,420,405
SAMEA3136668,274,686,106,242,216
SAMEA3136669,465,608,161,406,396
SAMEA3136670,420,728,131,378,367
SAMEA3136671,462,657,143,416,394
SAMEA3136672,413,749,138,368,348
SAMEA3136673,440,742,138,385,366
SAMEA3136674,384,548,116,345,319
SAMEA3136675,517,686,166,464,454
SAMEA3136676,526,860,160,491,448
SAMEA3136677,226,393,69,197,184
SAMEA3136678,353,595,124,296,287
SAMEA3136679,276,470,112,235,234
SAMEA3136680,535,692,184,444,418
SAMEA3136681,266,406,77,192,179
SAMEA3136682,421,564,143,374,369
SAMEA3136683,528,717,158,465,455
SAMEA3136684,636,975,192,569,548
SAMEA3136685,540,887,155,463,423
SAMEA3136686,369,517,116,305,290
SAMEA3136687,412,551,119,353,336
SAMEA3136688,521,683,160,435,428
SAMEA3136689,529,919,176,484,459
SAMEA3136690,210,418,80,164,163
SAMEA3136691,457,744,128,380,323
SAMEA3136692,390,509,119,312,288
SAMEA3136693,411,732,121,347,313
SAMEA3136694,549,763,159,478,475
SAMEA3136695,529,646,165,465,454
SAMEA3136696,481,927,148,410,388
SAMEA3136697,493,660,155,419,412
SAMEA3136698,654,920,188,542,525
SAMEA3136699,623,814,169,556,532
SAMEA3136700,674,800,185,580,556
SAMEA3136701,467,692,162,406,394
SAMEA3136702,228,413,85,197,199
SAMEA3136703,435,593,148,392,379
SAMEA3136704,479,825,155,425,393
SAMEA3136705,586,808,172,511,487
SAMEA3136706,445,580,137,373,347
SAMEA3136707,503,740,136,443,432
SAMEA3136708,277,604,88,248,216
SAMEA3136709,351,911,134,336,309
SAMEA3136710,262,443,73,240,218
SAMEA3136711,312,507,92,288,266
SAMEA3136712,359,487,108,297,286
SAMEA3136713,501,750,163,454,436
SAMEA3136714,373,661,117,335,306
SAMEA3136715,482,747,149,416,390
SAMEA3136716,460,837,158,405,374
SAMEA3136717,473,841,151,409,382
SAMEA3136718,595,777,176,533,522
SAMEA3136719,447,778,132,374,344
SAMEA3136720,339,777,106,262,227
SAMEA3136721,499,710,147,448,419
SAMEA3136722,239,440,90,166,161
SAMEA3136723,563,753,188,453,448
SAMEA3136724,476,651,151,353,330
SAMEA3136725,634,826,186,563,547
SAMEA3136726,607,746,192,536,529
SAMEA3136727,636,798,194,544,525
SAMEA3136728,447,737,151,409,383
SAMEA3136729,570,764,173,505,505
SAMEA3136730,450,649,166,360,343
SAMEA3136731,519,701,161,460,437
SAMEA3136732,569,785,176,507,495
SAMEA3136733,455,648,159,398,382
