,simulation,kraken2 + bracken,metaphlan3,motus3,metaphlan4
SAMEA2466887,6.9608544337739175,7.2918662751312295,5.5174611701313765,6.792781372698532,6.5978357503484135
SAMEA2466888,7.119443448112906,7.513809879174705,5.512103376910143,6.886000108815843,6.889415552565205
SAMEA2466889,7.193082441197608,7.586101273586792,5.659170503660912,6.921047165774732,6.672028520919232
SAMEA2466890,7.110169742953056,7.3580307177435245,5.447138935718845,7.150390138675249,6.725652441122498
SAMEA2466891,7.11715693907802,7.4795095399916365,5.619064860628513,6.9687712006532765,6.80396524377404
SAMEA2466892,6.5468966971866,6.6230771807607205,5.053085182497792,6.548270698062551,6.193846303283727
SAMEA2466893,6.292338720105623,6.854770309136581,5.346508929669614,5.980498357570824,6.038054787852876
SAMEA2466894,6.286834795058132,6.763843857199885,4.91190365233376,6.152243139789497,5.940558172604639
SAMEA2466895,6.217050466299542,6.604728141944952,4.473800547600544,6.2445519959402835,5.792152273884784
SAMEA2466896,5.46836966121885,6.464977707639814,3.7255162869374145,5.119162306036783,5.103338710597289
SAMEA2466897,7.253594381262823,7.510540647367486,5.688038390655883,7.178004473507917,6.894926283326613
SAMEA2466898,7.145178457398439,7.668826130205872,5.761073412003006,6.947065947809876,6.864840315731519
SAMEA2466899,7.206927448685839,7.599907363447416,5.416828316809854,7.076503665928458,6.756979574952221
SAMEA2466900,5.244582463791115,5.775869378876648,3.64168894051014,5.202884073751997,4.789597108741686
SAMEA2466901,6.324423326349465,6.861374865866079,5.481051561414653,6.086495149554158,6.054349563742095
SAMEA2466902,6.318239283159126,6.914578252252334,5.064707546011637,6.182354276656694,5.911557470473835
SAMEA2466903,7.2969722098389855,7.65707032103847,5.652247225335235,7.149549380427741,6.927904690352366
SAMEA2466904,6.981500048083721,7.4827413576861295,5.51076610222466,6.763082329737311,6.54098995323959
SAMEA2466905,6.817063779706811,7.389335458815836,5.362663947100009,6.597306797768934,6.494141049817393
SAMEA2466906,7.022503145711086,7.268833060491537,5.50078398288288,6.933632223185204,6.767923568801613
SAMEA2466907,5.599921743108853,6.05814445078281,4.479828970921846,5.426887853454124,5.202542150050139
SAMEA2466908,7.073183710065113,7.383483977977159,5.515006561884939,6.8326373234348035,6.79521373016114
SAMEA2466910,7.034742951773729,7.515357193348998,5.1924801448300375,6.883237261192292,6.572312421067309
SAMEA2466911,7.6090221632913755,7.726427455620558,5.923378975934133,7.4947048106859615,7.292485331678424
SAMEA2466912,6.067134341242928,6.410057594728561,4.637113351736384,6.054619066298039,5.739656016471861
SAMEA2466913,6.903805679556076,7.143555845511041,4.992787986401403,6.996092066647145,6.3633283256609
SAMEA2466914,6.547988788483804,6.658783792010793,5.311815804115261,6.137653698167827,6.168155647462184
SAMEA2466915,5.961443632638587,6.404968887190809,5.056647554361208,5.926368633010375,5.620120384362437
SAMEA2466916,6.100184006291618,6.628872735289477,4.423326806048882,5.999573575603265,5.652582588802053
SAMEA2466917,4.940360126881738,5.57000943309775,3.942843339705458,4.747075540797544,4.5830559864412335
SAMEA2466918,6.484680789735074,6.744367319309133,4.897864999693699,6.47335216031083,6.208786233360463
SAMEA2466921,6.272728436395431,6.748086627468116,4.542992359999558,6.272684373206758,5.860027215836682
SAMEA2466922,5.793812926350671,6.128856729594039,4.343917746059366,5.608439198621638,5.512224037972655
SAMEA2466923,5.492192980099862,6.07311737455809,4.19927531981842,5.283233101243778,5.017884298631632
SAMEA2466924,5.929867404786958,6.106840920354789,4.370495363162173,5.964260855085104,5.543952351508721
SAMEA2466925,7.694747988814722,7.849177740778499,6.048111463194736,7.620042636030159,7.319242580124364
SAMEA2466926,5.531781792699779,5.709721902752255,4.403968945967549,5.455180416080561,5.232762603391236
SAMEA2466927,7.123713867853636,7.323875838397671,5.486840591742785,7.016975859865452,6.601869002462324
SAMEA2466928,5.9134781104578975,6.177118802593804,4.307002529019646,5.992228038639485,5.359520119276017
SAMEA2466930,6.894808363294252,7.468506804482578,5.468902799293215,6.713307166065208,6.597213993931942
SAMEA2466931,6.817921112760817,7.070407804922009,5.013071212530366,6.839421009229456,6.3303430557649
SAMEA2466932,7.463298180383432,7.497673428467864,5.643596477594323,7.452675484761507,7.029386598561494
SAMEA2466933,6.237865814559266,6.721244406978027,4.862004557856422,6.047758939142002,5.678615207540193
SAMEA2466934,6.995615450057053,7.356580866723728,5.3837786746397756,6.903012549601251,6.596869072164182
SAMEA2466935,6.824695851939944,7.1498250247485675,5.493531277753032,6.716153582363377,6.4142077666711375
SAMEA2466936,5.9134688971956235,6.192482583189852,4.402057774065527,5.926272709022599,5.342811685227736
SAMEA2466937,6.723588473636739,7.251759676302005,4.821229301679799,6.688990691177256,6.363318582181566
SAMEA2466938,6.754054925694664,7.251218346807106,5.026450369381306,6.792085367223295,6.337773488347475
SAMEA2466939,6.8050546984386155,7.283681933404155,4.81409362595601,6.80117996971108,6.413441837946309
SAMEA2466940,7.297700120592018,7.852830657448723,5.614962605345569,7.191000280936647,6.747212781399062
SAMEA2466941,6.341230464653152,6.602465594184088,4.672796370384188,6.397578022659262,5.909061817810465
SAMEA2466942,7.377656078794721,7.798469300847083,5.421123285843815,7.261529560975801,7.026592813390285
SAMEA2466943,7.053784256276079,7.557185409187723,5.469410592130359,6.749239714987398,6.757254560588544
SAMEA2466944,5.160278320520611,6.057791327045799,3.6691138366478375,4.776501500784351,4.777620949466921
SAMEA2466945,6.916991143000252,7.2520438158220335,5.405010879649101,6.876828753822515,6.556498946896388
SAMEA2466946,6.77975367104834,6.884079512067897,4.970636208374659,6.76305289055736,6.218356080774132
SAMEA2466947,6.984447244773958,7.2858174100508615,5.577160420465766,7.0173860525086305,6.660683225496749
SAMEA2466948,6.757010648018123,7.112647067487282,5.289902906412647,6.686896065215879,6.437556877105446
SAMEA2466949,6.889181826617731,7.120334499483222,5.343182347372211,6.548653761965513,6.544149196058821
SAMEA2466950,6.0877385980185075,6.949716902737949,3.875441154942926,5.74221214048304,5.733171753300119
