		kraken2 + bracken	metaphlan3	motus3	metaphlan4
SAMEA2466887	TP	463.0	178.0	406.0	401.0
SAMEA2466887	FN	10.0	295.0	67.0	72.0
SAMEA2466887	FP	214.0	8.0	29.0	23.0
SAMEA2466887	TN	4194.0	4400.0	4379.0	4385.0
SAMEA2466887	TPR	0.9788583509306795	0.3763213530575831	0.8583509513560602	0.8477801268319708
SAMEA2466887	FPR	0.04854809437375556	0.0018148820326637594	0.006578947368406128	0.005217785843908309
SAMEA2466887	TNR	0.9514519056239759	0.9981851179650677	0.9934210526293253	0.9947822141538231
SAMEA2466887	FNR	0.021141649048178824	0.6236786469212753	0.14164904862279812	0.15221987314688754
SAMEA2466887	PPV	0.6838995568584357	0.9569892472603769	0.9333333333118774	0.9457547169588265
SAMEA2466887	NPV	0.9976213130328315	0.9371671991460337	0.9849302744017433	0.983845636075872
SAMEA2466887	FDR	0.3161004431267932	0.04301075268585963	0.0666666666651341	0.054245283017588554
SAMEA2466887	FOR	0.0023786869647897746	0.06283280085183636	0.01506972559600749	0.01615436392188433
SAMEA2466887	P_T	0.13870108584306495	0.03810694529809465	0.08912108174554395	0.08686744519565663
SAMEA2466887	P_F	0.861298914156935	0.9618930547019053	0.9108789182544561	0.9131325548043434
SAMEA2466887	FPRA	0.07147999588603159	0.006053796367721975	0.06667520207340923	0.04296026992781011
SAMEA2466887	FNRA	0.0031106221244244997	0.3590318063612607	0.13584716943388433	0.13441688337667282
SAMEA2466887	F1	0.805217391297346	0.5402124430874019	0.8942731277434551	0.8940914158205787
SAMEA2466887	ACC	0.9541077648003399	0.9379225568511823	0.980331899198975	0.9805367752489643
SAMEA2466887	Dice	0.19478260869565217	0.4597875569044006	0.10572687224669604	0.10590858416945373
SAMEA2466888	TP	420.0	134.0	361.0	361.0
SAMEA2466888	FN	8.0	294.0	67.0	67.0
SAMEA2466888	FP	206.0	7.0	27.0	12.0
SAMEA2466888	TN	4247.0	4446.0	4426.0	4441.0
SAMEA2466888	TPR	0.9813084111920255	0.31308411214221765	0.8434579439055266	0.8434579439055266
SAMEA2466888	FPR	0.04626094767562035	0.0015719739501424388	0.00606332809340655	0.0026948124859584666
SAMEA2466888	TNR	0.953739052322134	0.9984280260476119	0.9939366719043478	0.9973051875117959
SAMEA2466888	FNR	0.01869158878461001	0.6869158878344178	0.15654205607110883	0.15654205607110883
