	kraken2 + bracken	metaphlan3	motus3	metaphlan4
SAMEA2466887	0.1367737338596903	0.4063266451110125	0.047570932712707785	0.11716285821575072
SAMEA2466888	0.17448846988960043	0.4397347457692219	0.057849081909075645	0.0861323992905358
SAMEA2466889	0.2037340851690083	0.602117834392749	0.16785465371616246	0.26485759983667484
SAMEA2466890	0.2008474830119728	0.5477076244595507	0.16572382185449422	0.21992310236828883
SAMEA2466891	0.2041820170189638	0.4250453403284625	0.042851159376813906	0.09687422487962405
SAMEA2466892	0.16162352588734813	0.40844662212402827	0.056935140825871776	0.08888227616683979
SAMEA2466893	0.281991416457507	0.390999122063886	0.030499133005155415	0.052777103368809405
SAMEA2466894	0.26737765530454777	0.38648992362228607	0.04047785038357843	0.08477952139035072
SAMEA2466895	0.24618794420605664	0.5103741067505644	0.13789285233822815	0.20618356759839207
SAMEA2466896	0.2614677953617337	0.38260121634959243	0.06512561567626945	0.07476264754432478
SAMEA2466897	0.16398299692677393	0.4536141906249825	0.06380258816964893	0.0810413845923358
SAMEA2466898	0.19783142777086643	0.49012776451051926	0.06498392098655911	0.10964747169304458
SAMEA2466899	0.16613213865600499	0.5031108050054577	0.11542030141971175	0.15345032723861135
SAMEA2466900	0.19924327059896668	0.5004112314106305	0.13198307896102987	0.16561057422256908
SAMEA2466901	0.17319427764094314	0.3964383540179422	0.035821981582500585	0.06784601126014478
SAMEA2466902	0.19735845201671812	0.47681017412437043	0.1311154517440412	0.14866129038263629
SAMEA2466903	0.16177455752783557	0.5215088647458014	0.13811080120255942	0.17650875910546532
SAMEA2466904	0.17942029257867106	0.4934243886442644	0.08885443370521294	0.12122097394725963
SAMEA2466905	0.23296262813810228	0.43554073446181396	0.05760517354587587	0.0792399738411355
SAMEA2466906	0.19845552073106393	0.45357863661785575	0.04881375702102169	0.10205306991854066
SAMEA2466907	0.2813275691603823	0.39128867737863754	0.0835067946919055	0.10781445335338842
SAMEA2466908	0.184166747526627	0.4302369961840158	0.05212592058311295	0.08165275662997874
SAMEA2466910	0.17942092671299267	0.548721382336227	0.13968175010789716	0.19398232111947586
SAMEA2466911	0.13932730596205506	0.4745531842120816	0.07060576658682714	0.10735368115468402
SAMEA2466912	0.1989966200908796	0.4040863276479184	0.07798940664035932	0.12006512361811457
SAMEA2466913	0.19685830312706076	0.5775779862575111	0.14652427796610973	0.2618315220388596
