	kraken2 + bracken	metaphlan3	motus3	metaphlan4
SAMEA2466887	0.13133685363000058	0.1477662250905861	0.018749005310418853	0.0363129862705734
SAMEA2466888	0.10022591328616455	0.18367059942503572	0.034361644862355045	0.06098215472662277
SAMEA2466889	0.08565578508473475	0.11929487251049026	0.01816312637756962	0.021171212027165313
SAMEA2466890	0.1330337318075862	0.17657550084668797	0.04387620197476583	0.021433664151825817
SAMEA2466891	0.12652629019231587	0.14623061802456103	0.029689647532400998	0.030943488640969154
SAMEA2466892	0.12265864219966256	0.10946995343560463	0.02801862679222096	0.020100580530922292
SAMEA2466893	0.06482247440442235	0.1098963905358479	0.01777852403540048	0.013946899175795486
SAMEA2466894	0.0897061117771399	0.15562830292036353	0.042373701695481825	0.03059644723751708
SAMEA2466895	0.12397012461356097	0.21131397777906102	0.07204645113702467	0.017591079649259402
SAMEA2466896	0.04828271205475351	0.09672611805247926	0.021751261478659	0.011593129320606934
SAMEA2466897	0.10902814275068202	0.12918366876983248	0.041328130674549705	0.02329637621032519
SAMEA2466898	0.1531829980301617	0.1907070261565075	0.028325421150963197	0.037613937070890106
SAMEA2466899	0.08207112370877394	0.16791918711396578	0.04407252759530288	0.026165987882566178
SAMEA2466900	0.049565021638268134	0.1464412218797041	0.07229604155520747	0.020384091912319713
SAMEA2466901	0.11883194085448152	0.20163160263007215	0.03926413233697254	0.016373773749604484
SAMEA2466902	0.10173342992671436	0.20383581844238902	0.03411437488123699	0.03849327772362196
SAMEA2466903	0.08167764652223192	0.1267678426762369	0.043042834274128805	0.020919406501348766
SAMEA2466904	0.08098950804470405	0.1565781534020622	0.029824792262468078	0.022886935292822857
SAMEA2466905	0.057116128053303926	0.13468545939244486	0.02902871151884212	0.016728322002456348
SAMEA2466906	0.1318118569582804	0.16045732381035502	0.024339575826741653	0.03686174845576756
SAMEA2466907	0.10244886598724906	0.11030268229313661	0.036863142844905585	0.01662813276425544
SAMEA2466908	0.08513572716728669	0.13738709308119748	0.041504051413498944	0.022957082321985303
SAMEA2466910	0.06638720971129083	0.120414592291899	0.04362468267405715	0.020939401906201444
SAMEA2466911	0.0932668750677292	0.16127438138266414	0.042584605505034234	0.031912349123171556
SAMEA2466912	0.09820996932245901	0.07387823302754526	0.042018797262131	0.014455667542389087
SAMEA2466913	0.1199458024375613	0.2055496296809007	0.05676829980988006	0.03611057056136244
SAMEA2466914	0.09636956757541956	0.11073854899801282	0.0522987688752771	0.0265927967888757
SAMEA2466915	0.1013646240888834	0.32345469901052654	0.05777682987976488	0.04752152061014118
SAMEA2466916	0.09371922402741431	0.14691468702672286	0.03536184233908903	0.017690008576710353
SAMEA2466917	0.040176415238082894	0.043416482484967385	0.05006027047388572	0.015524721169911495
SAMEA2466918	0.1310856953252593	0.19875204408448902	0.05125420570011112	0.10782627705490137
SAMEA2466921	0.09851417506709509	0.1287722455742909	0.04671687804735217	0.017106405396929134
SAMEA2466922	0.07008298476626575	0.41894735663248633	0.03332787885332485	0.028207329885681375
SAMEA2466923	0.10057764008649656	0.17523282508020493	0.04876220374466741	0.05782980604220669
SAMEA2466924	0.09799887412960843	0.1406434065179716	0.029320671960641975	0.01656506386569683
SAMEA2466925	0.12406521379987656	0.1529466297086028	0.04291634155545207	0.028486943509744532
SAMEA2466926	0.14765208040762814	0.16582785010812168	0.07732841360421151	0.02240804632010872
SAMEA2466927	0.11554873190179862	0.17724612073949908	0.029118949705416567	0.03264138636718605
SAMEA2466928	0.10653821359891652	0.14009916623394772	0.03562512925522022	0.03798995487318743
SAMEA2466930	0.14259209943061799	0.11854814685086583	0.03912617186099151	0.023539198622954678
SAMEA2466931	0.09986589263070954	0.17494849489607986	0.03887863426614305	0.02856793123055964
