	PC1	PC2	PC3
SAMEA2466887	-0.06021482570542943	0.02237698865603034	0.008338483834832442
SAMEA2466888	-0.01648758077628054	0.041469626093769946	0.04352024593921838
SAMEA2466889	-0.05684652897621356	0.04895509503640835	0.04817842499329193
SAMEA2466890	-0.06122194934907485	0.006179453024813486	-0.03896466232962416
SAMEA2466891	-0.06530393774158172	0.022368012324346598	0.06543477880503659
SAMEA2466892	-0.05773062691976208	0.0018218550912352527	0.005357223166359837
SAMEA2466893	-0.04300526732112866	-0.01091759720277925	0.050288793494055684
SAMEA2466894	-0.040437190991947244	-0.017262775110426384	0.0035740884948148866
SAMEA2466895	-0.06442338807814833	-0.020697937772821112	-0.018945278498768814
SAMEA2466896	-0.03491955361790482	-0.054946166988127806	0.05712956990836099
SAMEA2466897	-0.04217045409944323	0.008133683220567236	-0.039153375208016095
SAMEA2466898	-0.0449594876844952	0.05016785004208849	0.02385665440469981
SAMEA2466899	-0.007907118875024207	0.06524279897950497	-0.00591457530638179
SAMEA2466900	0.04007626790686705	-0.025760806423868497	-0.01369992169212206
SAMEA2466901	-0.045899163439249	0.003896200059862355	0.011940913686064864
SAMEA2466902	-0.0010512146385505334	-0.06340297791657451	-0.09149646371402792
SAMEA2466903	-0.028252204492768163	0.040124971617182176	-0.08692440701227352
SAMEA2466904	-0.029339807785282716	0.0016526479776665737	-0.03271490316884577
SAMEA2466905	0.0037798693520367534	-0.03126463032481882	-0.10404963087963166
SAMEA2466906	-0.06099237731944805	0.024378822940620846	0.009710374769109565
SAMEA2466907	-0.023403291564165554	-0.11298029153949601	0.047088773216087815
SAMEA2466908	-0.02109202672550359	0.009301953614140863	-0.04958873405747566
SAMEA2466910	0.010152535693747642	0.03791741250755476	-0.12038887058184992
SAMEA2466911	-0.037771587321644644	0.04664396636975801	-0.031718225966368724
SAMEA2466912	-0.038219504189447785	-0.03247295199440132	0.003624475757381505
SAMEA2466913	-0.05124334320943653	-0.0011187246609584466	-0.0667897083929331
SAMEA2466914	-0.029954760521307057	-0.04225462888366749	-0.044315007725429775
SAMEA2466915	-0.023002020484993075	-0.07771931147134307	0.07822991987289882
SAMEA2466916	-0.04369662745851659	-0.06178223100806625	0.04341663933341013
SAMEA2466917	-0.033004300368694145	-0.13300900712097882	0.0889976271817018
SAMEA2466918	-0.030359261878120963	-0.013388287362690914	-0.02897724335678157
SAMEA2466921	-0.06526098185403763	-0.024232353126124973	0.0473203906047632
