	PC1	PC2	PC3
SAMEA2466887	-0.08576258819467474	-0.020234550483722656	-0.016685031742294777
SAMEA2466888	-0.013423194745539657	-0.05000230159784538	-0.08681193653491943
SAMEA2466889	-0.0796629294789562	-0.026571315991095322	-0.110495465986801
SAMEA2466890	-0.0657952845926193	0.03719390224160546	0.05179664663229183
SAMEA2466891	-0.08236383154151841	-0.000775129574725919	-0.09205691153469671
SAMEA2466892	-0.0805059688924127	-0.03363799312542226	-0.036838300200926044
SAMEA2466893	-0.051596508641615996	-0.019462378823626073	-0.10442558949898229
SAMEA2466894	-0.05293505825591796	-0.020131992986205598	-0.08153084796533178
SAMEA2466895	-0.0595837354360807	0.03660767825188187	0.031225353541677048
SAMEA2466896	-0.025979622878243673	0.0365000221939909	-0.0819472918031924
SAMEA2466897	-0.04325476737146107	-0.009411838979712778	0.001531256631179742
SAMEA2466898	-0.048510815404046774	-0.04448831215205659	-0.04409145493217342
SAMEA2466899	-0.02401476908247377	-0.08484649982437308	-0.04156453816305365
SAMEA2466900	0.06257114620115191	-0.0030214521836040933	0.028567740002143256
SAMEA2466901	-0.062348914708616324	-0.018158398775232145	-0.05028893106978622
SAMEA2466902	0.008836876725423859	0.04940127091893492	0.06726847829343799
SAMEA2466903	-0.026384140473850865	-0.07848634418462551	0.027152169740741697
SAMEA2466904	-0.019835627158449724	-0.000675577006966866	0.04414261955375616
SAMEA2466905	0.006307784720471593	-0.001419725133040194	0.07742262892619237
SAMEA2466906	-0.07524867390699377	-0.019462068632746347	-0.0012306730858206874
SAMEA2466907	-0.003977484559390574	0.12107090412304182	-0.023355190773269162
SAMEA2466908	-0.01952153555494133	-0.05510476024480509	0.008104179166806605
SAMEA2466910	0.012988871533199579	-0.0470784341518639	0.08665051224872049
SAMEA2466911	-0.03974389031592241	-0.04518534677452454	0.026667376274343877
SAMEA2466912	-0.044732217192859684	-0.013669007099188226	-0.07342113052875145
SAMEA2466913	-0.042540268322994346	0.008324259133087231	0.04491129216142739
SAMEA2466914	-0.025873886425087405	0.020856036976611	0.02610331097937104
SAMEA2466915	-0.008075378762174965	0.08002111751416698	-0.0038685988845780428
SAMEA2466916	-0.04145240471683117	0.048707092439576126	-0.08319912249751957
SAMEA2466917	-0.005007219904831137	0.16496398177661697	-0.04517898984625627
SAMEA2466918	-0.03540577065435624	0.00786044139228425	0.022783625568863368
SAMEA2466921	-0.07872208634413615	0.01690170541194239	-0.06433107237954913
SAMEA2466922	-0.014673509317638288	0.08929819040830214	-0.020138562564480423
SAMEA2466923	0.031062652476042833	0.03853701799032375	0.0033393225998536945
SAMEA2466924	-0.04564606206619322	0.08777623075182595	0.005299427217812725
SAMEA2466925	-0.06638305389422593	-0.018583163326716966	0.047220985932586994
SAMEA2466926	-0.0023827489149098567	0.04791737853200849	-0.05921581275125222
SAMEA2466927	-0.0814908896023946	0.04953595898694761	-0.0376766452796827
SAMEA2466928	-0.043804258066332036	0.08628678601046172	0.0014267604601604365
SAMEA2466930	-0.031227233463048003	-0.0022333710596550214	0.048930044474331455
SAMEA2466931	-0.029211248998794175	-0.020741879587682255	0.059977041766868806
SAMEA2466932	-0.06321584419151233	-0.019596551568773296	0.032354588472824096
SAMEA2466933	0.057491076199353015	-0.01489660097352959	0.013724179230141558
SAMEA2466934	-0.06976617171804615	0.011776906653043831	-0.053535716716496456
SAMEA2466935	-0.003325752073465102	0.019645670032734354	0.003269905773972019
SAMEA2466936	-0.025323341495603283	0.08791436017291855	-0.02612032561527991
SAMEA2466937	-0.06215325856595995	-0.007391152587805123	0.03154924231210701
SAMEA2466938	-0.046501236484142026	-0.008105774637648791	-0.11231479841814272
SAMEA2466939	-0.05813450210603058	0.02428742316317802	0.013318615457126634
SAMEA2466940	-0.012134251113720768	-0.05390902184720181	-0.026074559145439304
SAMEA2466941	-0.026976863035990756	0.09180699782999434	-0.03240510729131481
SAMEA2466942	-0.07074090094326288	-0.04151090801754987	-0.10400378547648438
SAMEA2466943	-0.06689393580436698	-0.0061998688006444135	-0.07953867840741016
SAMEA2466944	0.019541997756519807	0.06828423243477683	-0.0944388189242677
SAMEA2466945	-0.06917713195647154	0.07069567026639273	0.012772107539483832
SAMEA2466946	0.004930807593996079	0.02056308028290505	0.008488386625159477
SAMEA2466947	-0.07722032538317136	0.0014770124673653504	0.021531583454003047
SAMEA2466948	-0.029692655124040436	0.04379716439160307	-0.0493149216713303
SAMEA2466949	-0.01756005722350193	-0.026132121080217008	-0.023651451737660416
SAMEA2466950	-0.047069031007204186	-0.008996368756127136	-0.06429567503315525
