	PC1	PC2	PC3
SAMEA2466887	-0.06024698630226111	-0.023111404260755787	0.033872627508717695
SAMEA2466888	-0.03576024874044126	0.036961880844597284	0.07883637597415735
SAMEA2466889	-0.08154685778752457	-0.0019158698637613894	0.0650854466998856
SAMEA2466890	-0.059643430849891155	-0.04872079110964589	-0.0630937770821417
SAMEA2466891	-0.05568094637505632	-0.03789324069882205	0.0930483522778246
SAMEA2466892	-0.05120347135781228	-0.033780042429968904	0.019438632640520315
SAMEA2466893	-0.01732123139287813	-0.029127850475972474	0.09278206172228651
SAMEA2466894	-0.013833340896434253	-0.028004598014351467	0.029383638359252534
SAMEA2466895	-0.03929995773428085	-0.06450517326143106	-0.03546552498884192
SAMEA2466896	0.01725461624346714	-0.061818689415774467	0.07060208276560542
SAMEA2466897	-0.04871814919214508	-0.008680498707294891	-0.03317558921381086
SAMEA2466898	-0.049620589049503665	0.009510722143866187	0.08090930309017993
SAMEA2466899	-0.04309643902404147	0.06774398681396088	0.02136992895180636
SAMEA2466900	0.05304338974820733	0.017153890615919983	-0.0042458618853836675
SAMEA2466901	-0.02126675827769889	-0.020904678796857794	0.02968832932472526
SAMEA2466902	0.04435424802365263	-0.03840693173265003	-0.08851552564401238
SAMEA2466903	-0.05077283769622344	0.033136919793643776	-0.0551371111042807
SAMEA2466904	-0.022122186177452045	-0.028457374789138914	-0.048206844275943954
SAMEA2466905	0.02636309986751147	-0.012377098305506314	-0.08589038544655295
SAMEA2466906	-0.05340876782605813	-0.018721178503757607	0.038262482267934876
SAMEA2466907	0.052037332758177735	-0.11207137822064309	0.033085758399895714
SAMEA2466908	-0.014306663800259009	0.022501954308735143	-0.01152254071635657
SAMEA2466910	-0.018021213147678565	0.04879443973615893	-0.10065008856870096
SAMEA2466911	-0.05440522294816126	0.02294309886627407	-0.020188690865078605
SAMEA2466912	-0.006937742873556886	-0.04723159060927205	0.01555509387559768
SAMEA2466913	-0.044407620183966115	-0.02498223409232245	-0.08878642985604952
SAMEA2466914	0.0025471008594696344	-0.04370476064663907	-0.06034290574029916
SAMEA2466915	0.03435021288862875	-0.08135954955604403	0.06433764875788187
SAMEA2466916	0.002026925332542646	-0.08252978132169574	0.04585839041397201
SAMEA2466917	0.056163354641580045	-0.13580866677119585	0.065199444981853
SAMEA2466918	-0.018472424396977584	-0.028997158203373	-0.05703060666730157
SAMEA2466921	-0.038785494334938254	-0.0664646580922985	0.05196932600966863
SAMEA2466922	-0.006493098912977186	-0.06983515068714374	0.09209766129202841
SAMEA2466923	0.06497379358137956	-0.016032068841204727	0.00753821709503422
SAMEA2466924	-0.003477894135892008	-0.10458797032866651	-0.03548769503576193
SAMEA2466925	-0.0679690457074373	0.0070158629268524605	-0.02187595434126364
SAMEA2466926	0.049814502040304694	-0.05866387344121884	0.09434655735140528
SAMEA2466927	-0.07530434422377014	-0.07572448789808311	0.012294681076085475
SAMEA2466928	-0.006259005464525132	-0.09433670777833138	-0.03536206979899919
SAMEA2466930	-0.015654317679078687	-0.010404655454211178	0.019227763429513562
SAMEA2466931	-0.03962885865653859	-0.001673382909130291	-0.08208033829404221
SAMEA2466932	-0.07225868609899536	0.009699659687340096	-0.043996685504597295
SAMEA2466933	0.07287613606984565	0.03194872752919309	-0.037712388955905084
SAMEA2466934	-0.048125393863240246	-0.0545967858329663	0.08205749223284334
SAMEA2466935	0.0337651993363564	-0.01806619404734108	-0.034556872850400544
SAMEA2466936	0.0285187135325601	-0.08658918154253788	-0.005901517349986538
SAMEA2466937	-0.07557612091607227	-0.016175285463101433	-0.024699382436196706
SAMEA2466938	-0.023492531684272896	-0.013691503536924497	0.05520054391427512
SAMEA2466939	-0.08023757936483075	-0.024317236050689972	-0.025096901166091302
SAMEA2466940	-0.032920350134319126	0.05519996315879441	-0.005506022554772078
SAMEA2466941	-0.006764299933407762	-0.09630513627415198	0.03378335843012182
SAMEA2466942	-0.0901111502926009	-0.0030254283398065927	0.0926297641411936
SAMEA2466943	-0.06097990934407255	-0.026931097630340347	0.10696910425278111
SAMEA2466944	0.04527129930822986	-0.049816828322738614	0.05362906494484679
SAMEA2466945	-0.029364173068246294	-0.09399030653308596	0.00906474662682169
SAMEA2466946	0.011675749199316127	-0.015480414876648904	-0.08438435892455597
SAMEA2466947	-0.07969877469430789	-0.033230259176571804	0.008132161338954258
SAMEA2466948	-0.0164307386942879	-0.0320172211782536	0.039880812245146696
SAMEA2466949	-0.026163427300608548	0.01904728424291154	0.012098729652754995
SAMEA2466950	-0.0381981945384711	-0.02177334222592763	0.086943229062518
SAMEA2466951	-0.06892169313442251	0.005244760310406761	0.03427227395144741
SAMEA2466952	-0.007648752152902648	-0.02369736047002592	-0.0504190650906192
SAMEA2466953	-0.0384383236251197	0.027271095469943784	-0.04774747854642111
SAMEA2466954	0.014932647157184379	-0.09484381407189107	-0.011650092064764684
SAMEA2466955	-0.08392301262598363	-0.009500465414370007	-0.05658163662515416
SAMEA2466956	0.024557011923814896	-0.12038150704592428	0.06317881312389435
SAMEA2466957	-0.019407291390751077	-0.031278108299021924	0.021549681845113303
