	PC1	PC2	PC3
SAMEA2466887	-0.05077330397043511	-0.019437942701053132	-0.038942345294702134
SAMEA2466888	-0.030004917367053574	0.03914127348250182	-0.07129429216342872
SAMEA2466889	-0.0891272656337655	-0.0007701842210996318	-0.03414329139291361
SAMEA2466890	-0.0648022296274481	-0.050438505987717985	0.04820116860175172
SAMEA2466891	-0.04786145924742014	-0.031558359065525954	-0.10061589259792741
SAMEA2466892	-0.04398535873867492	-0.03175488039815966	-0.019868506957998522
SAMEA2466893	-0.008149037139139116	-0.028110780997876617	-0.08640083063127613
SAMEA2466894	-0.009700400658385979	-0.025781619529217023	-0.016024745560744902
SAMEA2466895	-0.0466582570569648	-0.06407299765676826	0.04326894010428889
SAMEA2466896	0.020808414291759156	-0.06303493545179341	-0.06676979086968275
SAMEA2466897	-0.04305210612404058	-0.006936039708134404	0.03186804351741252
SAMEA2466898	-0.04117668878832831	0.01858668082847596	-0.08183664419671642
SAMEA2466899	-0.04802190040049264	0.06262437383852414	-0.0009633095849782972
SAMEA2466900	0.05668477711046232	0.018290196653518942	-0.009875632261998113
SAMEA2466901	-0.013355934577579982	-0.020356697319980063	-0.029645593868428858
SAMEA2466902	0.041077983159098615	-0.039557962092425195	0.09227431722159063
SAMEA2466903	-0.05072726903571162	0.039284800171578725	0.0699549590692347
SAMEA2466904	-0.019161339914621194	-0.03261394124088874	0.035790048932235946
SAMEA2466905	0.02459916453400983	-0.005321997373302769	0.07520893188179636
SAMEA2466906	-0.04602083707698539	-0.017078430547439433	-0.049375493769822934
SAMEA2466907	0.05472959474738273	-0.11685381247247617	-0.035485865897418804
SAMEA2466908	-0.00926920281172398	0.026680175725510794	0.01548971599600818
SAMEA2466910	-0.02197465888686348	0.05373903090140332	0.09682738003847342
SAMEA2466911	-0.05118142237920951	0.028402059739380352	0.008322773860653315
SAMEA2466912	-0.004506651451365819	-0.04446434744928622	0.00109862939118541
SAMEA2466913	-0.053150111742319546	-0.030423255376550138	0.08744817043580572
SAMEA2466914	-0.000867905121843168	-0.04258908217995367	0.06808192106781072
SAMEA2466915	0.04280485826014868	-0.07814931379145466	-0.08937065563504433
SAMEA2466916	0.004828852758461874	-0.08335019256974262	-0.03432244897217721
SAMEA2466917	0.057102557034324194	-0.13758764206298674	-0.06360732025062829
SAMEA2466918	-0.01913690806751173	-0.03244375336416753	0.054490305287153575
SAMEA2466921	-0.03724559961024	-0.06587005570219796	-0.045148785200993136
SAMEA2466922	0.0031535288611446344	-0.06778224159038933	-0.11741637787473042
SAMEA2466923	0.06464167738490405	-0.02273393119615504	-0.005181032160048071
SAMEA2466924	-0.01333797669305243	-0.1005868716501655	0.05278819503193659
SAMEA2466925	-0.06927366204056898	0.00791438158327384	0.01595341948312111
SAMEA2466926	0.05639639432601382	-0.052456019298857307	-0.09678057230321382
SAMEA2466927	-0.07935957787797715	-0.07346135653086616	-0.011693231795063283
SAMEA2466928	-0.018342331425085623	-0.08802449505538135	0.04740902238669616
SAMEA2466930	-0.005503593687831869	-0.008013118928159998	-0.03632446103645019
SAMEA2466931	-0.04612751236527877	0.001301459842535403	0.08177307551504479
SAMEA2466932	-0.07803552000725639	0.009538999093525959	0.044516866254191455
SAMEA2466933	0.07162247983780748	0.021955871369068944	0.04314572808394475
SAMEA2466934	-0.04211369540171805	-0.05021428149525676	-0.09518880096384666
SAMEA2466935	0.02509959295548999	-0.019301038750764398	0.04621630861493176
SAMEA2466936	0.02188935874874018	-0.08687628376715084	0.024252202859908683
SAMEA2466937	-0.07830828295695018	-0.021697353720782752	0.01112272012996085
SAMEA2466938	-0.021935035417822157	-0.015047957895703592	-0.03122873386593113
SAMEA2466939	-0.07880474664494538	-0.02662472333133714	0.003779288535785681
SAMEA2466940	-0.04210290355749944	0.049153477424512225	0.011519979644854612
SAMEA2466941	-0.0015771490576853668	-0.09863350474114697	-0.03478342762321133
SAMEA2466942	-0.085461344661764	0.005139674314284672	-0.0925664231451519
SAMEA2466943	-0.05244085315850888	-0.021232821486622044	-0.11205016590806634
