	PC1	PC2	PC3
SAMEA2466887	0.045993475213123636	0.03616932041123521	-0.012820657866784373
SAMEA2466888	0.005553825174746896	0.05142518003626173	0.03731592654438723
SAMEA2466889	0.030884388633478643	0.04762660070531244	0.10395372379984413
SAMEA2466890	0.05994356195928588	-0.012828070735634411	-0.005520285397571212
SAMEA2466891	0.058130902160333967	0.019316793902228124	0.05983378761468698
SAMEA2466892	0.07523668341460368	-0.0026066756427583493	-0.020982963526120668
SAMEA2466893	0.05117007569537154	0.043161309087083675	0.048484386738035234
SAMEA2466894	0.056333546852707236	0.0075905934366961875	-0.029191958218106606
SAMEA2466895	0.09169658557451041	-0.04023021893375591	-0.02953561666512783
SAMEA2466896	0.05385552966275168	0.01371723779389673	0.07147217232353541
SAMEA2466897	0.052399738880420176	0.024582370893878564	-0.05161394830545869
SAMEA2466898	0.02163981600075714	0.04880246296523221	0.047805394659899796
SAMEA2466899	-0.014934933936737208	0.07771497233262181	-0.021167925798926426
SAMEA2466900	-0.04188664106404878	-0.012371908439471675	0.03780855201536921
SAMEA2466901	0.041179383550670884	0.03191586240931572	-0.006449470396370579
SAMEA2466902	0.002781076801694619	-0.04835173599096986	-0.0775637383052484
SAMEA2466903	0.011224353806784215	0.0701396654148021	-0.05145675778900232
SAMEA2466904	0.015164018141321298	0.013583807656934692	-0.0010097501262010746
SAMEA2466905	-0.03127223546512731	0.023030103434564707	-0.06291856089391554
SAMEA2466906	0.06958341740767476	0.02728037412066067	-0.004676712166500853
SAMEA2466907	0.048043620643234315	-0.1166284847664323	-0.03649023398574077
SAMEA2466908	0.010382521596071264	0.04493255490874037	-0.06409950782650027
SAMEA2466910	-0.04494040631844761	0.045910202998696345	-0.04885419606155147
SAMEA2466911	0.010705590885158954	0.058966843529043945	-0.03211030926607647
SAMEA2466912	0.05165892928087355	0.01262055403234111	-0.014953712896697483
SAMEA2466913	0.06238338660519904	-0.01840889891154261	-0.0662528758892558
SAMEA2466914	0.030546032349015668	0.009924929495802464	-0.052046987387458714
SAMEA2466915	0.025017599031942346	-0.029187576862746496	0.0931277370995313
SAMEA2466916	0.07942847073504711	-0.04802488499402234	0.03964708944423112
SAMEA2466917	0.07266452301062955	-0.15025968109679932	0.0005267384587638451
SAMEA2466918	0.021843576320679306	0.020111984225245925	-0.055448708278191074
SAMEA2466921	0.08867174579741864	-0.036159949225217446	0.03006172845121362
