	PC1	PC2	PC3
SAMEA2466887	0.0508994791632284	-0.023796643425564607	-0.023332319942926016
SAMEA2466888	0.011150914371148013	-0.058673153237885134	0.04880847410084105
SAMEA2466889	0.03824550936425686	-0.048890211449722686	0.11070222477573888
SAMEA2466890	0.060435208429122034	0.008605659308097091	-0.012934157374327682
SAMEA2466891	0.05665140925860343	-0.020077214336633342	0.06998538638020163
SAMEA2466892	0.07516816260987182	0.014638282394348112	-0.02178566245437802
SAMEA2466893	0.054057133041531834	-0.03629413283891081	0.06338907722713222
SAMEA2466894	0.054513165462113725	-0.010801826649169802	-0.021061846497553938
SAMEA2466895	0.087166217850225	0.02830769314555747	-0.03440652911694081
SAMEA2466896	0.058077672945195745	0.0006021954664230966	0.08510286772162719
SAMEA2466897	0.050951597352685146	-0.017877550630351745	-0.05437916438359845
SAMEA2466898	0.02340246307324325	-0.045992129052047304	0.038813953442226524
SAMEA2466899	-0.0061099427612546445	-0.07544632336916954	-0.007106410898822456
SAMEA2466900	-0.0457160733346299	0.007725079302529103	0.025303273531928617
SAMEA2466901	0.042538391698009353	-0.021328630220444535	-0.011091619798281174
SAMEA2466902	0.005186777887973975	0.047394214617193765	-0.08258155855289642
SAMEA2466903	0.016517097552367487	-0.05809647928880065	-0.05723915770596544
SAMEA2466904	0.015289143848254999	-0.010746295441908235	-0.007731334174240797
SAMEA2466905	-0.03011577658999928	-0.021137454631503703	-0.06553863735306557
SAMEA2466906	0.07172763867903256	-0.02075606357078585	-0.009833350752081164
SAMEA2466907	0.04028898252312668	0.11731860224329037	-0.03281046700427782
SAMEA2466908	0.012672398765585438	-0.04185629387742821	-0.06012423504667195
SAMEA2466910	-0.04412255587202625	-0.046208535387524306	-0.04312314413667963
SAMEA2466911	0.011770761249046593	-0.05408750766610776	-0.032069566920077744
SAMEA2466912	0.053724091616240165	-0.000918963800954723	-0.019601238847421123
SAMEA2466913	0.05529133943659854	0.009555908216354375	-0.0635432424432124
SAMEA2466914	0.027373161569898573	-0.006275958294867097	-0.042711625273618124
SAMEA2466915	0.017794022569648998	0.02670127317644872	0.0960655823734852
SAMEA2466916	0.07960520550403294	0.04598431965403894	0.05211821630770533
SAMEA2466917	0.06556395679642815	0.15199083929015358	-0.0004071250772643328
SAMEA2466918	0.030364227562956453	-0.004274401820028743	-0.05061130956713427
SAMEA2466921	0.08780642043871323	0.029371558960893263	0.043320878042743
SAMEA2466922	0.022826451009051934	0.031249637155268153	0.11163315298310451
SAMEA2466923	-0.015383647967573256	0.07470787696855884	-0.07056336689183013
SAMEA2466924	0.08599286266896063	0.0800523207587169	-0.05679839023061895
SAMEA2466925	0.021963347956662736	-0.023879823531737787	-0.01917323341240183
SAMEA2466926	0.02316564879932964	0.023866607570291312	0.07079025978887914
SAMEA2466927	0.09282454978410497	0.03835591188973423	0.008072018677323777
SAMEA2466928	0.07014251123992318	0.061678597365813964	-0.029962200183062924
SAMEA2466930	0.003968299102680357	-0.012403086146767836	0.015661328216519003
SAMEA2466931	0.008084557782593843	-0.003493520511952031	-0.0747778319719066
SAMEA2466932	0.01786714098749767	-0.027101767208103263	-0.012570668554475835
SAMEA2466933	-0.06828800300262408	0.04431397785758768	-0.008893354290124843
SAMEA2466934	0.05903776643601067	0.012635359811471136	0.058489958941591466
SAMEA2466935	-0.02032011627641683	0.02061227920180776	-0.04489870757695856
SAMEA2466936	0.04546676358802748	0.09776529373081044	-0.047033410452137825
SAMEA2466937	0.06279611084332846	-0.02493495517036358	-0.020608628084329863
SAMEA2466938	0.01834984440045257	-0.024101468693581117	0.07532611485685611
SAMEA2466939	0.05685822357711298	-0.042282986897811355	-0.008591119133028183
