	PC1	PC2	PC3
SAMEA2466887	0.04708559572438922	0.029996250698683117	-0.016490946267341797
SAMEA2466888	0.0082292374160301	0.05540841293848564	0.04457507283150673
SAMEA2466889	0.03248371359370572	0.05023595906498578	0.10148238987612726
SAMEA2466890	0.06002401636219548	-0.014453925733349582	-0.010517377575854303
SAMEA2466891	0.056841191015866516	0.015752539275680988	0.06678608625252395
SAMEA2466892	0.07527786692391701	-0.00702215470610415	-0.024183197645482102
SAMEA2466893	0.05171922523156798	0.04124348168011467	0.05260861022148833
SAMEA2466894	0.05595706509924789	0.0038839406070029434	-0.029040295424239138
SAMEA2466895	0.08956092410081012	-0.03858211900881583	-0.031012850986779694
SAMEA2466896	0.05383806087716615	0.01001990486619893	0.07400133171263626
SAMEA2466897	0.05206778918359675	0.019031645424690106	-0.052136742432041264
SAMEA2466898	0.021677196134704618	0.04957405008304052	0.03951877095656956
SAMEA2466899	-0.012867784060429844	0.0787536697497109	-0.0155574834644156
SAMEA2466900	-0.042541762204870076	-0.010806054320657326	0.031744424977561095
SAMEA2466901	0.04198463524162241	0.02573379997496619	-0.011076221489571925
SAMEA2466902	0.001316196891110725	-0.04588658509697934	-0.07752147861384172
SAMEA2466903	0.011907881488496018	0.06856079501235268	-0.05198583220974322
SAMEA2466904	0.015371553084419428	0.0103924479437928	-0.0035575661423506
SAMEA2466905	-0.03199250307294876	0.022621134818009793	-0.06479726984668131
SAMEA2466906	0.06906877893291173	0.02352899543083207	-0.0075025342273555016
SAMEA2466907	0.04655002350191378	-0.12228438752667492	-0.03625503018213962
SAMEA2466908	0.01223735671566836	0.04157806508135408	-0.06502660908127574
SAMEA2466910	-0.04415290561650661	0.047183927199266375	-0.0503761236814508
SAMEA2466911	0.011250027732177429	0.05934164937196534	-0.029902219450264486
SAMEA2466912	0.05171428215460142	0.006337781830218293	-0.01869396716517278
SAMEA2466913	0.06017143032173143	-0.017685730512279018	-0.06374698189517918
SAMEA2466914	0.03019937372005295	0.009651190615737552	-0.051417685466147715
SAMEA2466915	0.022581248129068535	-0.033976310323542154	0.09356888940341364
SAMEA2466916	0.07852314011203392	-0.047577330209557706	0.039171253958913015
SAMEA2466917	0.07029633283990318	-0.15411566381741282	0.0010957466710063398
SAMEA2466918	0.024895908438814698	0.015623879257763417	-0.0482447809811516
SAMEA2466921	0.08743530519341028	-0.034064596989047874	0.03148278003704907
SAMEA2466922	0.022811433676903827	-0.031612272446640145	0.11780756693610706
SAMEA2466923	-0.008936699471360342	-0.06719219800240932	-0.07265890776380732
SAMEA2466924	0.08825147275197176	-0.07755148186051315	-0.05419564699352941
SAMEA2466925	0.02369645123446179	0.022107295985836935	-0.01948065700666491
SAMEA2466926	0.020549537655321644	-0.022027475185243794	0.06371919452985957
SAMEA2466927	0.09038651616750547	-0.028460284762904412	0.010934559903516243
SAMEA2466928	0.0719370407331209	-0.05667637211978593	-0.03138794662502904
SAMEA2466930	0.005461885840643225	0.010768626976630632	0.015320046803142804
SAMEA2466931	0.010872874017428358	0.00026197560413823104	-0.077113390343965
SAMEA2466932	0.02059113214719086	0.014469885183692919	-0.018173887895151963
SAMEA2466933	-0.0729151826224725	-0.03920064817975056	-0.012827374135855578
SAMEA2466934	0.057285100695539284	-0.012934486626575451	0.05293192665702523
SAMEA2466935	-0.02765371497023838	-0.007835556267033708	-0.043233706685527576
SAMEA2466936	0.05205921733991184	-0.0941379080098881	-0.03620496510171814
SAMEA2466937	0.06553915485227962	0.020867318293547345	-0.01712202297423221
SAMEA2466938	0.014188200105490576	0.024580632813497028	0.08914177663798248
SAMEA2466939	0.053387573432744	0.04335121086857409	-0.0041145555091532775
SAMEA2466940	-0.018340541323787863	0.042666736448191946	0.026120190481777963
SAMEA2466941	0.07476801863438585	-0.057180844952310565	-0.013859168341139792
SAMEA2466942	0.0361495988419869	0.06301005797011378	0.09493698708739225
SAMEA2466943	0.04225636866957389	0.06183237276312859	0.09289833281509194
SAMEA2466944	0.010296190656344077	-0.03725638923876342	0.1165082320000064
SAMEA2466945	0.07184748165601142	-0.06203521520578001	0.03193420549429973
SAMEA2466946	-0.004465965205114869	0.0010303091942586119	-0.0676947266358005
SAMEA2466947	0.06996892334207862	0.018922907553931948	0.0014131352937310025
SAMEA2466948	0.027570058270853605	-0.01912423296304223	0.0389159009253876
SAMEA2466949	0.022766054304841115	0.04659147036825569	-0.022834327075873122
SAMEA2466950	0.0567786483944827	0.04462206913207454	0.09236602807252725
SAMEA2466951	0.042697923812678826	0.06361089756219895	0.03634296478716413
SAMEA2466952	0.045327076727663	0.020595867223104105	-0.075338300145341
SAMEA2466953	0.03236518663328872	0.0586199255152182	-0.04767648143196598
SAMEA2466954	0.042769130431793194	-0.08951097426036994	-0.01686169073984149
SAMEA2466955	0.048816016519964534	0.04378517713020652	0.0016815502585707692
SAMEA2466956	0.07593650080141573	-0.096131604649751	0.018986963329672382
SAMEA2466957	0.022468475699684274	-0.009004943252242896	0.00622949899777693
SAMEA2466958	0.06927027700663718	-0.08104689409751645	-0.018639746357331954
SAMEA2466959	0.04117386176325061	0.08162350370466086	0.05529327059055961
SAMEA2466960	0.009563894894385454	-0.042023054896286875	0.07222824208740496
SAMEA2466961	0.051052874901435896	-0.006886220337984673	0.044843515490388966
SAMEA2466962	0.029635721227577225	0.03344549319007742	0.08461433915871679
SAMEA2466963	0.05538037031287042	0.025475238638690625	0.023404249435787134
SAMEA2466964	0.02957888327788846	0.06528063042194292	0.03148977467448434
SAMEA2466965	0.00957762213218445	0.06887584468251992	-0.016322943421664977
SAMEA2466966	0.03006513526790869	-0.0770424696355189	-0.054657015473275956
SAMEA2466967	0.004017361402533818	0.027803439656763823	-0.07446211012670194
SAMEA2466968	-0.07757086516590438	0.011306470489115284	-0.014616137617317428
SAMEA2466969	0.01776226921427198	0.058361617935107676	0.09468079609857401
SAMEA2466970	-0.05442139779351224	0.015213948393699897	-0.0716818005446195
SAMEA2466971	0.01943614183966127	0.06783559268543299	-0.015973680714529523
SAMEA2466972	0.04039208960735191	-0.0030086378173884037	0.06520081965729456
SAMEA2466973	0.030566726158976862	-0.018115662892006574	0.03644516706718764
SAMEA2466974	0.0215106908799789	0.044307102481225845	0.07063542893530837
SAMEA2466975	-0.0046939055976499035	0.007280930731743671	-0.06943021276010336
SAMEA2466976	0.035439047940122925	0.019201697314728546	-0.026924510964246966
SAMEA2466977	0.02676844294302048	0.053306030127163354	0.026774682590617355
SAMEA2466979	0.03351713083314093	0.014847013740154331	-0.054442660930483264
SAMEA2466980	-0.004873276239344072	-0.027105277125204493	-0.046726444884339066
SAMEA2466981	0.01068305030434473	-0.036336217912460465	-0.09337646446420915
SAMEA2466983	0.028049803165572155	0.056747363016371344	0.10359765787247908
SAMEA2466984	0.02830113240450554	0.01912932689103838	0.04600253332935005
SAMEA2466986	0.028959858112946234	0.04151752735201886	0.00836653151653468
SAMEA2466987	0.07821116564717923	-0.12242725697873655	0.019665436969607042
SAMEA2466988	0.035554085346535765	0.0672370157136799	0.04633636026107883
SAMEA2466989	0.04567658843547348	-0.04744608794920191	0.10549812147299945
SAMEA2466991	0.04984997781860487	-0.0467753370049464	-0.001544163008825023
SAMEA2466992	0.03299998224892052	0.05756428601554006	0.07920420217398128
SAMEA2466993	0.044295608886680604	0.03424186274574054	0.01972819535922252
SAMEA2466995	0.02826958668077918	0.04801656421497359	-0.024722380037001813
SAMEA2466996	0.026918043449376136	0.042462610878621514	0.05546854404062322
SAMEA2466997	-0.0001945566678414536	-0.02279127497979231	-0.03501220396359771
SAMEA2466998	0.017617408247362017	-0.11121923940414466	0.04110114559002931
SAMEA2466999	0.03889490247191076	-0.04572943945301843	-0.053265447033909744
SAMEA2467001	0.0557302854477588	-0.13969989067540325	0.04573530832573824
SAMEA2467002	0.06016805390882668	-0.07427242704287991	0.025804178211148835
SAMEA2467003	0.0005728823706654465	-0.03245162018286569	-0.02909166585100729
SAMEA2467004	0.04817401839210457	-0.08188125472782927	-0.044883204130005024
SAMEA2467006	0.016252328866159106	0.07391993701365726	0.10069362108323326
SAMEA2467008	0.005178808763509862	0.06259079426224337	0.046543815196916846
SAMEA2467009	-0.01065857457083608	-0.09069325561815522	0.11905958161874541
SAMEA2467010	0.07734368998126023	-0.045000543635755716	-0.01927964032842431
SAMEA2467011	0.007310225101239069	-0.08515365613830324	-0.09956878895270305
SAMEA2467012	0.03508991664889653	0.028408536359700698	-0.08617360462961252
SAMEA2467013	0.031662281671842166	-0.008253217040784282	-0.06101094721668715
SAMEA2467014	0.013722595321470188	-0.0624683219170362	-0.02300927536005843
SAMEA2467015	-0.01423492066523727	0.04014351987463942	-0.03729420465271542
SAMEA2467016	0.0430993200009476	0.025118135748414958	0.07663422372784799
SAMEA2467017	0.03837641441119063	0.0027079528431617757	0.08231413840023437
SAMEA2467018	-0.061117515772181386	-0.03362978651216214	0.02779260438560112
SAMEA2467019	-0.019839778690082605	0.07602301088292361	0.016997806051299493
