,simulation,kraken2 + bracken,metaphlan3,motus3,metaphlan4
SAMEA2466887,494,557,209,444,430
SAMEA2466888,455,520,157,407,381
SAMEA2466889,953,752,237,689,588
SAMEA2466890,724,652,221,574,521
SAMEA2466891,472,583,192,411,407
SAMEA2466892,450,505,187,414,397
SAMEA2466893,330,460,158,304,298
SAMEA2466894,390,501,163,352,345
SAMEA2466895,537,536,170,404,367
SAMEA2466896,304,392,142,272,263
SAMEA2466897,561,558,200,479,458
SAMEA2466898,509,601,173,457,435
SAMEA2466899,654,654,218,552,519
SAMEA2466900,520,507,163,417,369
SAMEA2466901,385,492,173,356,354
SAMEA2466902,512,536,190,425,410
SAMEA2466903,709,663,209,565,561
SAMEA2466904,667,666,241,557,546
SAMEA2466905,448,537,192,394,389
SAMEA2466906,431,538,175,393,378
SAMEA2466907,303,383,137,262,249
SAMEA2466908,421,508,174,374,356
SAMEA2466910,748,674,220,601,554
SAMEA2466911,572,604,205,489,490
SAMEA2466912,452,480,175,379,368
SAMEA2466913,749,675,209,568,503
SAMEA2466914,514,508,206,425,415
SAMEA2466915,355,398,154,329,296
SAMEA2466916,453,510,188,379,348
SAMEA2466917,248,291,102,184,171
SAMEA2466918,542,556,190,454,431
SAMEA2466921,473,518,191,402,403
SAMEA2466922,341,385,109,294,283
SAMEA2466923,294,549,148,267,251
SAMEA2466924,495,452,154,365,311
SAMEA2466925,731,667,214,611,575
SAMEA2466926,248,389,171,220,215
SAMEA2466927,771,660,224,557,511
SAMEA2466928,587,511,154,414,350
SAMEA2466930,458,564,201,429,415
SAMEA2466931,709,645,201,555,504
SAMEA2466932,825,714,227,641,578
SAMEA2466933,508,556,186,413,372
SAMEA2466934,563,608,210,491,474
SAMEA2466935,544,553,194,449,426
SAMEA2466936,486,463,147,341,291
SAMEA2466937,617,622,195,512,486
SAMEA2466938,607,594,236,487,445
SAMEA2466939,616,609,173,525,505
SAMEA2466940,786,865,242,615,543
SAMEA2466941,459,489,198,358,345
SAMEA2466942,642,668,213,561,546
SAMEA2466943,445,519,174,399,382
SAMEA2466944,391,460,178,301,304
SAMEA2466945,557,607,211,473,462
SAMEA2466946,824,618,192,526,418
SAMEA2466947,548,582,184,470,457
SAMEA2466948,461,534,178,385,388
SAMEA2466949,492,523,194,417,426
SAMEA2466950,371,454,151,328,317
SAMEA2466951,556,594,218,487,485
SAMEA2466952,429,484,156,376,363
SAMEA2466953,500,520,188,440,431
SAMEA2466954,464,492,158,373,360
SAMEA2466955,947,766,226,669,605
SAMEA2466956,227,349,114,201,201
SAMEA2466957,673,582,216,496,446
SAMEA2466958,447,485,183,375,350
