,simulation,kraken2 + bracken,metaphlan3,motus3,metaphlan4
SAMEA2466887,7.000166315758862,7.042420187914039,5.882866844048572,6.726590046733479,6.603407466547131
SAMEA2466888,7.178379149248532,7.269140613905644,5.671703006601346,6.9394837308842705,6.900568563603213
SAMEA2466889,7.25140021512931,7.281036755095002,5.9172915317791235,6.933932075062841,6.68608014790913
SAMEA2466890,7.148854492332807,7.147702042356259,5.60803982921442,7.118816360575069,6.72794870485851
SAMEA2466891,7.173341659272211,7.212605895594882,5.792188995172135,6.95382562526614,6.807759314172975
SAMEA2466892,6.561634051007312,6.501708230225105,5.183505643759972,6.382954709224885,6.195636270948197
SAMEA2466893,6.312185290660217,6.618262698415059,5.547691967251767,5.96237561723026,6.04253558375569
SAMEA2466894,6.312754672777101,6.655151890114163,5.058117530797608,6.156081935113654,5.942903423748133
SAMEA2466895,6.26187406756098,6.3419148847253,4.811282819829375,6.287592986354178,5.794992032096955
SAMEA2466896,5.4820787917975515,5.831360121986529,4.262177146250838,5.076607801606037,5.1033387105972885
SAMEA2466897,7.291054076522115,7.279477264312049,5.97797601399167,7.150338725920217,6.894714075986119
SAMEA2466898,7.186915357265374,7.5087870402767525,5.966422558857105,6.950212211735285,6.877198991036096
SAMEA2466899,7.2405097632550435,7.316947012359729,5.989178484418183,7.100949429024347,6.760364069233391
SAMEA2466900,5.250535028636116,5.437148018957919,4.036168743384391,5.206721796468106,4.789784563275739
SAMEA2466901,6.339936430967816,6.726823851433054,5.841356769494955,6.045999084373669,6.054349563742097
SAMEA2466902,6.356861189554531,6.583516369151788,5.442635624878526,6.144030819266189,5.911751626066746
SAMEA2466903,7.340432964171664,7.477233269332516,6.0208797624956105,7.11833956381059,6.929887044404364
SAMEA2466904,7.029498153658569,7.224835992318473,5.8333306955256745,6.7670914661045956,6.549803035988687
SAMEA2466905,6.844119027090385,7.163499429541041,5.679073834328862,6.558307801833742,6.493249299534072
SAMEA2466906,7.07930746419039,7.078778103930182,5.728062971300153,6.913892054610959,6.7961789257254015
SAMEA2466907,5.612033986170759,5.831840856070302,4.652236005059222,5.387185682385355,5.202685764195519
SAMEA2466908,7.108007089794748,7.189204029273403,5.879328556159453,6.8344134596573625,6.795130267065082
SAMEA2466910,7.071390435128506,7.312716107615731,5.676700604898663,6.919936111914874,6.571968911578742
SAMEA2466911,7.6650456502610025,7.550319120907506,6.354367382762702,7.523536320505164,7.294678250377237
SAMEA2466912,6.08194996073475,6.2317532299078655,5.00040325345254,5.968934989721164,5.740989573494991
SAMEA2466913,6.940410445855975,6.937877555239897,5.343573142381105,7.015235639666837,6.364911522527033
SAMEA2466914,6.611940401974864,6.530813435089996,5.543816860089934,6.154710746445128,6.168062519734885
SAMEA2466915,5.990269592017114,6.1945613197547775,5.232752763572613,5.933546849227716,5.624077102814579
SAMEA2466916,6.1226162221296025,6.273062438847441,4.760154174489379,5.978815597796526,5.6534127959627325
