		kraken2 + bracken	metaphlan3	motus3	metaphlan4
SAMEA2466887	TP	433.0	194.0	429.0	427.0
SAMEA2466887	FN	61.0	300.0	65.0	67.0
SAMEA2466887	FP	124.0	15.0	15.0	3.0
SAMEA2466887	TN	3318.0	3427.0	3427.0	3439.0
SAMEA2466887	TPR	0.8765182186057385	0.3927125505993378	0.8684210526139996	0.8643724696181301
SAMEA2466887	FPR	0.03602556653098191	0.004357931435199425	0.004357931435199425	0.0008715862870398851
SAMEA2466887	TNR	0.9639744334661128	0.9956420685618953	0.9956420685618953	0.9991284137100549
SAMEA2466887	FNR	0.12348178137401858	0.6072874493804192	0.1315789473657575	0.13562753036162697
SAMEA2466887	PPV	0.7773788150668334	0.9282296650273574	0.9662162161944545	0.9930232557908599
SAMEA2466887	NPV	0.9819473216899025	0.919506305336948	0.9813860251976478	0.9808899030205908
SAMEA2466887	FDR	0.22262118491521327	0.07177033492479568	0.03378378378302289	0.006976744185884262
SAMEA2466887	FOR	0.01805267830713805	0.08049369466036894	0.018613974799488505	0.019110096976557016
SAMEA2466887	P_T	0.14151422764227642	0.05309959349593496	0.11280487804878049	0.1092479674796748
SAMEA2466887	P_F	0.8584857723577236	0.946900406504065	0.8871951219512195	0.8907520325203252
SAMEA2466887	FPRA	0.03780988050650452	0.011729526295616924	0.020184975986307818	0.0002603998177200568
SAMEA2466887	FNRA	0.0267853570714119	0.3291158231646207	0.11628325665132759	0.10316063212642274
SAMEA2466887	F1	0.8239771645972981	0.5519203413861746	0.914712153508372	0.9242424242324216
SAMEA2466887	ACC	0.9529979674772536	0.9199695121927847	0.9796747967454785	0.9822154471519761
SAMEA2466887	Dice	0.17602283539486205	0.4480796586059744	0.08528784648187633	0.07575757575757576
SAMEA2466888	TP	395.0	148.0	391.0	378.0
SAMEA2466888	FN	60.0	307.0	64.0	77.0
SAMEA2466888	FP	125.0	9.0	16.0	3.0
SAMEA2466888	TN	3356.0	3472.0	3465.0	3478.0
SAMEA2466888	TPR	0.8681318681127883	0.3252747252675764	0.8593406593217727	0.8307692307509721
SAMEA2466888	FPR	0.035909221487974985	0.002585463947134199	0.004596380350460797	0.0008618213157113995
SAMEA2466888	TNR	0.9640907785091523	0.9974145360499931	0.9954036196466665	0.9991381786814159
SAMEA2466888	FNR	0.13186813186523366	0.6747252747104456	0.14065934065624924	0.16923076922704988
SAMEA2466888	PPV	0.7596153846007766	0.9426751591756257	0.9606879606643566	0.9921259842259285
SAMEA2466888	NPV	0.9824355971868196	0.9187615771343774	0.9818645508614853	0.9783403656793859
SAMEA2466888	FDR	0.2403846153799926	0.057324840760679945	0.03931203931107341	0.00787401574782483
SAMEA2466888	FOR	0.01756440281025303	0.08123842286297635	0.018135449135681114	0.02165963431780124
SAMEA2466888	P_T	0.13211382113821138	0.03988821138211382	0.10340447154471545	0.09679878048780488
SAMEA2466888	P_F	0.8678861788617886	0.9601117886178862	0.8965955284552846	0.9032012195121951
SAMEA2466888	FPRA	0.015122265122264111	0.007668764366037222	0.0231201551889442	0.0051453010290601
SAMEA2466888	FNRA	0.033860677213544	0.4978099561991213	0.12651253025060427	0.09029180583611619
SAMEA2466888	F1	0.8102564102480999	0.4836601307110513	0.9071925753955082	0.9043062200848767
