	kraken2 + bracken	metaphlan3	motus3	metaphlan4
SAMEA2466887	0.16050249228561964	0.4212313596044252	0.044566037792276685	0.0642174014221655
SAMEA2466888	0.16931558243510206	0.4405608608662473	0.04746389936857615	0.0577729311000137
SAMEA2466889	0.2347909116832573	0.6104131029852923	0.14696150004898434	0.24953040503036059
SAMEA2466890	0.23400132240898353	0.5580753182571804	0.1345795865030925	0.199422743411778
SAMEA2466891	0.18562707019440314	0.43124476348096075	0.03966766241073378	0.04657893240455536
SAMEA2466892	0.17716186156159694	0.41234454765917433	0.029508927566442612	0.05781430369824945
SAMEA2466893	0.23334378033790262	0.3911876579211912	0.021498983363348753	0.018478494277960233
SAMEA2466894	0.2555629921399127	0.395003653348274	0.047201270350649895	0.048490512241673694
SAMEA2466895	0.22415619465915507	0.5137101998715076	0.1346170760723086	0.1831367949722763
SAMEA2466896	0.2066393822126865	0.3754187213290134	0.03154989928117989	0.05517448043302399
SAMEA2466897	0.16246494594702296	0.4548486814949079	0.05325926504043514	0.06389865821439837
SAMEA2466898	0.19899876162827923	0.4904331116756029	0.0431787207456159	0.056207730608542346
SAMEA2466899	0.18522375518540019	0.5101118986905665	0.08842279077451728	0.10912812027361059
SAMEA2466900	0.18905820435881526	0.5069261062003274	0.1070541550398056	0.13528802181006305
SAMEA2466901	0.15643360581187993	0.38966409124324797	0.029647565103687976	0.025983366955532074
SAMEA2466902	0.2029030889145354	0.47929325447588544	0.13790790230505098	0.12146777789425715
SAMEA2466903	0.16883200696872847	0.5256861947266631	0.12171424713319437	0.13547823855183005
SAMEA2466904	0.195421519856102	0.4974294158245195	0.07847911217118773	0.10125232021002052
SAMEA2466905	0.19049091072677038	0.4266579321996589	0.04062431200307672	0.05646287139296336
SAMEA2466906	0.2029339525039979	0.46117320153790314	0.0351161308218455	0.049901316452633904
SAMEA2466907	0.24665327744946156	0.3949788292432619	0.06938219811629165	0.09739919213823953
SAMEA2466908	0.18736376061183746	0.4352005275957298	0.039258016844868966	0.045075559063619076
SAMEA2466910	0.21421771449372692	0.5565337845597634	0.11699536365916348	0.1704845333621528
SAMEA2466911	0.153224344379708	0.4799247604720071	0.0480737856966945	0.04795040192871299
SAMEA2466912	0.17765854327980427	0.39205787685483207	0.07245666284762703	0.0848665767888968
SAMEA2466913	0.23151868124744326	0.5864986645309002	0.12646414354703872	0.22475068072916454
SAMEA2466914	0.15515575910319349	0.4164407454178412	0.0782019409147058	0.10437025034853109
SAMEA2466915	0.19118737862823715	0.5030302577513884	0.0428312491716554	0.0916327973440496
SAMEA2466916	0.2386215672904161	0.4265987984921042	0.06385877108113602	0.13141261621495068
SAMEA2466917	0.30632089122505307	0.462894843464398	0.14318817574773174	0.19788378803664539
SAMEA2466918	0.18784511713024402	0.4975102570157695	0.08653743694323887	0.1354176946215513
SAMEA2466921	0.18883487979025204	0.4142458477970198	0.06475361709967407	0.05072505682266215
SAMEA2466922	0.2063025825295843	0.4881422686852303	0.06060425996100006	0.0561940957501853
SAMEA2466923	0.27661832931629937	0.32003880388553835	0.045737233003318625	0.0844284311637052
SAMEA2466924	0.26469962569473793	0.5571051475391327	0.17284924710858227	0.2930066485094006
SAMEA2466925	0.17581464480094558	0.5383906863719555	0.07479600410603028	0.11613005632107302
SAMEA2466926	0.22668727231099706	0.21656344929881105	0.010890267398890957	0.01432132983702668
SAMEA2466927	0.21944820463087622	0.5679597776871211	0.1626653283129401	0.23349684786774427
SAMEA2466928	0.29723311475994324	0.6263669862464608	0.19139754305702647	0.32516568790283484
SAMEA2466930	0.19132031318994733	0.44701402579259386	0.025778529057578225	0.03989278930851369
SAMEA2466931	0.2168816391173223	0.561557512794704	0.11961688584943679	0.18997115651354712
SAMEA2466932	0.1993566712173401	0.5568738102055365	0.1284174186196708	0.1850898683654039
SAMEA2466933	0.20487248569447541	0.4820186359439291	0.08102484515976295	0.1508624617656242
SAMEA2466934	0.1788739477480716	0.49424996536482335	0.04757104771842878	0.08176593148942357
SAMEA2466935	0.19636584949013872	0.5264140318711501	0.09572414028372785	0.1549722742546016
SAMEA2466936	0.24053597871336838	0.5813957258097198	0.17235214737717147	0.30533881791441936
SAMEA2466937	0.20931966887067185	0.5395504647928705	0.07811699632685716	0.11317664161937789
SAMEA2466938	0.1742442683548146	0.4557170384933073	0.10048943363710713	0.15340545249643397
SAMEA2466939	0.18730729619052763	0.578147153656586	0.061339638169995346	0.08807326341895713
SAMEA2466940	0.19539638441735585	0.56741160893215	0.13985195264443093	0.18595011622671476
SAMEA2466941	0.19122587846081737	0.35142806863770065	0.07129579361909852	0.08330903812847343
SAMEA2466942	0.14842981684969078	0.514132877713452	0.059816468220596414	0.056082844136348654
SAMEA2466943	0.1754975266540767	0.43845978530603	0.02893968874178023	0.03888456501502983
SAMEA2466944	0.1946623288634359	0.3988616597688959	0.10013745549796824	0.1171363430538691
SAMEA2466945	0.1837958004555394	0.4853868563521859	0.05898689396251815	0.08780095893989506
SAMEA2466946	0.3565045620622296	0.6474193174624535	0.2397481692822651	0.3990313321160831
SAMEA2466947	0.19255693806069607	0.5228386023514431	0.06372866252179653	0.08238338201141579
SAMEA2466948	0.21458349860292109	0.42784831268435136	0.058699806820177475	0.0779857503786125
SAMEA2466949	0.15750019296451864	0.4125615912247766	0.052279005981685084	0.038925755648895
SAMEA2466950	0.19661213629804056	0.4266602826304054	0.028906457735751824	0.05352712708539034
SAMEA2466951	0.16825931527873672	0.41110951627417647	0.0476041079481571	0.040498871218384504
SAMEA2466952	0.2187835985965041	0.4463714790052312	0.04130379570928155	0.08369120919277252
SAMEA2466953	0.1707837455383772	0.4781877732743419	0.05904537211693622	0.06120492684355471
SAMEA2466954	0.21681410304984317	0.4935869367338456	0.0602927071360802	0.12768167979951775
SAMEA2466955	0.2679673401047911	0.6243710758684199	0.19653019577702516	0.25292782067826836
SAMEA2466956	0.32908467207194236	0.3880374846332489	0.026233325732409687	0.022927528423941926
SAMEA2466957	0.23699630861386772	0.5351484306084393	0.1693116332053918	0.2573851328110686
SAMEA2466958	0.2299237199297803	0.4538368103109055	0.0733603624554846	0.14243906812114734
SAMEA2466959	0.1449817886636404	0.4317353651686995	0.02609392937318801	0.04347423280357727
SAMEA2466960	0.18007143387414784	0.5375771189252202	0.14543693766651986	0.16423474982095737
SAMEA2466961	0.14214327122669446	0.4466717254607634	0.05767340956577323	0.07302514651919136
SAMEA2466962	0.244735872851761	0.5073075011009758	0.04431462687920765	0.0687700414808657
SAMEA2466963	0.18728403518480688	0.42684771574870123	0.023705701409197134	0.054407140183152444
SAMEA2466964	0.17445893225905498	0.5436995493158606	0.0744842724544388	0.11061428868384324
SAMEA2466965	0.20670483821101696	0.5337895439493198	0.12533958527027436	0.18803306858946509
SAMEA2466966	0.2427784273987289	0.49123457765975165	0.15525743515458781	0.24854521957670542
SAMEA2466967	0.2169345266544494	0.47119490683920434	0.05252859784852861	0.08157869671472903
SAMEA2466968	0.18960329979143709	0.5469312522960121	0.13308264475458595	0.1904192956087444
SAMEA2466969	0.19645449917698352	0.3988530085648267	0.03267071956963749	0.06659630557610302
SAMEA2466970	0.19943510931708133	0.5196297461773942	0.12285085147866873	0.18736404681477659
SAMEA2466971	0.14553118783997654	0.42564999408819304	0.03394548054875426	0.01914484555790256
SAMEA2466972	0.1606848091734204	0.4982117570600559	0.05769344815446207	0.10128559798223186
SAMEA2466973	0.189692724769851	0.5240479934462684	0.04078998507741988	0.08492566108144206
