	kraken2 + bracken	metaphlan3	motus3	metaphlan4
SAMEA2466887	0.09976424132857775	0.11646537849844107	0.022950890319365803	0.014463443181163464
SAMEA2466888	0.07634034154603382	0.1470993420177878	0.030800282327850127	0.04900215685750716
SAMEA2466889	0.06420430167778599	0.1046105323873295	0.016072222372164977	0.016096353774662953
SAMEA2466890	0.09585434733603405	0.1283392068057987	0.03323475872129768	0.016314734102518044
SAMEA2466891	0.09691157288836015	0.11166314271402386	0.025076744374799585	0.02334762427081557
SAMEA2466892	0.08933204608943011	0.0876471901730499	0.02201810133185748	0.016395821592879764
SAMEA2466893	0.04325054420853312	0.09272260247391707	0.017726466404044964	0.011627764881143449
SAMEA2466894	0.07017659210170975	0.12494731464755099	0.034826303655808855	0.02465453971509689
SAMEA2466895	0.08424076264608188	0.15517051609133922	0.052992866308562855	0.012268624839279506
SAMEA2466896	0.0322918572005654	0.07110463093319773	0.018695022785972282	0.009355287912919575
SAMEA2466897	0.07558601694015069	0.09946932510820208	0.032255263625196304	0.01866762668458635
SAMEA2466898	0.1251287817070978	0.15990143043645808	0.02534556506391562	0.0161348623360274
SAMEA2466899	0.0683225892772695	0.1373653814508137	0.044029627458455414	0.021786466549240144
SAMEA2466900	0.04829877990983972	0.12043099977884313	0.05898174571525849	0.015368158987581688
SAMEA2466901	0.0892394216793662	0.15702736025069766	0.033903620166736204	0.013619975143441591
SAMEA2466902	0.07113659292258977	0.15812622285972044	0.031134680909478806	0.03126128759813316
SAMEA2466903	0.07019384210545303	0.11882216796816349	0.03284138313383867	0.01720343836374662
SAMEA2466904	0.06498817342400771	0.13633338386691438	0.02573040920918489	0.0191827035351697
SAMEA2466905	0.04924994886340474	0.11558802390686637	0.02385042137805357	0.01328623031939455
SAMEA2466906	0.10317065894296237	0.13283012117802753	0.019397133654972244	0.016049455815070904
SAMEA2466907	0.0695206734787024	0.07639624102798931	0.029050952619178953	0.009295309881221108
SAMEA2466908	0.06491737811895604	0.11740695986650738	0.03523526337801874	0.018895972052822424
SAMEA2466910	0.0623907080574795	0.11283380812022431	0.04623990763663162	0.01694135641845387
SAMEA2466911	0.07452772135748124	0.12443735585907531	0.034572391139830065	0.023325924342876243
SAMEA2466912	0.07580744820683509	0.05970284800796117	0.031162160192929205	0.012480262647733054
SAMEA2466913	0.08605228501072609	0.15492389979419455	0.041616426778594784	0.020119232247037128
SAMEA2466914	0.07223782038773195	0.09047271085256325	0.04818684423259105	0.02034787680052331
SAMEA2466915	0.08884135687855804	0.241862410160423	0.042731493635444644	0.03518147657087719
SAMEA2466916	0.06538434607245923	0.10503021070915391	0.028634380858770948	0.013870503951085798
SAMEA2466917	0.029212009446821327	0.03137199459802326	0.036690846228453165	0.012014057103470843
SAMEA2466918	0.12390644337551793	0.15666970470936975	0.037683792667693	0.09166379504014513
SAMEA2466921	0.0689779456286103	0.09460989258776459	0.03737181352162999	0.01383438782520178
SAMEA2466922	0.05676567617792324	0.29619974747590605	0.025799086116269444	0.021585649031215983
SAMEA2466923	0.0868544741041508	0.13757792345758982	0.044549566732774055	0.0495221276148192
SAMEA2466924	0.06643112913661275	0.10276401237408993	0.02385150640082022	0.010185814394487961
SAMEA2466925	0.09865496747398261	0.12474517308600103	0.03365860842569707	0.021100754262285068
SAMEA2466926	0.11326022536767001	0.12939184418379998	0.060119396298606284	0.018621430933861014
SAMEA2466927	0.08348482910045987	0.12685325512991463	0.02536772311765532	0.023475662095425957
SAMEA2466928	0.07606540260712616	0.10136285587348681	0.031698202170323424	0.030716400512254577
SAMEA2466930	0.11541914742632993	0.09311645913329543	0.03141661749020532	0.015178797234917253
SAMEA2466931	0.07631597873754964	0.13745220155441062	0.03237615485487172	0.017052088686978255
SAMEA2466932	0.11061390609044651	0.16931081390126487	0.039138132076007234	0.022541320224702288
SAMEA2466933	0.08982734764439307	0.14666226174509417	0.06563201740223609	0.03197122973023841
SAMEA2466934	0.10161479912887539	0.18852145202056908	0.03266092740562147	0.03021528862320413
SAMEA2466935	0.06474258621294439	0.09914941796077956	0.027939445672981834	0.012856272505791445
SAMEA2466936	0.0958426876969294	0.11467616096251272	0.0507277871395929	0.043689529483418324
SAMEA2466937	0.08173078859023915	0.13220128766023856	0.030826252724491007	0.020761997813924897
SAMEA2466938	0.05949551599934406	0.09025018395543882	0.047969927837811996	0.027351602767229692
SAMEA2466939	0.0750436568336115	0.17088267207248953	0.039302588657999384	0.02427122172785077
SAMEA2466940	0.08056329950896272	0.1343662601045255	0.04347870269223139	0.03265578295741201
SAMEA2466941	0.07628407691632251	0.12451672856661111	0.03148032640343137	0.022725054531798603
SAMEA2466942	0.059483724949189805	0.12356305294617104	0.02139911376457831	0.019244710076404384
SAMEA2466943	0.05418631380578449	0.18759719582256737	0.021127274394949835	0.015531115171759268
SAMEA2466944	0.07187940918125336	0.0789441284375339	0.025354600634392148	0.02877658484441754
SAMEA2466945	0.0705210644568056	0.16356998108400528	0.02626722938798485	0.010116254151032745
SAMEA2466946	0.09420143213073728	0.13605935130515173	0.04706255559140319	0.0322775644848508
SAMEA2466947	0.09243121313414167	0.14148725904962878	0.03315397135172617	0.017363582523101193
SAMEA2466948	0.07507380947466553	0.13360249933823437	0.03584181819581281	0.015393424856461339
SAMEA2466949	0.0766397356648394	0.12317324140965961	0.02914008182384831	0.030396388658880686
SAMEA2466950	0.05425348724098767	0.14100379693790013	0.017777263485268556	0.011768529953944264
SAMEA2466951	0.06942949779398055	0.12179609717224497	0.039441128953438764	0.016508829268465322
SAMEA2466952	0.06470265971683507	0.10782772329157334	0.023493841216758432	0.015105385941400163
SAMEA2466953	0.07102292116994688	0.14110690211375299	0.02490390071459047	0.01638401765085318
SAMEA2466954	0.07056392774526188	0.12453413084313726	0.05002365748323496	0.025940185157123142
SAMEA2466955	0.08065736241591692	0.1322699754397445	0.03865770938527604	0.02216934491028078
