	PC1	PC2	PC3
SAMEA2466887	-0.043534709496593924	0.005806541180725122	-0.01216717922987948
SAMEA2466888	-0.030081668091093916	-0.05499806358929651	0.02543432743749495
SAMEA2466889	-0.05269663505487354	-0.02245981314162413	0.05823591210272945
SAMEA2466890	-0.06003133951482835	0.03535098482424309	-0.03929293648918336
SAMEA2466891	-0.048645309715732894	-0.016842721882557532	0.04896333659565755
SAMEA2466892	-0.03542115745700235	0.009658874480564128	-0.03865417583599828
SAMEA2466893	-0.03350350006797737	-0.0023931768273357246	-0.0005244010398320342
SAMEA2466894	-0.019063034343674488	0.00760996578486741	-0.07006752681375128
SAMEA2466895	-0.07366684427706778	0.06603671353947856	-0.05760594929226037
SAMEA2466896	-0.01609974669134621	0.031456901432442126	0.0106960515287928
SAMEA2466897	-0.046457142662245335	-0.004898118529337208	-0.06069945100669898
SAMEA2466898	-0.016036693584204887	-0.038570210390388084	0.05525951310703249
SAMEA2466899	-0.018712907099897196	-0.08705607201326358	-0.008313850268266832
SAMEA2466900	0.06052270252774104	0.00568427040522781	0.0709658268773921
SAMEA2466901	-0.024486676444758014	0.0032149485822067455	-0.02965910085241724
SAMEA2466902	0.026542578271649978	0.0524834904819714	-0.10635568993178217
SAMEA2466903	-0.024742948061200403	-0.048730554074471494	-0.07487769067965416
SAMEA2466904	0.00378125942166135	0.0009377681839157288	-0.01382777996206696
SAMEA2466905	0.039875867019963145	-0.017413794669182185	-0.09267058033984597
SAMEA2466906	-0.06400767400612149	-0.00834598489852519	-0.01248321072004545
SAMEA2466907	0.007612698489898819	0.11672925302488919	0.00480998764799167
SAMEA2466908	-0.022887079537537713	-0.03811608550601706	-0.08047138185517438
SAMEA2466910	0.028560525236639284	-0.06373018111825547	-0.04498127148022202
SAMEA2466911	-0.04125326694262078	-0.038656436361505495	-0.032735390023103855
SAMEA2466912	0.001003059405697767	0.007924821426821937	-0.03949494273530598
SAMEA2466913	-0.05114256719781019	0.032922254832984846	-0.07786907419239213
