	PC1	PC2	PC3
SAMEA2466887	-0.057248360251223214	0.003661733744488465	0.07064056007612284
SAMEA2466888	-0.04482607035786934	-0.02368893354445016	0.037519725756179956
SAMEA2466889	-0.0542279150304652	0.042011136121283134	0.12110004798432739
SAMEA2466890	-0.03052059462800273	0.06971568969672336	-0.024947749875932623
SAMEA2466891	-0.05027948879168924	0.03198145405593647	0.09654228694778977
SAMEA2466892	-0.06455147582058801	-0.016856803722989144	0.06248698538189465
SAMEA2466893	-0.0489657081708201	-0.014367482115381303	0.047374899999123476
SAMEA2466894	-0.028825471435331713	-0.03040660637939313	-0.016951920287720385
SAMEA2466895	-0.016966558798790787	0.03414378319938077	-0.059786639582959294
SAMEA2466896	0.002876164599618928	0.03168833127737722	0.014503890498839246
SAMEA2466897	-0.05357803873178461	-0.00845798828316357	0.00541339318816141
SAMEA2466898	-0.03696980543089226	-0.02024728280359541	0.09951628430944462
SAMEA2466899	-0.06593409910517743	-0.051807917624339984	0.032002417010500765
SAMEA2466900	0.06655077370742637	-0.005870735611160469	0.01590621739883569
SAMEA2466901	-0.05169879010720418	0.00161263914893964	0.007671185206286846
SAMEA2466902	0.06401510600037448	0.04178101469219315	-0.037183032349031996
SAMEA2466903	-0.05623264321211539	-0.06612369299448576	-0.02671991124507763
SAMEA2466904	0.016916176697398488	0.026574216298090817	0.009845954513018439
SAMEA2466905	0.0134509795566299	0.009757131818689662	-0.09782796945590867
SAMEA2466906	-0.07826090472071849	0.029795540656731033	0.031208033081901655
SAMEA2466907	0.07286628308636835	0.06835732933837844	0.014843513707365731
SAMEA2466908	-0.06703166742884589	-0.05368065042950599	-0.02882769773782832
SAMEA2466910	1.2278808054632296e-05	-0.04759233858441213	-0.06466965375080187
SAMEA2466911	-0.07167097899085197	-0.0014447424509032368	-0.003172225999950063
SAMEA2466912	-0.012334151199663709	-0.027675405026914384	0.0007134206764877365
SAMEA2466913	-0.021437778183874392	0.04341658985542483	-0.052876952549308666
SAMEA2466914	-0.02435620758951739	0.012708406187995657	-0.04136470610112213
SAMEA2466915	0.025146706539832135	0.08516589149848412	0.09066519896824872
SAMEA2466916	0.014898504746984623	0.02904077821748115	0.015854109555739855
SAMEA2466917	0.09334707227876732	0.10349721097066522	0.08149291374871663
SAMEA2466918	-0.03370147287408251	0.013111854612801815	-0.03687025473308104
SAMEA2466920	0.09891742830256815	-0.04942733492027853	0.05685204238678292
SAMEA2466921	-0.04319498451464226	0.04416233852613275	0.036118009348359854
SAMEA2466922	0.04482526472501235	0.10648549164766848	0.06046803799930743
SAMEA2466923	0.044250558016826404	0.007976714611854873	0.009073590945872172
SAMEA2466924	0.020587553496331134	0.07792126965283887	-0.03891102741949869
SAMEA2466925	-0.07042498130989774	0.0205146427415204	-0.019383618319586748
SAMEA2466926	0.022633168579091253	0.03766113846842227	0.028027436212110488
SAMEA2466927	-0.033826301979394395	0.10831979935736177	0.009740958123602891
SAMEA2466928	0.018532661573955347	0.08745203671324384	-0.023673811296614333
SAMEA2466930	-0.034837816063056956	0.036958879152441365	0.0327552432694299
SAMEA2466931	-0.01665545941722895	-0.023043684177985538	-0.03023618572768885
SAMEA2466932	-0.06573786246913144	0.027913573597021856	0.03572372980565703
SAMEA2466933	0.021621899396018336	-0.03174957728429752	-0.04522044419126117
SAMEA2466934	-0.049324467034028416	0.03244410653749139	0.0881738111940672
SAMEA2466935	0.021262960094463382	0.010784486957121501	-0.021404194697222607
SAMEA2466936	0.037344036232220934	0.06905556752201344	0.011014394714474832
SAMEA2466937	-0.04363294499402157	0.037412649590253505	-0.054179367264923575
SAMEA2466938	-0.03188599999151468	-0.00026304438424152893	0.05550788368872471
SAMEA2466939	-0.03936106470490934	0.038867559449812086	0.023233295600305005
SAMEA2466940	-0.04602762703982352	-0.02858725633278024	0.05544595745183849
SAMEA2466941	0.042722382628417946	0.07491488290748397	0.011984822555053237
SAMEA2466942	-0.06786605659783428	0.02057278052813078	0.11554081810050701
SAMEA2466943	-0.07390002851640229	0.07032518527785404	0.09732507239260278
SAMEA2466944	0.042331912925802635	0.03974263969091865	0.026981701077754813
SAMEA2466945	-0.00807599366678535	0.13815775138521916	0.014682059463173702
SAMEA2466946	0.01994604238211449	-0.01925703501361459	-0.01969487327099815
SAMEA2466947	-0.06998075515070362	0.05682365246867586	0.01884413895987806
SAMEA2466948	0.007465241405986901	0.05321534142923342	0.09177204041111194
SAMEA2466949	-0.031930302467949326	-0.02633908522477755	0.04663264908163956
SAMEA2466950	-0.04239787798285544	0.00013175531484864173	0.02077431550098125
SAMEA2466951	-0.09265063361431028	0.030082165151362406	0.01464046204117908
SAMEA2466952	-0.012462791400812502	-0.010953452299776992	-0.05820386059166756
SAMEA2466953	-0.06990753294083255	-0.03391291915031953	-0.03265307271861529
SAMEA2466954	0.06616947518469156	0.10492010591100966	6.380216009873892e-05
