	PC1	PC2	PC3
SAMEA2466887	-0.050305498839759794	-0.023968671493696494	-0.023473582558939252
SAMEA2466888	-0.04658796050484593	-0.04931475767112564	-0.07877679691801417
SAMEA2466889	-0.04269924458208885	-0.0033360755689867405	-0.04206740185418675
SAMEA2466890	-0.025472399157288175	0.07089046044762848	-0.056389265081611045
SAMEA2466891	-0.026380904001846076	-0.011877257781282125	-0.029709759325368665
SAMEA2466892	-0.04208656052151853	-0.02722991185467971	-0.06961649626770178
SAMEA2466893	-0.026438175951513373	-0.02276563370846374	-0.07874592618797821
SAMEA2466894	-0.013051165432838524	-0.04206871480143683	-0.10362560045840907
SAMEA2466895	-0.007863900462859176	0.06074420051448859	-0.0887930976955198
SAMEA2466896	0.023831738040996135	0.0005131293990745492	-0.08958367681683754
SAMEA2466897	-0.06212208469462518	-0.027482852288072436	-0.06300808613905522
SAMEA2466898	-0.03916296986306487	-0.047998252105148846	0.026159382554023565
SAMEA2466899	-0.07707012880773222	-0.07640364076238564	-0.006580422041811452
SAMEA2466900	0.06531504810854312	0.017387635040139505	0.0647704095501471
SAMEA2466901	-0.0320253543822874	-0.01623228407107434	-0.06214658690982429
SAMEA2466902	0.07848344750238943	0.03180267087960272	-0.02683813101988528
SAMEA2466903	-0.061488500371622797	-0.03283378336820599	-0.035057571762010985
SAMEA2466904	0.03282250268275342	0.04694652334463902	0.07060861590367716
SAMEA2466905	0.034916378177541355	0.04192528926994057	-0.011741288509598899
SAMEA2466906	-0.0653865666161969	0.011965354539440844	-0.011001850509519061
SAMEA2466907	0.08137556079748128	0.015758268551871003	-0.019913834931780467
SAMEA2466908	-0.07191941548494186	-0.03923368933742618	-0.05852487333450363
SAMEA2466910	-0.0016239838289313134	0.0313262898170777	0.03719666815961757
SAMEA2466911	-0.07849593669131164	0.007890279297745951	0.010713389736402774
SAMEA2466912	0.0006221708792226528	-0.035395442127333226	-0.09655800563830605
SAMEA2466913	-0.023732833368863948	0.07223476164607247	-0.03507685108593656
SAMEA2466914	-0.006221296715006605	0.020994477222372132	-0.08376127750631482
SAMEA2466915	0.051078948484089066	0.03558126521166613	0.08962172562880628
SAMEA2466916	0.027204165948729743	-0.0020352591657455624	-0.09649098136409665
SAMEA2466917	0.09788087124008424	0.01444952489194093	0.001805735775485386
SAMEA2466918	-0.02211114364589911	0.02879342244916379	-0.0329047920664278
SAMEA2466920	0.08794120944245612	-0.057762230050968526	0.040642929109767426
SAMEA2466921	-0.028776716905865384	0.018199250559511094	-0.09548408491159999
SAMEA2466922	0.057587169005638025	0.10107171038008136	0.08846275655819641
SAMEA2466923	0.05599798831051388	-0.02676834624124934	-0.046762588959494734
SAMEA2466924	0.03168216867094826	0.05053365402515966	-0.08028001893551799
SAMEA2466925	-0.068236902367492	0.021118626072818808	-0.0072988106474593615
SAMEA2466926	0.033346548420381324	0.001358197155323459	-0.046998294703014414
SAMEA2466927	-0.026210156206734246	0.07688438844231936	-0.10307941783344791
SAMEA2466928	0.02232462335639619	0.06592829045842356	-0.07786903078966201
SAMEA2466930	-0.014550610198446123	0.03629665361862098	0.10510411218512569
SAMEA2466931	-0.014379978374933376	0.01017340955880531	-0.005255190044673379
SAMEA2466932	-0.0764145903731006	-0.0018642777284616353	-0.007722173640905773
SAMEA2466933	0.0483813358063714	-0.045996878636924254	-0.030453651039192335
SAMEA2466934	-0.027863172528383297	0.01741343612495178	0.06332331869015378
SAMEA2466935	0.025672061265682174	-0.003969437882280316	-0.0674556870022602
SAMEA2466936	0.03400698027991312	0.022413057701535004	-0.06675846573735912
SAMEA2466937	-0.040692044337509836	0.061882896776223426	-0.03022537218859029
SAMEA2466938	-0.03703394005458964	-0.02778371846834007	-0.07037721462664734
SAMEA2466939	-0.040059984424985734	0.07274825125128828	0.021423697369002924
SAMEA2466940	-0.03558563059956382	-0.009377862564050045	0.024071890529671014
SAMEA2466941	0.04784299338238365	0.022093982851982746	-0.05962819750950385
SAMEA2466942	-0.06758599565792599	0.0026601399728844494	0.056781953065353656
SAMEA2466943	-0.06631454220064131	0.06905210825142628	-0.002825929875270178
SAMEA2466944	0.040622795841030034	0.007723194014664081	-0.06721396776970706
SAMEA2466945	0.015099628538459314	0.12751734977112314	0.012835908395557196
SAMEA2466946	0.030680409149102163	0.007002989799122618	-0.046881617395403904
SAMEA2466947	-0.04107105472819562	0.0660875169620124	0.016858160823778362
SAMEA2466948	0.0027786877762836105	0.006241342232004909	-0.04494097118392437
SAMEA2466949	-0.04632646849542513	-0.044456043383294175	-0.025391554584748486
SAMEA2466950	-0.05324915899139505	-0.0025690453336804117	-0.09567518545780718
SAMEA2466951	-0.08727827697230876	0.04810149761585391	-0.026204664852833036
SAMEA2466952	-0.007649830893236878	0.011914453124240588	-0.07397024235798173
SAMEA2466953	-0.07543817135013256	-0.014607119059381335	-0.06168270462023117
SAMEA2466954	0.06638024613695458	0.061688435544488635	-0.02966798497110864
SAMEA2466955	-0.07262820051301329	0.007059133114659511	-0.049280175364004655
SAMEA2466956	0.06301848554284285	0.0936412893831254	0.010973155489044638
SAMEA2466957	-0.026401236717861647	-0.030499476528272985	-0.09062630673684746
SAMEA2466958	0.03524626994328414	0.07135707108574782	-0.031802546917561604
SAMEA2466959	-0.08673448046218457	-0.024805621420654757	-0.029259907184042016
SAMEA2466960	0.05333470881827822	0.030127870814025983	0.07636889653988907
SAMEA2466961	0.010338280390811734	0.01409980044449878	0.022171658880053735
SAMEA2466962	-0.03228013532057402	0.026395279949478385	0.010532978176748148
SAMEA2466963	-0.053095212349283716	-0.022147278506506836	-0.0075512967452522044
SAMEA2466964	-0.07580167243818084	-0.007734618495594631	0.044363133675974414
SAMEA2466965	-0.03073705660810335	0.013473266851971425	-0.05404724795351549
SAMEA2466966	0.028086828056206728	-0.002355018909370394	-0.08676734801581214
SAMEA2466967	-0.0680507835770181	-0.023020119717239537	-0.08938269123525236
SAMEA2466968	-0.012946063986260536	-0.061695346316754135	0.01838679332607391
SAMEA2466969	-0.026359560300251092	-0.039549014213662755	-0.062309819117411416
SAMEA2466970	0.024176174054077272	-0.02473713813589054	-0.03906976888886801
SAMEA2466971	-0.08623242569178897	-0.03582959583032431	0.014566117277180634
SAMEA2466972	-0.01271564845203128	0.044813839520116173	0.11954980013589792
SAMEA2466973	0.026430206075065257	0.08545878024120415	0.1388509149394346
SAMEA2466974	-0.0455528853102944	0.0195133939402433	0.06922127345955556
SAMEA2466975	0.013773615130181148	0.034005765373851096	-0.014248055121024917
SAMEA2466976	-0.03624106000722717	0.052446899333711286	0.03703134005389791
SAMEA2466977	-0.060474253772325216	0.0007086815771365949	-0.04976919608547978
SAMEA2466979	-0.0194269803763234	0.043285976044585825	0.0007479570481625304
SAMEA2466980	0.04078511234787598	-0.00805729470629705	-0.03679047387688083
SAMEA2466981	0.04492673666388757	0.023838922725695027	-0.0415729307889731
SAMEA2466983	-0.04731307640131664	-0.029503330287914332	-0.048006818165594205
SAMEA2466984	-0.04252276904002686	0.033003969947524046	0.08032611500818974
SAMEA2466986	-0.06558977444803601	0.03911587357784506	0.01453100833971098
SAMEA2466987	0.0780497238260132	0.050020442332659856	0.03444833361287439
SAMEA2466988	-0.06374987940223151	0.05986193650973224	0.008933980384614014
SAMEA2466989	0.010918652306593234	0.022263142866509055	0.09944760795526425
SAMEA2466991	-0.0033918816795732642	0.07594678887651553	0.019923835442303535
SAMEA2466992	-0.05409269737623572	-0.013429928923556801	-0.05598066098575938
SAMEA2466993	-0.05393625102337391	0.09150578965846091	0.062043571496843634
SAMEA2466995	-0.04621500779088305	-0.0021254502357022117	-0.047434651224841966
SAMEA2466996	-0.05013526026893196	-0.0325096179321884	-0.048153010186611216
SAMEA2466997	0.03514679043398992	0.0612652569218091	0.016428351609530798
SAMEA2466998	0.107437622210782	0.045140831901204076	0.03632303278368662
SAMEA2466999	0.04677763286694209	0.007307274543342364	-0.050700833446756945
SAMEA2467001	0.08709076709887754	0.010136579269218163	0.0034545516336126937
SAMEA2467002	0.06685912289117063	0.03781065815490319	0.10040631207914705
SAMEA2467003	0.041928809692829805	0.027695278116180107	-0.04588033433055987
SAMEA2467004	0.05488473678384497	0.08702956688094943	0.03428658255201878
SAMEA2467006	-0.08661688717388197	-0.07481089681534933	-0.024048052440416474
SAMEA2467008	-0.023355278001604255	-0.04269376212894128	-0.03873380766835756
SAMEA2467009	0.11211313972866908	-0.04476452698362413	0.017922483967009205
SAMEA2467010	-0.01572613182423682	0.02967393583646469	-0.09797353213924438
SAMEA2467011	0.08190476803244742	0.014606962109794808	-0.019934545745082428
SAMEA2467012	-0.056155266846109476	0.0312248089582246	-0.03188348427782238
SAMEA2467013	-0.032352422556480555	0.026630119085110284	-0.030973450729068833
SAMEA2467014	0.03819117900219927	0.04455234321329216	0.0026215664598310527
SAMEA2467015	-0.028584084857954616	0.019091972956936154	-0.06371230339690791
SAMEA2467016	-0.03150507177124847	0.023454651289226896	-0.04194021181834415
