	kraken2 + bracken	metaphlan3	motus3	metaphlan4
SAMEA2466887	111.77182837958188	83.89921586099456	53.61117197458534	52.759371334522285
SAMEA2466888	109.63973605830819	80.24583890473997	47.233191672985875	39.59622444346827
SAMEA2466889	120.25880022444656	105.24208777654057	68.5769800745002	54.399449688100994
SAMEA2466890	112.27319183765985	82.00239753475222	57.14479107139823	47.12955345102498
SAMEA2466891	119.42903427182053	83.8698233213995	55.68990996823009	48.098715008223394
SAMEA2466892	98.72389708481043	81.58560319220321	53.79994239757296	40.17084647618959
SAMEA2466893	117.39416922531638	71.32098644160402	53.09588661342256	43.07775856305349
SAMEA2466894	111.48259298938667	71.61449855385356	48.88734430290574	43.19766985851155
SAMEA2466895	117.60930223861563	71.6794648403975	52.38780141130092	38.45068949637135
SAMEA2466896	110.91554082804574	61.60030371932845	45.91510102690132	34.18330591918593
SAMEA2466897	95.45385689894005	89.97080302102492	58.8161464458993	42.91784965077312
SAMEA2466898	125.59631628375477	87.57820258040698	58.005380153983275	51.84948579699093
SAMEA2466899	106.11333156659192	85.9927473289425	54.800239814196225	46.75295558447139
SAMEA2466900	116.33791677786358	78.15201925513374	46.03211731300823	39.00414914992741
SAMEA2466901	98.44930611563429	71.31666543115796	49.941331730540945	40.957242392448805
SAMEA2466902	105.80798051416717	74.20891015358765	49.73290959030865	33.690336921654875
SAMEA2466903	113.18789953598855	88.07236643462166	57.94501932797783	48.92123627122213
SAMEA2466904	108.5297701001215	89.31713196536653	60.05574280704673	41.9188406826669
SAMEA2466905	110.72956202191193	73.39483151418278	47.911498942300284	35.35763820321445
SAMEA2466906	108.80508285772471	88.75061100313776	52.095533003797534	52.326642767334874
SAMEA2466907	109.59714120866902	69.61381852991875	53.61781962600103	35.31254075838264
SAMEA2466908	101.50378221179871	87.13884968147872	61.475163727374685	45.704348092392515
SAMEA2466910	106.10106671561252	83.17317637151253	55.26097021856651	45.75681876431436
SAMEA2466911	96.83363773589915	96.47936597650532	68.28781790668256	64.7545299075232
SAMEA2466912	107.27387737066832	62.26918728528119	44.355186256562455	35.73678653462536
SAMEA2466913	103.30766154751464	87.74574159104034	60.07296238054982	49.439072355305804
SAMEA2466914	93.93568605776274	70.73264401856092	57.66902048137636	48.21031779985049
SAMEA2466915	114.88296708677693	97.03413301387883	60.701660132853384	52.87162389638013
SAMEA2466916	112.41569262909371	73.24943180839114	53.826400130615085	39.48420059799963
SAMEA2466917	114.48731029486247	69.68596776303727	49.00293324458352	35.246613098899545
SAMEA2466918	88.88819185037174	72.01948917377487	54.10802163139174	40.30936118819877
