	PC1	PC2	PC3
SAMEA2466887	-0.03768376671518279	-0.027435047063136996	-0.026693236836653634
SAMEA2466888	-0.020965426589211633	-0.021897990910147574	0.06138957699552472
SAMEA2466889	-0.041651989306786597	0.0030575399456548337	0.12570377477112993
SAMEA2466890	-0.06377026881806105	0.028028578583388253	-0.01904402137875988
SAMEA2466891	-0.04494577243437372	-0.003961573228413062	0.0668640467856805
SAMEA2466892	-0.06196962629896505	-0.014981608596838336	7.071177318490607e-05
SAMEA2466893	-0.05596055729659649	-0.012822830290256326	0.08451364924722243
SAMEA2466894	-0.04780321013850913	-0.02134912950041072	-0.0037091919969109988
SAMEA2466895	-0.09478232152062642	0.05266629871974463	-0.054939089808050845
SAMEA2466896	-0.05793025788172818	0.014613959757383253	0.10977272392693468
SAMEA2466897	-0.05004266067951778	-0.04405950409147763	-0.04043992856841427
SAMEA2466898	-0.02083605077681106	-0.0029093532197999607	0.06964418073897076
SAMEA2466899	0.002600702572060095	-0.08060733163632706	0.01860725383128479
SAMEA2466900	0.03701475883455326	0.007681863907625546	0.020230481498845293
SAMEA2466901	-0.03700263681551951	-0.027864818805794767	0.012111529049805423
SAMEA2466902	0.012164497796003636	0.030223054930341563	-0.08727149801651685
SAMEA2466903	-0.021080347932251386	-0.07631731234524627	-0.020123592257212018
SAMEA2466904	-0.005631000668031133	-0.01345622657058349	-0.01338894567940541
SAMEA2466905	0.03442298741151443	-0.0404688337178669	-0.04566755793536319
SAMEA2466906	-0.06498521662671138	-0.024727918549470557	-0.0029162043404034554
SAMEA2466907	-0.030260202243171486	0.09854899366015847	-0.07084828987828891
SAMEA2466908	-0.01288576929943582	-0.058091867223798534	-0.03546532757224579
SAMEA2466910	0.045845844307233256	-0.06298727910107774	-0.02332669982864365
SAMEA2466911	-0.015626633078614373	-0.06009172149270733	-0.018349909849040877
SAMEA2466912	-0.04349492530628677	-0.015429487236429828	0.004970701453252183
SAMEA2466913	-0.06235656134139961	0.005221927440087053	-0.07299784461725937
SAMEA2466914	-0.022331123595217474	-0.02965987597203254	-0.028109308499141422
SAMEA2466915	-0.030328889029209934	0.05485750789047312	0.053738164350529596
SAMEA2466916	-0.06730100785900657	0.04084231786672826	0.07770373666512602
SAMEA2466917	-0.06302544319266475	0.15523113224161633	-0.07385066463389603
SAMEA2466918	-0.026384982239524644	-0.0235817797447906	-0.0529908631170412
SAMEA2466920	0.07220063712868433	0.06580695814487993	0.028753401119701195
SAMEA2466921	-0.08828258002448656	0.05943622615588086	0.038977643876059447
SAMEA2466922	-0.03264000028659553	0.06978730666302202	0.057193665469116306
SAMEA2466923	0.023048734090968095	0.033265594090128706	-0.0870781135879152
SAMEA2466924	-0.08126430071261986	0.06590721666136401	-0.0843390382351114
SAMEA2466925	-0.02423179856752045	-0.008347262695978692	-0.008974383028482238
SAMEA2466926	-0.03173620550442362	0.0427743829361995	0.04324801056916114
SAMEA2466927	-0.09105479571048752	0.05616463937133554	0.001639818949654366
SAMEA2466928	-0.07097714003022913	0.057373524591117796	-0.07776908189637574
SAMEA2466930	-0.010177807503073791	-0.010009744596899376	0.014853788660431706
SAMEA2466931	-0.0032296629376848233	-0.03122433364327767	-0.07879775561619966
SAMEA2466932	-0.014523090653598735	-0.015285720401203582	-0.0002577064133038095
SAMEA2466933	0.08426375890491322	0.03584574206030256	0.00520596907110603
SAMEA2466934	-0.05938799083847374	0.03831755889982383	0.041636770778742505
SAMEA2466935	0.035460656207805925	-0.007131111966466762	-0.0333539098735302
SAMEA2466936	-0.04030731905623433	0.08900452545268285	-0.07648145110487829
SAMEA2466937	-0.07029871246341436	0.0023899406397654057	-0.03436206947084165
SAMEA2466938	-0.012726612917405181	-0.016353100641290287	0.08260033825909906
SAMEA2466939	-0.0670053088499756	-0.024307432100168936	-0.022519471547287968
