	PC1	PC2	PC3
SAMEA2466887	-0.0246847613329999	-0.047170894019700225	0.00331788312983656
SAMEA2466888	-0.02583090988201281	-0.003619088292261319	0.03298777903849583
SAMEA2466889	-0.04378435624260579	0.03387647894394136	0.07444787332664386
SAMEA2466890	-0.05895987374406064	0.037277127025000745	-0.018712740980412874
SAMEA2466891	-0.04649808521284107	0.014690774613921542	0.05640682529914498
SAMEA2466892	-0.06240846686384015	-0.0004843974434518561	0.015870601584337
SAMEA2466893	-0.056952762721808714	0.013140339833031006	0.03187687602697035
SAMEA2466894	-0.05145711845478422	0.00610133523133264	-0.0038287339710035354
SAMEA2466895	-0.08930433519409374	0.045238283507172	-0.07397157098879245
SAMEA2466896	-0.06044649772291258	0.04712909438423077	0.043703641661709036
SAMEA2466897	-0.04985760001698112	-0.05281351539003955	-0.03674928003240563
SAMEA2466898	-0.028557842852055926	0.025729542120161906	0.09408699001201774
SAMEA2466899	-0.010211896869262329	-0.06539261558041094	0.01359550158899861
SAMEA2466900	0.03507475114095227	-0.024714583806611106	0.013095022821251608
SAMEA2466901	-0.04449038492483219	-0.00022506708426742858	0.032409520211854816
SAMEA2466902	0.03032804234794417	-0.004404688464731689	-0.09774653196275694
SAMEA2466903	-0.031012177162107656	-0.0593257637372269	0.0032685548426086035
SAMEA2466904	-0.005780672720449472	-0.03583287053079563	-0.01925217701840807
SAMEA2466905	0.030921342154343206	-0.048133502114886206	-0.060046786390387935
SAMEA2466906	-0.06506479243100662	-0.001957613805717796	0.02582214408344431
SAMEA2466907	-0.003930426962208164	0.053347824177207646	-0.07991826937920504
SAMEA2466908	-0.02122878319210758	-0.043700904100777795	-0.024166654142202235
SAMEA2466910	0.03652724217895115	-0.07169364233550116	-0.011344426727828356
SAMEA2466911	-0.029271256887259966	-0.05475946236556865	0.0038006856807840496
SAMEA2466912	-0.04898893994832994	0.01163191593549189	-0.0005972553547147635
SAMEA2466913	-0.06058299295435986	-0.0026151018383907855	-0.07532584040788061
SAMEA2466914	-0.028842307934192714	-0.010260311602778202	-0.033616351079070704
SAMEA2466915	-0.02455566463129046	0.03965388688405373	0.056511787285920156
SAMEA2466916	-0.06814972747374613	0.07405609878326692	0.023026526558183415
SAMEA2466917	-0.02703965465684232	0.08989468538197302	-0.09854075288845472
SAMEA2466918	-0.02470116280431343	-0.02186492130653052	-0.0482141910529095
SAMEA2466920	0.05611656432510413	0.07500032740918623	0.01798519053860569
SAMEA2466921	-0.08403277035758244	0.07400700675877493	0.003455522842682805
SAMEA2466922	-0.034652770341022265	0.07964478139209112	0.03340177152223054
SAMEA2466923	0.03662219384518658	0.025953919806271722	-0.0909511249349287
SAMEA2466924	-0.06757588104488833	0.06020921119448761	-0.11957721716839416
SAMEA2466925	-0.024253562858209274	-0.010860364608608978	0.029707508420124762
SAMEA2466926	-0.028018385838135425	0.05432573181777372	0.024070762215070027
SAMEA2466927	-0.08522624111656629	0.06537596487568656	-0.029827725023720414
SAMEA2466928	-0.0641559980667677	0.05378864514926505	-0.09271887491949297
SAMEA2466930	-0.01178058854493264	-0.01806033435924113	0.05442393203515698
SAMEA2466931	0.0020314097530257542	-0.05525260900786938	-0.0684132395816855
SAMEA2466932	-0.026149499262452133	-0.022858727364509827	0.03334025213330763
SAMEA2466933	0.08432636030790516	0.043160140964744284	0.009511426475753645
SAMEA2466934	-0.05385634323145784	0.0441258843098683	0.04421396287819161
SAMEA2466935	0.04425480493684923	-0.025173227412687772	-0.04668888853797241
SAMEA2466936	-0.007301460726472517	0.02916169822760744	-0.08225665328761578
