	PC1	PC2	PC3
SAMEA2466887	-0.02608931614710162	-0.04441376206133338	-0.00010205521114502888
SAMEA2466888	-0.027393946597392138	-0.005281101600526861	-0.03813717077037776
SAMEA2466889	-0.04439159889332511	0.029173584026275012	-0.07797716348322728
SAMEA2466890	-0.0591522373832285	0.037223112481648335	0.018019334973270136
SAMEA2466891	-0.04637227680378253	0.013529196364819751	-0.05912538112412613
SAMEA2466892	-0.06220912638934455	-0.0014840415821547048	-0.015028762025406726
SAMEA2466893	-0.056538630725805006	0.010792845132058776	-0.033018899795014815
SAMEA2466894	-0.05207200880217962	0.005558756704282984	0.004087651510142067
SAMEA2466895	-0.0887548966986404	0.048625018080199846	0.07297459783963411
SAMEA2466896	-0.05967307541747386	0.04499656635645036	-0.04655141370721288
SAMEA2466897	-0.04952413392580547	-0.05027321606225255	0.039745203507161514
SAMEA2466898	-0.028523972792674695	0.021549922145969423	-0.0946724293908533
SAMEA2466899	-0.010923512958751923	-0.06749920429238368	-0.014420948834661496
SAMEA2466900	0.036927929188469974	-0.022897897123269492	-0.009235370833758583
SAMEA2466901	-0.044285715686745004	-0.0024184041515538197	-0.031679292101038176
SAMEA2466902	0.02926352747332437	0.0014156531514012071	0.10234953059296505
SAMEA2466903	-0.03159270994446346	-0.059464828704454645	-0.0012549924119816202
SAMEA2466904	-0.0054558536373419154	-0.03274312883302403	0.02288964644966286
SAMEA2466905	0.030848465792749212	-0.04579454744932892	0.06401862066602311
SAMEA2466906	-0.06542419586235096	-0.002825916858660146	-0.025844077608204154
SAMEA2466907	-0.003366142128628216	0.059746252133101585	0.08134723159175895
SAMEA2466908	-0.022419212302705927	-0.04433913585623054	0.024224844737562486
SAMEA2466910	0.03559716681909756	-0.07190805890067499	0.01606031311435636
SAMEA2466911	-0.029314356360239935	-0.05574287783160934	-0.004711877352100996
SAMEA2466912	-0.04827936525358074	0.011341198845944499	0.00011712397363432362
SAMEA2466913	-0.060067478913314445	2.6804064220935803e-05	0.0749844576653258
SAMEA2466914	-0.028848077755546087	-0.01055383739108421	0.030370079033876063
SAMEA2466915	-0.024150619778152912	0.040600466288642355	-0.05653004625398138
SAMEA2466916	-0.06728164712012666	0.07213209659907563	-0.027181607349956085
SAMEA2466917	-0.02733707843550861	0.09967925607596712	0.09812063604387289
SAMEA2466918	-0.024767137013267135	-0.020962259656071763	0.0478927108477584
SAMEA2466920	0.05826635477334724	0.07302204145828979	-0.022116087726521662
SAMEA2466921	-0.08335626993983465	0.07291760613166316	-0.007039649869576581
SAMEA2466922	-0.0337490604913842	0.08006117741568611	-0.03436838670661435
SAMEA2466923	0.03698992345556209	0.03015140372805947	0.08611478242339123
SAMEA2466924	-0.06739697664720463	0.06653466444273703	0.11658490605207404
SAMEA2466925	-0.02582616767149808	-0.012373241455827117	-0.02794596313490039
SAMEA2466926	-0.02728153642526296	0.05417418964358993	-0.027311591236480574
SAMEA2466927	-0.08461799131422057	0.06536889600131837	0.0251044575932055
SAMEA2466928	-0.06372267428013187	0.05879994873193948	0.08746709148281688
SAMEA2466930	-0.011634853954491016	-0.01966524091582437	-0.04973278147088789
SAMEA2466931	0.0015667867747944722	-0.05132018144197161	0.0704558145937771
SAMEA2466932	-0.027160280284324094	-0.02412623634622335	-0.029979535460377262
SAMEA2466933	0.08368290791256357	0.04101228560445369	-0.012666488851028588
SAMEA2466934	-0.053268437990327155	0.04135529804040021	-0.047017417878258305
SAMEA2466935	0.043483906790132545	-0.023472752550040093	0.046793414252435404
SAMEA2466936	-0.010168862148266223	0.03779545341190747	0.08353020969523399
SAMEA2466937	-0.07347546155419644	0.01279640337067215	0.0390082268252616
