	kraken2 + bracken	metaphlan3	motus3	metaphlan4
SAMEA2466887	0.25899123940888275	0.3974413825737404	0.08452791033917131	0.11364255224862384
SAMEA2466888	0.23589644026321052	0.5311889074519238	0.13071106234349886	0.11483847949984685
SAMEA2466889	0.25941480389367233	0.6422343541693599	0.14334704671425516	0.0646651684892306
SAMEA2466890	0.22743459130088	0.3523507827144655	0.13448059663675102	0.03442781249858046
SAMEA2466891	0.28116109936392886	0.4008760227744673	0.15883505501162878	0.0682144819352899
SAMEA2466892	0.1856363989267352	0.2663023859824049	0.09297641924187235	0.027439919795539412
SAMEA2466893	0.24953389326132963	0.44358706597573117	0.09550579539484665	0.027155336977766762
SAMEA2466894	0.18347403773914073	0.47609018168498224	0.07711017598502147	0.03451742571050538
SAMEA2466895	0.23336440469550657	0.3692779828411299	0.20631226047009518	0.03436190504596923
SAMEA2466896	0.4403772991280739	0.7261939349168449	0.5523602861132166	0.5119279698479988
SAMEA2466897	0.187417495343515	0.3265877688830082	0.11963340839243815	0.047728025947645115
SAMEA2466898	0.23114357895609858	0.5392949404057696	0.06874165784459918	0.09974347825062262
SAMEA2466899	0.23851668718618818	0.5057550242919879	0.1760237424530679	0.11707515579405543
SAMEA2466900	0.23479117046147024	0.5004377751341448	0.2965428465893342	0.26059975246466655
SAMEA2466901	0.2124832865661485	0.5340449033433894	0.08429948362620385	0.02350431645311112
SAMEA2466902	0.24009017266801813	0.41875004127998905	0.11679650912267787	0.036931344259187884
SAMEA2466903	0.22119422638697517	0.5249549669119978	0.14414241454515245	0.04530944226775938
SAMEA2466904	0.22604448058398138	0.45351516078269505	0.10660369655720214	0.0466329779371895
SAMEA2466905	0.22550273198367887	0.3599112620151234	0.09633861850204696	0.032663852550562665
SAMEA2466906	0.2163230857709693	0.36668390344270796	0.08687608615793933	0.12339710795706997
SAMEA2466907	0.22685672318072195	0.41275211717336413	0.1719969663981776	0.03325629244284854
SAMEA2466908	0.18470749643929654	0.4246265587328161	0.12939165578389858	0.0514232250802182
SAMEA2466910	0.2261830247408702	0.37983624323836107	0.10073987121482875	0.0401517031902
SAMEA2466911	0.19497268418046115	0.4788833835113799	0.17423784128112924	0.08185289545941427
SAMEA2466912	0.2107357810214302	0.23883301057985484	0.06896513955652865	0.02422597335773057
SAMEA2466913	0.20696822284429509	0.4141757713480324	0.1890959580718296	0.0766992828675172
SAMEA2466914	0.1905010849157717	0.4291236752899546	0.157438740112404	0.04438051522261615
SAMEA2466915	0.2385206428723882	0.6088359335433047	0.15731719694413385	0.052365496572757
SAMEA2466916	0.3022955582487404	0.5669807846366226	0.27738553924944154	0.21661979463595507
SAMEA2466917	0.28566888284269576	0.12466615875436339	0.34325133194842666	0.05955989711521179
SAMEA2466918	0.16941956638373767	0.2916697030675899	0.1568131645511958	0.045916442390376226
SAMEA2466920	0.19720158128785348	0.5778661816449311	0.07917522400426999	0.017166835224125366
SAMEA2466921	0.2769116433337623	0.3926511232561877	0.368003820948003	0.15525305489378644
SAMEA2466922	0.13505767155489215	0.7070759662903103	0.09534937448298221	0.028726882523080043
SAMEA2466923	0.2087383448667772	0.3126062894772671	0.18423862160401436	0.030656287812835296
SAMEA2466924	0.18762818380060797	0.2718354734547864	0.09712132176925511	0.038277114490054255
SAMEA2466925	0.24896870539489893	0.379952161881222	0.13152049799439072	0.07300702774247714
SAMEA2466926	0.2738168014128295	0.31065549961564887	0.141677423522413	0.048887806390511
SAMEA2466927	0.23108791642968007	0.45115681144133546	0.1701691554045697	0.08252037136779763
SAMEA2466928	0.2207549352101514	0.23946599809438038	0.11457378263605297	0.03519149891198377
SAMEA2466930	0.26817172920017013	0.2628442350199426	0.18403360218518797	0.08371604378445344
SAMEA2466931	0.23323074666891327	0.3635035638859731	0.1764287840595536	0.05970629214608665
SAMEA2466932	0.2234789116359653	0.51549327693719	0.12020290577781888	0.0713183830514061
SAMEA2466933	0.24684818843632902	0.42623056408849913	0.17113626816600244	0.028569368496284615
SAMEA2466934	0.2382789537646346	0.596151123517616	0.10065396238587833	0.03692012519940631
SAMEA2466935	0.22494739543849926	0.38706766254213926	0.15349630305091147	0.03460746908030922
SAMEA2466936	0.29016082218599876	0.27925051468765527	0.2754528421095293	0.048996950907285945
SAMEA2466937	0.19632434626404063	0.4984777152290188	0.12468481182453883	0.0455689852115252
SAMEA2466938	0.32220985513818834	0.5912321225901712	0.26938583523905474	0.21908790810689718
SAMEA2466939	0.20452262892332376	0.5490531800098573	0.095902780180527	0.03708097516021179
SAMEA2466940	0.26075944435557624	0.46346724868588035	0.19817866746747015	0.07800056855631021
SAMEA2466941	0.21347245545964955	0.34663995502795486	0.1998266308393839	0.047930805497448395
SAMEA2466942	0.18243028460249516	0.42926342815053714	0.1209343754183829	0.07074946297286583
SAMEA2466943	0.19277128205717525	0.49855160311247076	0.1442392572513408	0.08025551101198235
SAMEA2466944	0.4531117429123784	0.5871105076196041	0.39470070145678327	0.3144321894888869
SAMEA2466945	0.17949996739004312	0.514975752925474	0.14542921733164785	0.044285483674865955
SAMEA2466946	0.2188612764697889	0.35020724319168545	0.12855483200387313	0.023275681919574766
SAMEA2466947	0.1815692185367313	0.3378324905290837	0.08545653292406946	0.05119702596807465
SAMEA2466948	0.21480066015050836	0.5017850577677749	0.19537431356244164	0.10861031613273527
SAMEA2466949	0.2121981192603652	0.33239411073284064	0.12647690388115237	0.04570558319141148
SAMEA2466950	0.3947748054644456	0.7061958311878581	0.511412716314322	0.4294303632225903
SAMEA2466951	0.21157030788839915	0.4306380614376048	0.18362647522585102	0.07760034690423141
SAMEA2466952	0.1810439469571626	0.4172387411287905	0.08284437774492055	0.034689643772671544
SAMEA2466953	0.1604445638364711	0.473739253262398	0.12390819302853202	0.04082649684461382
SAMEA2466954	0.18259629659513468	0.3419206646481039	0.2150050983899139	0.029455498976811278
SAMEA2466955	0.20876143071237332	0.41662558848855225	0.15372809233507942	0.04296801132196217
SAMEA2466956	0.197252173677947	0.3622622782297064	0.11170915471959864	0.055842550355224306
SAMEA2466957	0.19901014890855728	0.3884857759092992	0.11479838614713177	0.05035963497633603
SAMEA2466958	0.19590836362142672	0.3453771705434437	0.10893768456081311	0.02320046637355344
SAMEA2466959	0.29963367624367504	0.6590860821785796	0.27070924555449993	0.246742039326293
SAMEA2466960	0.22850112383049212	0.4543402060477419	0.3524559960813423	0.0501723005433249
SAMEA2466961	0.2502839596068314	0.4988025282054335	0.2189155617768487	0.09455401709090848
SAMEA2466962	0.21615437833358647	0.43226299392726	0.09282075677798118	0.038855980149689134
SAMEA2466963	0.20087406280877057	0.3653196343733909	0.11193480952011232	0.055636063328720294
SAMEA2466964	0.2700971063609686	0.47080185962985444	0.15923011791340286	0.1275866774842653
SAMEA2466965	0.23888242942171722	0.5414838529887563	0.15194079804176777	0.08792022659020633
SAMEA2466966	0.2795983681540842	0.41184163515956557	0.17034748765906196	0.045606672172114754
SAMEA2466967	0.2041387467004354	0.4662780296080929	0.20133665307756737	0.05659602598665562
SAMEA2466968	0.2134685830361799	0.6015770597529797	0.21631332482944662	0.036168380161339796
SAMEA2466969	0.3618442446865621	0.6989443309836868	0.44384723319079955	0.3949470119279657
SAMEA2466970	0.20003945355740224	0.4316247765763748	0.15969867667134074	0.027329844615501926
SAMEA2466971	0.16546804746254568	0.4372624744964692	0.12887144954371996	0.05319796932630904
SAMEA2466972	0.22256749222157962	0.5275031368925577	0.1177718357945012	0.07151221376551375
SAMEA2466973	0.21055673322079865	0.33063052208202426	0.1099290481586082	0.040752360573636466
SAMEA2466974	0.22687522872213148	0.4514736143877872	0.133168341956923	0.04449283585595269
SAMEA2466975	0.1718555271386136	0.31184549970662806	0.1614883906403936	0.05607085336701022
SAMEA2466976	0.20585021885464322	0.4181976511034111	0.13489066996411003	0.08445691069888052
SAMEA2466977	0.2877402908540346	0.5127478285402307	0.16982864538473966	0.12431402956262094
SAMEA2466979	0.2108453949000965	0.3775307359353477	0.17940712527637448	0.07837790684988288
SAMEA2466980	0.2357412790340274	0.39704165327339214	0.13140074361406712	0.032633794056368536
SAMEA2466981	0.2230167054861838	0.5311655671339832	0.10304188472112369	0.026481926171236396
SAMEA2466983	0.3397880245080761	0.5632068009370238	0.38115831607799067	0.337950166445032
SAMEA2466984	0.17108042781113025	0.579181796922726	0.12480053913611715	0.0523247312767996
SAMEA2466986	0.26763495792016506	0.3585462812743919	0.1264033685815483	0.08884260475438535
SAMEA2466987	0.25183884160160236	0.3097808827879262	0.20390822519290855	0.024647174986511266
SAMEA2466988	0.21604865128676898	0.5513294075325679	0.15311079673475017	0.05198079726879918
SAMEA2466989	0.3587507064718187	0.4685149442228352	0.25966976151681737	0.18534917124558922
SAMEA2466991	0.23015629339058521	0.4374527083940916	0.1541917518327148	0.06943702817022707
SAMEA2466992	0.23765437469132492	0.5275422620370952	0.16481302566974682	0.10292237547839746
SAMEA2466993	0.19973009842689646	0.47067186994732524	0.109096317022907	0.07253858544460723
SAMEA2466995	0.20251449061257357	0.47188793081790176	0.1412358847548006	0.04124683482608447
SAMEA2466996	0.21911658585667557	0.4536284660428308	0.1783751577701549	0.0683301751769095
SAMEA2466997	0.20052912156566705	0.44630392501239763	0.12621315567900965	0.030469413268366087
SAMEA2466998	0.22706361876934583	0.3200178289011666	0.3025080820877057	0.10003365291645283
SAMEA2466999	0.1688627482584539	0.3686992657740873	0.14489876218472106	0.044589308001741726
SAMEA2467001	0.2345720188928338	0.15346588086080323	0.44923415385254833	0.04238577880063208
SAMEA2467002	0.28326389071210306	0.38972033421106095	0.1284783991376753	0.047615885570151555
SAMEA2467003	0.2099445225508256	0.3973783061345607	0.14640864620549984	0.03873258100410908
SAMEA2467004	0.23466499361237966	0.37538957359295566	0.17223593972757426	0.041134321977008705
SAMEA2467006	0.28291720635972356	0.523670815070952	0.26600702620211014	0.20351857407214152
SAMEA2467008	0.3268538180351163	0.6357215359123701	0.2521853880061899	0.19927969010969557
SAMEA2467009	0.23104980508605438	0.11937487277217228	0.13201961102478094	0.14332718641547132
SAMEA2467010	0.13352721738095813	0.27007305863126996	0.13094218870920285	0.022303496695555158
SAMEA2467011	0.25594109586664393	0.3409422570988419	0.13943164269071395	0.050703463750556746
SAMEA2467012	0.21708949005294334	0.3238545762090922	0.1402541159834994	0.05155444947405607
SAMEA2467013	0.2315738983936197	0.28391190782081954	0.13877496741805748	0.04893287825838856
SAMEA2467014	0.1913614645618835	0.5858512681383217	0.17024712818867055	0.04179327106470575
SAMEA2467015	0.26822145515913215	0.3354612712039393	0.1285718212887278	0.05234852701873002
SAMEA2467016	0.265631084256975	0.4016919642893778	0.2481727023444767	0.18753916579138616
SAMEA2467017	0.23611748283885348	0.5053198121108472	0.21349191648536223	0.11373168931598733
SAMEA2467018	0.2304849611528181	0.3385396346939785	0.1827138970512301	0.07116781971724093
SAMEA2467019	0.22767193732244273	0.4505061257853368	0.12362078314145601	0.053627581412548433
SAMEA2467020	0.18557455910189039	0.45427295855120825	0.10536441437511575	0.05326545374050177
SAMEA2467021	0.19951854677862285	0.4637539639620227	0.14545964750485763	0.060393972084918174
SAMEA2467022	0.19697889305876287	0.41525613391725313	0.112077519270183	0.031001743934565788
SAMEA2467023	0.24306314532355183	0.3260191856157438	0.13135154738627822	0.04374651087080424
SAMEA2467024	0.2363297091245033	0.4098979382158995	0.11841058312765294	0.055295625592228156
SAMEA2467025	0.20932651273448938	0.34678914521028975	0.1132322097041674	0.06090912084800181
SAMEA2467026	0.2224540466123873	0.2964897399264218	0.10022297304544642	0.03815163031270929
SAMEA2467027	0.22001949064200627	0.41054691669674026	0.1973037769448161	0.15485744514513647
SAMEA2467028	0.20039521742051158	0.45514375980550864	0.17000152430069843	0.07927159290606359
SAMEA2467029	0.23464983728905756	0.5947107749964494	0.10893993231409274	0.08923888917550941
SAMEA2467030	0.2535875714460825	0.42021530774480403	0.12329289868014852	0.044939679940999226
SAMEA2467031	0.17894987486998104	0.3557527340098935	0.1142599529668588	0.0681126429917338
SAMEA2467032	0.23603176642818385	0.2774060699366639	0.31633912271692427	0.07545227674979736
SAMEA2467033	0.28074632900066493	0.3614996410199516	0.2521138044305471	0.10167409302476359
SAMEA2467034	0.2064615010579372	0.4236242230713454	0.10721033317281391	0.05368736909735374
SAMEA2467035	0.23941727816888406	0.42291534242193174	0.123348641828501	0.12518093511568296
SAMEA2467036	0.21368112960467334	0.5016137544610119	0.15094374230060664	0.07752542174335857
SAMEA2467037	0.2019946060559913	0.3563669397564517	0.1871836474041164	0.07197915762200198
SAMEA2467038	0.26296388475653226	0.35057965734041463	0.3716793793632269	0.018856205615712364
SAMEA2467039	0.18666257654536667	0.5103339852544905	0.17985699570552124	0.0959684926610789
SAMEA2467040	0.24549769694301676	0.3656530970850195	0.1501682290803577	0.04348486214954392
SAMEA2467041	0.24237392638069838	0.5125138450353822	0.23346611781237706	0.09077509388718406
SAMEA2467042	0.2818034884309351	0.37429619884326104	0.186979574219216	0.18735340441623408
SAMEA2467043	0.20252776652099175	0.3542732886345649	0.134152770226805	0.03738877093531171
SAMEA2467044	0.21076346286665562	0.37830859832541	0.15202652329569424	0.10277691692986568
SAMEA2467045	0.18452694519995994	0.3216509561103379	0.11901817646593071	0.056818301920530105
SAMEA2467046	0.20237672419875116	0.4492689413290893	0.12514402582475384	0.03578517089407887
SAMEA2467047	0.2739972459073477	0.24093727463740122	0.13438402897697518	0.01817436270176266
SAMEA2467048	0.19067365329246574	0.37766566188359557	0.14821018989400184	0.07470295827125012
SAMEA2467049	0.23379216064254124	0.3830364512232463	0.12158738621688421	0.03387475752526681
SAMEA2467050	0.22995642733449725	0.4046924765640216	0.13433754904472534	0.05790180620561749
SAMEA2467051	0.24551743900077722	0.34170332686079785	0.15911277923895367	0.0513098760095394
SAMEA2467052	0.23693453670516973	0.5034756954358038	0.14677827448463013	0.027202092076211774
SAMEA2467053	0.3109684288915502	0.6329161275464783	0.37760048863298606	0.32422791924159283
SAMEA2467054	0.21338922606999972	0.36087895852308344	0.13271540515924343	0.04796429163946296
SAMEA2467055	0.19347280078977838	0.44564095379516283	0.07402542840961371	0.05750692058291129
SAMEA2467056	0.21499342605359842	0.39220483513949017	0.1116044203793363	0.033922528627914394
SAMEA2467057	0.19713892297829672	0.721258608395221	0.0663355215947297	0.03878523079328079
SAMEA2467058	0.1854009505470333	0.3294316088700711	0.14720254635529922	0.038271538103965386
SAMEA2467059	0.18241754884313804	0.2078901175536006	0.3129929857987674	0.02250886702280334
SAMEA2467060	0.2291420601345753	0.4381954213235925	0.0931211419379008	0.06540577665895306
SAMEA2467061	0.15791366051726338	0.4139790921859756	0.11394192407149073	0.046457218969460395
SAMEA2467062	0.26734419219026256	0.38621567603938495	0.1409373345537823	0.08455869012936613
SAMEA2467063	0.24131589768860628	0.38876468247536106	0.11252054523340817	0.041028952356193096
SAMEA2467064	0.22667668986454084	0.360865845852376	0.12422924557385986	0.028694056073555876
SAMEA2467065	0.16336234356254323	0.4492332040739276	0.11216340903237199	0.028885332832335985
SAMEA2467066	0.22590611695148297	0.3444181245687173	0.12254192308414105	0.0487819900594749
SAMEA2467067	0.17183869453646997	0.3914575874664891	0.13087802461485784	0.03658514894162755
SAMEA2467068	0.24261496784767236	0.22462955168932824	0.2124766492368322	0.02980060727484171
SAMEA2467069	0.17043778242149094	0.31318534988179986	0.20881591320766446	0.032441206395084965
SAMEA2467070	0.183564419757044	0.39320150183374275	0.10093980766334468	0.04472819318779709
SAMEA2467071	0.16516247619737168	0.39236838845129984	0.09383896338147238	0.04821004103421603
SAMEA2467072	0.20663332846844137	0.3571717019335148	0.13995730636266399	0.04772403503068365
SAMEA2467073	0.19311962651303466	0.37132458691607734	0.07443540528107141	0.029784260096212094
SAMEA2467074	0.1815550739394703	0.3210034044822754	0.0921089808738098	0.03518118056052731
SAMEA2467075	0.18258907812700337	0.3944559390931425	0.13666899842143668	0.05815657140039011
SAMEA2467076	0.19884460845512136	0.3550621358865983	0.15289220745477552	0.04508328984951548
SAMEA2467077	0.2476956113996277	0.39746513485067786	0.19866173081680855	0.07091653655191571
SAMEA2467078	0.2042496410525161	0.29944145930018057	0.09703446303965806	0.04841722749722303
SAMEA2467079	0.21342200574687398	0.38519883299644164	0.14709753131844602	0.022657899085965306
SAMEA2467080	0.19834655608425036	0.4949348823363956	0.08380111301473661	0.035537205998342696
SAMEA2467081	0.2051690073176955	0.3654662471233935	0.12403144110982277	0.029636330361915552
SAMEA2467082	0.45595732732884514	0.6301592706636218	0.2562079117912587	0.2755763819521523
SAMEA2467083	0.1905333013081972	0.4652900017143645	0.12318780503013056	0.07875130266284602
SAMEA2467084	0.17565032185071855	0.33803111270821484	0.16062267551023426	0.05707787344942238
SAMEA2467085	0.18988716014700915	0.3222106194815218	0.2796984937499094	0.04219669168112116
