,simulation,kraken2 + bracken,metaphlan3,motus3,metaphlan4
SAMEA2466887,259,533,122,237,230
SAMEA2466888,213,528,90,193,188
SAMEA2466889,300,586,105,267,243
SAMEA2466890,236,573,102,216,206
SAMEA2466891,215,575,105,206,192
SAMEA2466892,220,468,106,208,196
SAMEA2466893,189,504,96,182,167
SAMEA2466894,166,508,79,146,138
SAMEA2466895,192,533,81,165,161
SAMEA2466896,115,411,64,114,103
SAMEA2466897,264,533,109,238,231
SAMEA2466898,254,532,104,229,226
SAMEA2466899,267,563,105,238,226
SAMEA2466900,149,377,55,121,116
SAMEA2466901,215,444,99,194,189
SAMEA2466902,142,515,72,133,128
SAMEA2466903,264,594,99,226,223
SAMEA2466904,235,559,111,204,204
SAMEA2466905,196,542,92,180,167
SAMEA2466906,273,577,117,263,243
SAMEA2466907,116,394,67,108,100
SAMEA2466908,270,553,116,251,238
SAMEA2466910,220,544,91,199,192
SAMEA2466911,326,585,133,282,283
SAMEA2466912,150,409,72,134,125
SAMEA2466913,261,583,108,232,229
SAMEA2466914,214,446,99,194,179
SAMEA2466915,212,394,90,187,179
SAMEA2466916,154,484,82,155,140
SAMEA2466917,69,321,41,59,56
SAMEA2466918,225,467,96,201,191
SAMEA2466920,91,375,46,81,76
SAMEA2466921,220,511,102,205,192
SAMEA2466922,161,394,58,141,137
SAMEA2466923,110,413,62,99,92
SAMEA2466924,135,406,66,124,122
SAMEA2466925,315,638,127,280,281
SAMEA2466926,182,449,94,155,142
SAMEA2466927,234,581,113,220,206
SAMEA2466928,159,426,77,144,140
SAMEA2466930,277,592,121,244,240
SAMEA2466931,198,521,81,177,175
SAMEA2466932,295,631,117,268,266
SAMEA2466933,156,443,91,145,133
SAMEA2466934,277,620,112,248,237
SAMEA2466935,179,487,81,152,152
SAMEA2466936,149,445,71,137,125
SAMEA2466937,224,606,93,204,197
SAMEA2466938,255,541,114,218,210
SAMEA2466939,257,578,87,219,212
SAMEA2466940,247,558,114,217,213
SAMEA2466941,161,512,90,155,144
SAMEA2466942,319,620,125,289,275
SAMEA2466943,322,588,132,281,273
SAMEA2466944,176,502,86,146,142
SAMEA2466945,263,596,114,231,226
SAMEA2466946,166,495,74,152,148
SAMEA2466947,231,544,105,211,202
SAMEA2466948,189,526,83,169,149
SAMEA2466949,252,531,102,221,222
SAMEA2466950,229,489,93,205,205
SAMEA2466951,318,632,141,289,287
SAMEA2466952,183,482,78,169,155
SAMEA2466953,278,523,113,253,246
SAMEA2466954,141,413,67,126,119
SAMEA2466955,282,595,118,250,236
SAMEA2466956,155,432,71,130,129
SAMEA2466957,229,516,98,198,197
SAMEA2466958,159,443,84,135,130
SAMEA2466959,299,573,124,276,259
SAMEA2466960,166,453,76,156,147
SAMEA2466961,203,518,94,191,174
SAMEA2466962,264,593,104,238,227
SAMEA2466963,266,645,112,245,239
SAMEA2466964,283,629,103,252,249
SAMEA2466965,228,576,94,198,188
SAMEA2466966,165,524,70,146,132
SAMEA2466967,264,538,105,233,235
SAMEA2466968,210,466,79,166,164
SAMEA2466969,193,460,81,178,169
SAMEA2466970,170,484,76,153,144
SAMEA2466971,327,537,128,293,292
SAMEA2466972,311,612,126,269,256
SAMEA2466973,289,524,96,235,234
SAMEA2466974,274,573,111,242,225
SAMEA2466975,202,497,100,177,173
SAMEA2466976,263,609,113,241,240
SAMEA2466977,247,547,103,224,217
SAMEA2466979,238,534,103,208,193
SAMEA2466980,149,477,75,126,119
SAMEA2466981,148,488,73,131,119
SAMEA2466983,231,525,93,217,205
SAMEA2466984,331,585,145,301,285
SAMEA2466986,288,642,120,258,243
SAMEA2466987,128,370,59,111,102
SAMEA2466988,300,653,109,266,253
SAMEA2466989,225,541,83,186,181
SAMEA2466991,244,543,107,224,214
SAMEA2466992,265,549,107,237,226
SAMEA2466993,290,617,109,257,250
SAMEA2466995,257,563,110,222,215
SAMEA2466996,315,659,129,277,276
SAMEA2466997,165,514,72,155,150
SAMEA2466998,118,419,68,107,104
SAMEA2466999,149,537,76,147,134
SAMEA2467001,103,412,61,93,87
SAMEA2467002,157,491,57,139,125
SAMEA2467003,177,491,91,163,153
SAMEA2467004,214,517,97,178,178
SAMEA2467006,331,569,131,303,300
SAMEA2467008,218,511,101,194,180
SAMEA2467009,57,274,40,54,53
SAMEA2467010,194,387,90,181,168
SAMEA2467011,114,471,63,106,93
SAMEA2467012,261,601,99,230,216
SAMEA2467013,261,526,112,232,225
SAMEA2467014,202,460,89,176,168
SAMEA2467015,214,506,98,195,193
SAMEA2467016,242,534,108,208,199
SAMEA2467017,258,549,121,239,224
SAMEA2467018,155,502,77,142,139
SAMEA2467019,292,615,113,251,246
SAMEA2467020,314,554,125,275,276
SAMEA2467021,284,586,113,251,245
SAMEA2467022,280,521,111,242,232
SAMEA2467023,114,442,61,107,97
SAMEA2467024,259,561,89,233,221
SAMEA2467025,238,604,100,207,203
SAMEA2467026,224,596,110,192,190
SAMEA2467027,307,589,112,277,270
SAMEA2467028,220,505,100,199,190
SAMEA2467029,341,633,117,301,291
SAMEA2467030,236,489,96,214,214
SAMEA2467031,301,595,111,271,272
SAMEA2467032,76,328,41,65,61
SAMEA2467033,154,476,90,151,141
SAMEA2467034,317,544,122,281,274
SAMEA2467035,344,622,133,307,301
SAMEA2467036,263,620,120,248,242
SAMEA2467037,187,500,81,166,159
SAMEA2467038,84,417,50,78,76
SAMEA2467039,267,565,99,251,237
SAMEA2467040,168,484,77,147,139
SAMEA2467041,212,537,91,193,178
SAMEA2467042,222,575,107,187,185
SAMEA2467043,141,481,66,131,123
SAMEA2467044,270,526,99,235,230
SAMEA2467045,179,496,84,164,156
SAMEA2467046,307,585,123,270,259
SAMEA2467047,107,390,54,98,98
SAMEA2467048,179,466,92,166,150
SAMEA2467049,232,555,87,202,195
SAMEA2467050,278,621,108,243,241
SAMEA2467051,165,531,76,144,138
SAMEA2467052,200,521,72,175,175
SAMEA2467053,188,431,77,157,150
SAMEA2467054,282,621,117,252,245
SAMEA2467055,343,661,122,298,301
SAMEA2467056,165,543,79,159,147
SAMEA2467057,161,416,67,153,145
SAMEA2467058,188,499,74,165,154
SAMEA2467059,92,403,54,87,81
SAMEA2467060,206,468,84,192,180
SAMEA2467061,303,569,110,278,259
SAMEA2467062,238,532,96,209,196
SAMEA2467063,202,559,95,174,171
SAMEA2467064,190,559,95,173,162
SAMEA2467065,232,516,96,219,204
SAMEA2467066,216,522,94,193,180
SAMEA2467067,273,526,122,238,222
SAMEA2467068,88,408,54,86,80
SAMEA2467069,184,409,68,153,147
SAMEA2467070,168,467,78,155,144
SAMEA2467071,174,473,80,153,145
SAMEA2467072,234,519,92,206,202
SAMEA2467073,272,578,116,238,235
SAMEA2467074,297,572,96,262,255
SAMEA2467075,232,559,86,213,203
SAMEA2467076,240,600,117,221,216
SAMEA2467077,231,596,89,210,193
SAMEA2467078,305,582,118,266,254
SAMEA2467079,134,375,60,118,108
SAMEA2467080,224,587,87,181,181
SAMEA2467081,172,530,78,152,158
SAMEA2467082,98,394,44,100,84
SAMEA2467083,203,576,84,172,173
SAMEA2467084,144,408,75,131,128
SAMEA2467085,133,425,61,115,113
SAMEA3136623,121,451,53,112,104
SAMEA3136624,164,412,83,149,140
SAMEA3136625,238,503,97,208,195
SAMEA3136626,106,341,50,86,87
SAMEA3136627,277,628,122,238,241
SAMEA3136628,156,444,71,142,126
SAMEA3136629,254,584,115,220,213
SAMEA3136630,279,590,99,259,247
SAMEA3136631,161,471,70,143,138
SAMEA3136632,268,555,103,246,232
SAMEA3136633,64,373,40,62,55
SAMEA3136634,274,527,99,239,232
SAMEA3136635,87,367,48,79,70
SAMEA3136636,83,360,44,74,64
SAMEA3136637,174,475,77,163,153
SAMEA3136638,188,454,87,166,162
SAMEA3136639,89,336,51,76,74
SAMEA3136640,149,403,64,134,122
SAMEA3136641,250,599,99,223,220
SAMEA3136642,312,632,105,274,264
SAMEA3136643,125,401,68,115,106
SAMEA3136644,321,593,128,294,293
SAMEA3136645,251,578,103,228,214
SAMEA3136646,158,379,82,129,125
SAMEA3136648,228,559,99,206,197
SAMEA3136649,49,335,29,42,39
SAMEA3136650,88,335,38,70,66
SAMEA3136651,204,470,90,180,175
SAMEA3136652,223,532,87,196,181
SAMEA3136653,166,474,89,144,145
SAMEA3136654,272,602,119,239,232
SAMEA3136655,112,412,65,96,92
SAMEA3136656,155,416,85,139,132
SAMEA3136657,102,426,50,95,83
SAMEA3136658,333,612,128,293,293
SAMEA3136659,247,555,95,225,208
SAMEA3136660,113,389,62,101,96
SAMEA3136661,82,378,44,75,65
SAMEA3136662,134,434,62,130,115
SAMEA3136663,171,490,87,154,150
SAMEA3136664,168,483,79,159,152
SAMEA3136665,107,371,64,95,88
SAMEA3136666,203,509,87,175,161
SAMEA3136667,244,515,98,206,213
SAMEA3136668,104,403,58,90,89
SAMEA3136669,181,445,86,170,161
SAMEA3136670,199,484,76,171,162
SAMEA3136671,219,536,90,196,187
SAMEA3136672,191,472,82,171,164
SAMEA3136673,171,446,66,146,144
SAMEA3136674,127,376,53,121,106
SAMEA3136675,284,564,108,251,242
SAMEA3136676,288,553,109,251,241
SAMEA3136677,48,318,19,40,29
SAMEA3136678,198,519,84,171,168
SAMEA3136679,100,397,52,89,79
SAMEA3136680,263,522,124,225,211
SAMEA3136681,37,241,19,29,25
SAMEA3136682,164,462,72,140,133
SAMEA3136683,238,573,88,222,213
SAMEA3136684,300,678,122,271,264
SAMEA3136685,238,540,90,215,207
SAMEA3136686,115,413,55,100,96
SAMEA3136687,126,431,57,109,106
SAMEA3136688,216,543,92,186,178
SAMEA3136689,272,631,113,236,235
SAMEA3136690,46,383,23,40,32
SAMEA3136691,140,414,56,118,121
SAMEA3136692,96,384,49,81,75
SAMEA3136693,121,386,56,106,100
SAMEA3136694,252,560,103,221,216
SAMEA3136695,255,494,100,214,209
SAMEA3136696,259,570,93,225,210
SAMEA3136697,190,538,88,164,158
SAMEA3136698,306,557,107,264,249
SAMEA3136699,331,687,115,304,294
SAMEA3136700,320,610,113,270,269
SAMEA3136701,207,587,88,188,174
SAMEA3136702,55,345,34,50,47
SAMEA3136703,207,467,94,177,180
SAMEA3136704,183,460,89,165,155
SAMEA3136705,251,612,97,228,219
SAMEA3136706,154,411,75,132,122
SAMEA3136707,265,641,90,244,227
SAMEA3136708,85,356,44,80,76
SAMEA3136709,241,565,103,213,196
SAMEA3136710,64,370,33,58,55
SAMEA3136711,103,352,49,95,90
SAMEA3136712,100,364,45,86,79
SAMEA3136713,278,604,110,249,238
SAMEA3136714,147,386,62,129,125
SAMEA3136715,174,424,72,149,135
SAMEA3136716,232,471,102,208,208
SAMEA3136717,187,494,86,173,164
SAMEA3136718,326,659,122,292,290
SAMEA3136719,181,438,71,159,148
SAMEA3136720,99,371,49,93,79
SAMEA3136721,249,456,94,221,213
SAMEA3136722,96,381,45,86,76
SAMEA3136723,264,568,107,227,213
SAMEA3136724,149,480,79,136,127
SAMEA3136725,281,616,113,254,243
SAMEA3136726,315,554,123,271,256
SAMEA3136727,291,642,125,264,253
SAMEA3136728,251,466,91,208,206
SAMEA3136729,311,640,114,278,276
SAMEA3136730,151,512,84,141,123
SAMEA3136731,221,544,84,188,180
SAMEA3136732,253,593,94,211,214
SAMEA3136733,161,473,84,143,134
SAMEA3136734,356,598,157,296,277
SAMEA3136735,151,387,63,133,113
SAMEA3136736,177,505,75,152,145
SAMEA3136737,162,448,77,132,119
SAMEA3136738,334,551,123,305,290
SAMEA3136739,196,540,98,181,168
SAMEA3136740,238,525,105,208,201
SAMEA3136741,236,547,104,195,187
SAMEA3136742,194,517,96,174,162
SAMEA3136743,312,638,113,276,273
SAMEA3136744,146,372,66,127,125
SAMEA3136745,173,350,73,143,134
SAMEA3136746,322,657,127,271,265
SAMEA3136747,148,382,62,126,116
SAMEA3136748,145,426,78,127,126
SAMEA3136749,233,481,90,197,199
SAMEA3136750,118,395,47,105,96
SAMEA3136751,302,599,103,268,259
SAMEA3136752,288,600,117,259,244
SAMEA3136753,240,481,93,211,200
SAMEA3136754,268,635,94,238,228
SAMEA3136755,289,554,113,253,245
SAMEA3136756,263,542,91,232,210
SAMEA3136757,284,527,116,251,240
SAMEA3136758,86,348,47,74,64
SAMEA3136759,313,597,116,269,266
SAMEA3136760,293,629,118,270,258
SAMEA3136761,212,539,115,199,187
SAMEA3136762,185,467,79,149,149
SAMEA3136763,213,522,114,187,176
SAMEA3136764,171,473,70,154,146
SAMEA3136765,173,456,92,145,133
SAMEA3136766,165,454,72,142,126
SAMEA3136767,249,522,90,210,198
SAMEA3136768,105,337,54,82,71
SAMEA3136769,107,411,50,86,80
SAMEA3178936,114,385,61,113,107
SAMEA3178937,273,552,102,244,247
SAMEA3178938,228,509,111,206,191
SAMEA3178939,242,539,107,206,201
SAMEA3178940,110,420,64,105,95
SAMEA3178941,189,581,89,169,166
SAMEA3178942,151,521,74,143,133
SAMEA3178943,319,660,127,286,280
SAMEA3178944,235,548,89,201,209
