,simulation,kraken2 + bracken,metaphlan3,motus3,metaphlan4
SAMEA2466887,5.629891669359005,6.457609003664837,4.757731423329427,5.663525778817285,5.527914306170049
SAMEA2466888,6.163329820896808,7.065907951535002,5.273655509619977,6.051254535102265,6.21826134015376
SAMEA2466889,5.713250920994145,6.691465656749431,4.923869143792612,5.674093471531731,5.583526577393422
SAMEA2466890,6.135147222643754,6.9071128471075305,5.190996535495952,6.15510756887407,6.074975957837107
SAMEA2466891,5.718696160443425,6.748414120300541,4.884274680689836,5.76156524662876,5.6425127394704315
SAMEA2466892,5.471974210064867,5.914579974797477,4.34033677187914,5.534740622612334,5.359848155057805
SAMEA2466893,5.037524510323668,6.1931098540552485,4.876567884436369,5.027976265610361,4.963241931060814
SAMEA2466894,5.134969954387761,6.1034872719370235,4.3427013412103115,5.0880731240743495,5.050809715987844
SAMEA2466895,5.557399659515508,6.324127478234985,4.3825720947165445,5.572980299553196,5.491168226674882
SAMEA2466896,3.6919990365163704,5.566221341236292,2.6303525526144034,3.6470581487622735,3.623143364670684
SAMEA2466897,6.3686296674681255,6.97484197037434,5.164802628399011,6.381753098670615,6.266192540800163
SAMEA2466898,5.146912114992801,6.325500028956196,4.305813403499549,5.090107889593584,5.0524753364931945
SAMEA2466899,6.146973624062364,6.8909880037083155,5.059365805918307,6.139007138046877,6.041794139893686
SAMEA2466900,3.735077780043917,4.650320515113755,2.6373337235643457,3.924695871291966,3.7399386763502513
SAMEA2466901,4.55137301685629,5.61365715974338,4.968451993811717,4.492815885200475,4.436913004276675
SAMEA2466902,5.072636590619697,6.283874998862264,4.497817620656628,5.014541041456076,5.008320238331778
SAMEA2466903,6.0632527585965565,6.984498096674925,5.34477011196553,6.0540173404834325,5.975521097879393
SAMEA2466904,5.6093274650700895,6.619525464916539,4.630794862849818,5.525084925581018,5.545139127069503
SAMEA2466905,5.700485566630794,6.757943504559884,4.756682084301993,5.704082917049839,5.628257217675114
SAMEA2466906,6.155215093327849,6.738518863832058,5.22114640177078,6.154560903456332,6.067166010068953
SAMEA2466907,4.757701868316036,5.750537032513431,4.118022339566668,4.632101821423723,4.677918753828389
