	kraken2 + bracken	metaphlan3	motus3	metaphlan4
SAMEA2466887	0.28828950371477446	0.37780955533095284	0.08271002647149575	0.14211718990657665
SAMEA2466888	0.34409421495290327	0.4059059625051244	0.07122771773909475	0.11899141412206117
SAMEA2466889	0.3242872868059899	0.5314333187100586	0.13899777122822551	0.19179270678174978
SAMEA2466890	0.35329803367518364	0.4626496125358505	0.12217761958868016	0.13187675136619348
SAMEA2466891	0.37284032005270795	0.41231510376503433	0.0687794615259136	0.13567123588667812
SAMEA2466892	0.2774050569589051	0.38623038770836093	0.09189090571640152	0.13809455864082765
SAMEA2466893	0.41945517349351263	0.39521002726386195	0.09856923894936566	0.11965547330199566
SAMEA2466894	0.49042994903612597	0.3830528120053967	0.13445706125800175	0.18271072333107355
SAMEA2466895	0.4386500231063487	0.398765821265729	0.10601252823724307	0.11495805575372588
SAMEA2466896	0.46095043946825665	0.2919365408944277	0.0720987507511376	0.08153727353793094
SAMEA2466897	0.30869595124990895	0.4495458994976308	0.10109106907302273	0.12111565182161371
SAMEA2466898	0.34266494945347703	0.46538728853751116	0.13408202478286718	0.15133969470011086
SAMEA2466899	0.3578929172237253	0.43099408827783914	0.12027397906240167	0.15723767874050257
SAMEA2466900	0.46357833637853574	0.45876032933986893	0.15197540914641497	0.17016686017581686
SAMEA2466901	0.3417506207323944	0.40830734007779035	0.09563272757704715	0.124589471967016
SAMEA2466902	0.49823264967992015	0.29663803596001365	0.07098607743988068	0.08473013480268601
SAMEA2466903	0.36570137086612803	0.4338859213842338	0.1511837315101579	0.18175357328579708
SAMEA2466904	0.37052260106700224	0.387593038696211	0.09706172173302571	0.090268895512216
SAMEA2466905	0.43455502460577156	0.38915075373059504	0.09075586192414603	0.12571647215235202
SAMEA2466906	0.2830380526036643	0.45222722668512366	0.07055524282373438	0.12806551254175
SAMEA2466907	0.46628153781407977	0.2831265453743819	0.0693737908044546	0.0794415888848944
SAMEA2466908	0.2743069981824573	0.4120852495060608	0.1056631395372459	0.12335173371081597
SAMEA2466910	0.370796248556752	0.4283101453378728	0.12040663743299988	0.13913937213723224
SAMEA2466911	0.2629172922230358	0.46305130942656036	0.12318367130738019	0.18085506228363202
SAMEA2466912	0.42865592927165724	0.2817252366571758	0.09100255661798129	0.10813071372879493
SAMEA2466913	0.33126357837448417	0.45825105530223226	0.12087233767096223	0.10792430749799056
SAMEA2466914	0.3205211340606611	0.3551292707668249	0.0901339390852148	0.1536811710214964
SAMEA2466915	0.2941418469672529	0.5080723088247062	0.1418875067417843	0.14943962536409316
SAMEA2466916	0.43966099304286466	0.33883034658830147	0.04589445454287107	0.11404932935466197
SAMEA2466917	0.624258635992283	0.31175750807367963	0.15973422381999944	0.17931397391768372
SAMEA2466918	0.3008852046359373	0.45971355901895306	0.11260511961625648	0.13441520737085333
SAMEA2466920	0.554110861308382	0.27801664751847516	0.07565431220264505	0.07831769351978961
SAMEA2466921	0.34513194571314926	0.4025173129491486	0.14342521165331756	0.13412703795502504
SAMEA2466922	0.3677434565343702	0.47353886305503484	0.09756029650711386	0.12131851270078914
SAMEA2466923	0.48406720426165706	0.2382874927764718	0.06984826525082455	0.10763163898976942
SAMEA2466924	0.41866393615580644	0.4241883808116	0.16818758317375643	0.14405024752047063
SAMEA2466925	0.27605619492225053	0.4699924330394774	0.124512840495611	0.12298983071292983
SAMEA2466926	0.33306901719387016	0.2937601670946311	0.12406713054442627	0.1333585101275733
SAMEA2466927	0.3636063668105922	0.3546908953097199	0.09427442714744944	0.1254171907936493
SAMEA2466928	0.3886412437429247	0.3795166218839557	0.0839195588015724	0.11182620835213818
SAMEA2466930	0.35510844953621734	0.43141216266448584	0.11780437827789568	0.14438972917968243
SAMEA2466931	0.3685390777190357	0.45052816023810777	0.15209601288014946	0.15573914141510772
SAMEA2466932	0.28989538352201805	0.4444307617279515	0.10894643335199201	0.13407507502044008
SAMEA2466933	0.43625020167798595	0.28732282042038826	0.1073967933094842	0.11761516979871474
