	kraken2 + bracken	metaphlan3	motus3	metaphlan4
SAMEA2466887	0.14389025245020637	0.14526615457459915	0.024876177322052988	0.0568104355109865
SAMEA2466888	0.09850326121316838	0.1604445462655612	0.02718006227770989	0.06975892388916939
SAMEA2466889	0.10369769825544714	0.23787280995669605	0.024116186558412286	0.011519164274390228
SAMEA2466890	0.12369248957765665	0.17486142507730393	0.03161247318838356	0.010855107036325957
SAMEA2466891	0.14967944245781603	0.15074820683397835	0.026215213083467758	0.011847528677720074
SAMEA2466892	0.11355037689280452	0.10649573559636491	0.018616087234084793	0.0125131669010275
SAMEA2466893	0.09838200499577852	0.19573186159616532	0.0541399363916734	0.010121900180600819
SAMEA2466894	0.07870013910603699	0.18421635156043417	0.026950398626002105	0.012242354461559258
SAMEA2466895	0.12384874448395679	0.21843179172986507	0.048369568586578135	0.008972680665712036
SAMEA2466896	0.07046388211022463	0.16526933180326042	0.017935057589858097	0.0076150381513455725
SAMEA2466897	0.07937694260275305	0.12145954608117634	0.03197790259228305	0.015681141933310286
SAMEA2466898	0.1398605714937035	0.23064982129129843	0.01950014390028437	0.03683094190301958
SAMEA2466899	0.09635242116782058	0.19787565043803373	0.03428821787123838	0.011977221761933153
SAMEA2466900	0.06555817384398151	0.13265769814720116	0.09655348257526504	0.028069158895956407
SAMEA2466901	0.11161746363080159	0.3160847762557479	0.02102384817644002	0.010527654591965743
SAMEA2466902	0.0870119029865122	0.18312994378975336	0.035080579211235065	0.013482622349040716
SAMEA2466903	0.10162878243841704	0.17143269672958164	0.03565060736218722	0.013466938313204566
SAMEA2466904	0.06544120710640389	0.1599781381655574	0.02865823465621467	0.014647887101983543
SAMEA2466905	0.057492565320715346	0.12395107651772112	0.027004290077247438	0.009287096565212214
SAMEA2466906	0.13568945019228973	0.1886828311558147	0.026069396411873103	0.05627270137272341
SAMEA2466907	0.12277102153381306	0.12075678526712673	0.025739219000267405	0.01142081058856693
SAMEA2466908	0.071557865693293	0.12173885114310964	0.030841086385779377	0.01557667786913807
SAMEA2466910	0.07261480595908415	0.11793112795397656	0.03269134650764134	0.012073645770907821
SAMEA2466911	0.08985435020658565	0.1448698954996637	0.03848602430197566	0.02013823806406246
SAMEA2466912	0.11901648027006849	0.0696673616835298	0.0270631545168124	0.011903700345632127
SAMEA2466913	0.11107864780240002	0.20566744632736722	0.05873830841324855	0.03681196087247647
SAMEA2466914	0.0976288822905519	0.13355892554112034	0.08260164498100485	0.009431193802502786
SAMEA2466915	0.08633500658379437	0.32927529608276784	0.0693912377278092	0.0164901727372767
SAMEA2466916	0.09309568376514794	0.2135330849248512	0.02833963669453977	0.008476155915353724
SAMEA2466917	0.06982206131950434	0.04941543368284448	0.020552504700398558	0.01573114155300982
SAMEA2466918	0.09063614027270325	0.126599893172159	0.04859785650930557	0.009593657152853732
SAMEA2466920	0.04580762848420763	0.13263939646231426	0.02776332960106871	0.005947766472590057
SAMEA2466921	0.1049117766286795	0.13979888149938152	0.06420401204896194	0.008240455847532635
SAMEA2466922	0.05578910392058194	0.4478779006975043	0.029590310265722855	0.010837700600119451
SAMEA2466923	0.07570833950739533	0.14834488487989714	0.04210504893130969	0.010237829556220764
SAMEA2466924	0.10346485816022377	0.1709514648347441	0.035348425338054004	0.009467693929351378
SAMEA2466925	0.14674677717833115	0.14704403692844975	0.04592498581698106	0.02795874079687458
SAMEA2466926	0.1595320462802192	0.17136153684878966	0.08855066402921964	0.009989708364688687
SAMEA2466927	0.12650128965678933	0.19030319354838526	0.0404507759469606	0.014703554752432726
SAMEA2466928	0.11045401811517074	0.15901291591986105	0.0545004225430882	0.013350333221630005
SAMEA2466930	0.15618089452457629	0.10044401422998174	0.08095205055999381	0.02989679720417231
SAMEA2466931	0.10303737363796593	0.16204179538831598	0.029861708946823145	0.02272447967354345
SAMEA2466932	0.12734712940988105	0.2249135389929594	0.03184230018350186	0.02669020908988264
SAMEA2466933	0.09329715595487785	0.15587925508001907	0.061761194818377045	0.014058205936176658
SAMEA2466934	0.12998591984128272	0.26655996436105955	0.01871221990593563	0.013749637663652373
SAMEA2466935	0.08640195923027244	0.12037879385748103	0.03723829154813252	0.007517552429040759
SAMEA2466936	0.14168536354758995	0.15967948159564557	0.048195959763246164	0.026652773286370654
SAMEA2466937	0.08138715600416116	0.17069857788230458	0.02649281376717648	0.01460428717551156
SAMEA2466938	0.09106566565622838	0.14926748993567707	0.027725726222806297	0.029749410862259622
SAMEA2466939	0.09758923962488021	0.23811452101901326	0.043155324104182116	0.011589978843664913
SAMEA2466940	0.09183567549021046	0.17313771534543115	0.038188033636943654	0.014808380379472548
SAMEA2466941	0.11357989859605086	0.19747362174836613	0.06708219966897852	0.01947945808553656
SAMEA2466942	0.06696973287032891	0.14501240742298152	0.021042327266217454	0.012290134533475766
SAMEA2466943	0.07074467434748959	0.2668721671963023	0.023754939732702273	0.011668088323251582
SAMEA2466944	0.11289618661526657	0.12154968781015082	0.0250583317628202	0.0191711879299783
SAMEA2466945	0.08743887882695332	0.272196506133455	0.0309408491673193	0.011068400954106087
SAMEA2466946	0.11002963161209561	0.1483499881179508	0.032722029648846504	0.006692231680959358
SAMEA2466947	0.0882508927721374	0.17365440204683452	0.03492192745016728	0.018098465882752768
SAMEA2466948	0.09528768134672078	0.1985223250491998	0.03461207991462969	0.01975110657216988
SAMEA2466949	0.10322683545350479	0.12012535295862606	0.05209210052143394	0.013432642056082788
SAMEA2466950	0.07350219324201226	0.205596406125291	0.01124033085933462	0.012293974124433059
SAMEA2466951	0.0746637852759101	0.15386925791684564	0.03825569466190862	0.015897973214220172
SAMEA2466952	0.05674655585557243	0.12381330415045452	0.019955700324028425	0.009452945884558403
SAMEA2466953	0.07729480185921887	0.19816214757776593	0.02793177370741048	0.013844914585950293
SAMEA2466954	0.0876834032143887	0.18553409452537342	0.06551404982944632	0.007220295414357182
SAMEA2466955	0.09608104278330871	0.14016761607356135	0.04904245802199783	0.015585260494117351
SAMEA2466956	0.10116897069378954	0.14599795369992571	0.022257833346415214	0.01003720489499874
SAMEA2466957	0.07914893278409352	0.14738268862344955	0.02297561313348759	0.017156488912176696
SAMEA2466958	0.12056671624737676	0.22440419274735077	0.03509076910762795	0.008230778451040104
SAMEA2466959	0.09910665388163105	0.25668089575700714	0.014545800840699246	0.011374346315906633
SAMEA2466960	0.12235352363917341	0.1775915314581359	0.12249437570966884	0.013497089735265254
SAMEA2466961	0.12201815146570857	0.23170265975240853	0.037684299452491306	0.009758230568798583
SAMEA2466962	0.07296650977347835	0.14496078972388496	0.03418406002469355	0.011721542349897897
SAMEA2466963	0.08962095434698623	0.1542160343411025	0.023946520427678634	0.013559619879977542
SAMEA2466964	0.12707819994696404	0.1873408253060521	0.01966380757246116	0.015394199799529188
SAMEA2466965	0.06692081974101054	0.17764217945585672	0.027521302769809398	0.008580978368142146
SAMEA2466966	0.10417913992175991	0.14399313272449887	0.03427071931018002	0.01654866054829484
SAMEA2466967	0.07696349985857276	0.14227081467144959	0.03232537095878076	0.018182316750571914
SAMEA2466968	0.06943060348586066	0.1680301518997727	0.046573255674317283	0.00883571062557601
SAMEA2466969	0.0732358366433325	0.10886719476094493	0.03570762528721771	0.013432074862111293
SAMEA2466970	0.06192283264457487	0.12737389535928026	0.03800011111585371	0.007596364222380732
SAMEA2466971	0.0751031813871289	0.18594175499745993	0.032536487505654174	0.01495314092090745
SAMEA2466972	0.13118455101076065	0.27213078894643006	0.040738811482143915	0.02088943532281494
SAMEA2466973	0.09346467637209614	0.17525823255765474	0.031903921082673224	0.012179583830508574
SAMEA2466974	0.09462727717685114	0.19786109239893562	0.05620144502115554	0.015187653960674436
SAMEA2466975	0.07897002115384366	0.10025963744156155	0.04446324771222774	0.014766856945351788
SAMEA2466976	0.10626166681093098	0.18824284279146616	0.036830597273721455	0.02760006601021069
SAMEA2466977	0.11858686888939733	0.15162825146382072	0.029028717413985067	0.013015763919806205
SAMEA2466979	0.08909358482691447	0.12264579423490765	0.035268900237925706	0.01830537007175295
SAMEA2466980	0.0859377125558427	0.15188845278425925	0.03342462845593129	0.007513444316295285
SAMEA2466981	0.11007019681433872	0.2753885511367119	0.049707592412623305	0.012006561516168667
SAMEA2466983	0.07776393278733665	0.17133511114324584	0.029455856233850778	0.01836013336799235
SAMEA2466984	0.09168723624153471	0.24616718967506415	0.0254202069999097	0.012741677990292102
SAMEA2466986	0.14285075233786293	0.129540998859309	0.03412051272282	0.019137368988694215
SAMEA2466987	0.11766629160571401	0.2061218719829027	0.0638773841541181	0.0062710515187175625
SAMEA2466988	0.060992297372865226	0.1774544447982126	0.05250350106817086	0.010839873875560454
SAMEA2466989	0.14460360641362444	0.20202033006528383	0.032522950088391664	0.01791728501271063
SAMEA2466991	0.11601128313616854	0.26651291290157575	0.03340109339098084	0.01293571262177807
SAMEA2466992	0.07584647781628845	0.10144875680524594	0.026167972153902246	0.01019980194907878
SAMEA2466993	0.10973114388673917	0.23983119070614975	0.03213166126540017	0.020628493148255826
SAMEA2466995	0.10601444196373593	0.16620741611192283	0.02814164545520148	0.013344769685004837
SAMEA2466996	0.09933856515906304	0.1652683750678544	0.0323407565224264	0.011873690390319035
SAMEA2466997	0.08313635469471735	0.23758771071757287	0.04278981748149641	0.01085260721105623
SAMEA2466998	0.08624911236574376	0.09979122471711083	0.05201853389756475	0.013167617214189995
SAMEA2466999	0.06398205535448812	0.15708283954538454	0.02461471401487416	0.0145638123989964
SAMEA2467001	0.11317748861956918	0.06718908281871537	0.06259301075551309	0.005440917215279158
SAMEA2467002	0.1329688907350676	0.184319913676786	0.03342132113841285	0.017940041712895684
SAMEA2467003	0.08815067075758405	0.14271777609970127	0.03562177441890734	0.015392287102090618
SAMEA2467004	0.10981394485292359	0.17475103630503122	0.07175305526458871	0.010713875042135603
SAMEA2467006	0.0982626164962072	0.15931561675106026	0.02984146354206226	0.013108938079315643
SAMEA2467008	0.1002152435767188	0.14720972689423556	0.047718018616737884	0.05699354965474882
SAMEA2467009	0.11591639036513625	0.0435937391356511	0.03881817413820096	0.006677137627666708
SAMEA2467010	0.07932573299415449	0.08550510300482374	0.022063433473717826	0.009531935017643938
SAMEA2467011	0.09763981473386835	0.13474494715785043	0.04023696509878784	0.014988918072018444
SAMEA2467012	0.08862849479551087	0.1221201302032474	0.027017122503346154	0.012642337029564505
SAMEA2467013	0.10862963871169888	0.12724015876719438	0.05325794284102746	0.010732152188475822
SAMEA2467014	0.10680475556470766	0.22374854108982864	0.04246307335615475	0.011595277878504489
SAMEA2467015	0.07035400995387758	0.11414368534539211	0.026173960547682784	0.011012592481983522
SAMEA2467016	0.0880771756722187	0.08164479557301613	0.02635385562715662	0.013570252121697508
SAMEA2467017	0.08152514378545937	0.16728236036212782	0.04796712256712049	0.024185025392119936
SAMEA2467018	0.07445270965985959	0.13680801996272496	0.05115060567482584	0.016330439958989976
SAMEA2467019	0.0885471247409924	0.17356379290654808	0.029783529272889245	0.01224955781768071
SAMEA2467020	0.08911311226248607	0.1399493269839367	0.03386238971254044	0.01032268626176587
SAMEA2467021	0.08786791420693858	0.16678662984434184	0.03382414728400043	0.015115901809765277
SAMEA2467022	0.06983642007173382	0.2096910054577931	0.055906337962424085	0.01006924731259149
SAMEA2467023	0.09001257742967908	0.1072820248021261	0.03334562172882017	0.013865489918322028
SAMEA2467024	0.12796024504415537	0.26542477669783243	0.04532532155516127	0.013567846720695087
SAMEA2467025	0.07634390465322827	0.12515200855518885	0.028831409136239713	0.010473106206167815
SAMEA2467026	0.10343710143880551	0.10898837517959138	0.027555945148205644	0.017009201064096983
SAMEA2467027	0.10338540186052458	0.15274767201794012	0.06680147877920442	0.02405890095468338
SAMEA2467028	0.08225892975105932	0.1879368616687342	0.03725607636286095	0.012045165878157033
SAMEA2467029	0.10232274473531382	0.2114963943114802	0.034403757468895985	0.051500228187602096
SAMEA2467030	0.06614376269762194	0.15645918502803208	0.023372303428575297	0.01450914528048504
SAMEA2467031	0.07565332832187167	0.1213579884438758	0.01910376836500655	0.012964393690940422
SAMEA2467032	0.13875699688666307	0.13103342067155535	0.09367473440607109	0.012076265160577785
SAMEA2467033	0.12952705833698658	0.11926226467553959	0.053449527620878706	0.01782229178361137
SAMEA2467034	0.11796592486301706	0.13715564658946552	0.02483401982442926	0.02990763214137881
SAMEA2467035	0.1284269734231482	0.1894785203784387	0.024072071019599347	0.024824470863791605
SAMEA2467036	0.1114971510409515	0.22873331497882546	0.03959450988047703	0.023998614244049112
SAMEA2467037	0.07982593192074698	0.11024092979964359	0.030530603323492597	0.013390191173867439
SAMEA2467038	0.13276826646270354	0.23209472217901175	0.07118273538244693	0.01058033908880871
SAMEA2467039	0.08329822612537888	0.1970461069884094	0.03767489567376886	0.027269509011746632
SAMEA2467040	0.10745293862535361	0.16864637266802207	0.048118139342228035	0.008791571936714607
SAMEA2467041	0.0956757379874412	0.19605542031255344	0.05215447236797966	0.03129057314741783
SAMEA2467042	0.12368455656070164	0.13220691024184544	0.05653384480440443	0.09147501388170332
SAMEA2467043	0.07293110640322499	0.11140279951068469	0.019644322665491504	0.0071032688395589755
SAMEA2467044	0.12397010804482173	0.15783866809707892	0.02054635903304346	0.015635804928041556
SAMEA2467045	0.07600207963526016	0.1278190002312905	0.029245223243121156	0.01600397172844976
SAMEA2467046	0.1212349598754001	0.24478092679523367	0.029454916940861994	0.014178945721127241
SAMEA2467047	0.10074698588850858	0.14398311740172476	0.06277232808784819	0.008228877109713043
SAMEA2467048	0.06077686298096164	0.12495091609162914	0.025468555283707676	0.012197777532960679
