	PC1	PC2	PC3
SAMEA2466887	-0.03983434262009669	-0.009516811342820869	-0.009483182580697474
SAMEA2466888	-0.04079539396235876	0.046951527235885915	-0.0026803678612785514
SAMEA2466889	-0.05097360074318236	0.0032916079383498373	0.0102081982483311
SAMEA2466890	-0.05145026734169307	-0.043081088213812235	-0.02792925078492689
SAMEA2466891	-0.04930531363303531	-0.002705944479833078	0.007227429404516067
SAMEA2466892	-0.03016073429784918	-0.00984105115601075	-0.04901906367435313
SAMEA2466893	-0.028020398547334794	-0.009341321263553248	-0.051065106162290874
SAMEA2466894	-0.014035846648233432	-0.008269033119551492	-0.09750609186013448
SAMEA2466895	-0.05707969001051005	-0.07554880067155242	-0.06689688191201726
SAMEA2466896	-0.004715801126551602	-0.038679318284921965	-0.04319280481500283
SAMEA2466897	-0.04520633240374617	0.0036552563553490206	-0.05863720024490021
SAMEA2466898	-0.026752665717869786	0.03049628475676487	0.06042937232129541
SAMEA2466899	-0.0364991801387413	0.07921754919882439	-0.027473953082114335
SAMEA2466900	0.06065261528349327	-0.0035259393961951167	0.08777317866893398
SAMEA2466901	-0.02401356692615924	-0.00851875386750286	-0.031318486926499356
SAMEA2466902	0.042822027884575446	-0.039173816536975506	-0.09470684043680871
SAMEA2466903	-0.037737481661207474	0.04274511901364867	-0.07512139227344357
SAMEA2466904	0.002660525070383181	-0.006137999436339374	-0.0036126921966833656
SAMEA2466905	0.03808964838417482	0.02248193424561103	-0.08232570678472007
SAMEA2466906	-0.06367597483419657	-0.001109540497581892	-0.013228539524009608
SAMEA2466907	0.03758371348453796	-0.10944368599662187	0.007278602309395941
SAMEA2466908	-0.028822523218727063	0.040194148329997965	-0.08316381042278716
SAMEA2466910	0.01436941228111939	0.06664756966897327	-0.02075657369186865
SAMEA2466911	-0.052946087800816506	0.02702140324461653	-0.028249464667816762
SAMEA2466912	0.0037672381299711914	-0.00901204653794442	-0.0652489776089222
SAMEA2466913	-0.0426043159071632	-0.03873107050572844	-0.07300961392209866
SAMEA2466914	0.0017392126455105796	-0.022510741009911732	-0.06650990159142185
SAMEA2466915	0.010457665151315238	-0.09149817211167155	0.11806479255735246
SAMEA2466916	-0.002147843227308167	-0.053237822038482714	-0.0636246366087804
SAMEA2466917	0.034356671411879945	-0.16001560815116553	0.06012334854054404
SAMEA2466918	-0.015909486093840935	-0.029512326187330493	-0.05508726133500711
SAMEA2466920	0.11012959761472094	0.009264413292504863	0.026687587456218298
SAMEA2466921	-0.037703226485596576	-0.06469680407262221	-0.04583862799613372
SAMEA2466922	-0.008363801783755075	-0.0869565425312949	0.1845971945942198
SAMEA2466923	0.057355323085045144	-0.03397558487095602	-0.038484757777548444
SAMEA2466924	-0.016661018410982345	-0.09769518378561745	-0.0582481863408284
SAMEA2466925	-0.06325083736350386	-0.0005561342536320956	-0.0038139971909057976
SAMEA2466926	0.01882967168308561	-0.05750467832387779	0.019661913231060507
SAMEA2466927	-0.06740447182830453	-0.07367981482575016	-0.006373124166166219
SAMEA2466928	-0.014484157556293205	-0.10986559022081144	-0.0182085542058193
SAMEA2466930	-0.030612623507283377	-0.015535447899650563	0.06342765854990123
SAMEA2466931	-0.016676253103851242	0.00012075326563484625	-0.028088037490184008
SAMEA2466932	-0.059233973964798355	0.024263855560406146	-0.014336907070358852
SAMEA2466933	0.07994857173961807	0.027818949179598547	-0.029787997269634534
SAMEA2466934	-0.056541214271070256	-0.03098627822405562	0.05762673169224854
SAMEA2466935	0.032767912789738465	-0.009062411230019043	-0.03554606684629448
SAMEA2466936	0.016013575638215947	-0.0942458402586847	-0.016307807616991254
SAMEA2466937	-0.07527868715521668	-0.021944642595947403	-0.00123686857365095
SAMEA2466938	-0.01545930603773591	0.0005669428214057109	-0.03165752282255985
SAMEA2466939	-0.07300897562535444	-0.02828626162648011	-0.008716816612478199
SAMEA2466940	-0.015241488661923099	0.04492098341210469	0.01691216509957985
SAMEA2466941	-0.023698700680980737	-0.1015305091981292	-0.031210024276508177
SAMEA2466942	-0.07611371306891278	0.02027683217162575	0.05819321142259863
SAMEA2466943	-0.08500091726352868	-0.012348740743903457	0.06375363875346732
SAMEA2466944	0.030337983998416425	-0.04284206563385743	-0.0017072531740738434
SAMEA2466945	-0.02544315120029552	-0.11046009207752862	0.056141442432539296
SAMEA2466946	0.02295872410020669	-0.019734117476953167	-0.07603828341621206
SAMEA2466947	-0.08119453054299171	-0.01503804960725839	0.030822671569898985
SAMEA2466948	-0.019307109161642855	-0.04479899248637278	0.0022448517479840935
SAMEA2466949	-0.028514062502437095	0.02197609642224462	-0.0452676302365281
SAMEA2466950	-0.06478629727121465	-0.011562757107563488	-0.015415785091103272
SAMEA2466951	-0.08373815361713985	0.03159157444744724	0.0020012099664438046
SAMEA2466952	-0.02408435469017429	-0.010407449981264718	-0.08515531930996414
SAMEA2466953	-0.04238298689217076	0.02937196278522048	-0.08472322362874177
SAMEA2466954	0.027720127078798777	-0.09662536037500033	0.012135830060271788
SAMEA2466955	-0.0632194174374878	-0.0016842714347415672	-0.05292510621331234
SAMEA2466956	0.0037982855350328013	-0.13599842833582965	0.06475097636727449
SAMEA2466957	-0.013738916796092996	-0.0016678556251639304	-0.0461873650188201
SAMEA2466958	0.00775859895024187	-0.0893588986320415	0.0013512237241337295
SAMEA2466959	-0.06908603496599211	0.028510578340222203	0.005003939655301352
SAMEA2466960	0.01988646722716836	-0.061528176753394205	0.09551244431915053
SAMEA2466961	-0.026204925546312263	-0.03938386952583512	0.028562531520577947
