	PC1	PC2	PC3
SAMEA2466887	-0.044889128893363044	-0.002018833053920944	-0.019211919659578813
SAMEA2466888	-0.05102103156652771	0.02959845575012334	-0.06457952471144618
SAMEA2466889	-0.03753267685329886	-0.015558367666204734	-0.025132633457861223
SAMEA2466890	-0.025150773048107422	-0.08490582233082625	-0.033705141350676066
SAMEA2466891	-0.024297275180760927	-0.01179821004041863	-0.011994847919401613
SAMEA2466892	-0.042145923105329525	0.0033374318741206666	-0.06234929304335718
SAMEA2466893	-0.023370210896019757	-0.004293652178939622	-0.07680130598665011
SAMEA2466894	-0.00810650757535973	0.011170403034369614	-0.1139651539227402
SAMEA2466895	-0.009421813924835428	-0.07617258533010926	-0.07905495826088627
SAMEA2466896	0.019018805750112135	-0.027473044261324436	-0.08279077337521674
SAMEA2466897	-0.06976740910235682	0.006812895434756835	-0.06317149725959673
SAMEA2466898	-0.035530186480547274	0.03234534744861993	0.024754794378253
SAMEA2466899	-0.0750613791935557	0.06899963330845608	-0.015925553195372245
SAMEA2466900	0.06783206627507828	0.005375062165942059	0.056950400797710306
SAMEA2466901	-0.030518696852514585	0.00015390333201757844	-0.05232030531662048
SAMEA2466902	0.07495550415394156	-0.04122479427777238	-0.02504122723160549
SAMEA2466903	-0.06226851851501742	0.03301138269300538	-0.05959818495310368
SAMEA2466904	0.0320185376221706	-0.03822989127076001	0.06690920849568656
SAMEA2466905	0.030970983378450986	-0.028550483549307278	-0.029922015814203853
SAMEA2466906	-0.06182973742289337	-0.03899908767461236	0.009474280097031409
SAMEA2466907	0.07940989047551383	-0.02829220577761922	-0.011617151485655959
SAMEA2466908	-0.07256049027506697	0.02677038946528086	-0.0692565624459589
SAMEA2466910	-0.007499229826980023	-0.007522941140489729	0.021792195685596
SAMEA2466911	-0.07886067105349273	-0.0061593108428342315	-0.00041596168476938823
SAMEA2466912	0.0038601677014907443	0.00668450115947124	-0.0911712600479931
SAMEA2466913	-0.021982605150572158	-0.076224681601677	-0.03187459688747524
SAMEA2466914	-0.01305124971358509	-0.0280634016883978	-0.08232351981116386
SAMEA2466915	0.053389665850982385	-0.03387521364415019	0.09772629757014317
SAMEA2466916	0.02528740018340676	-0.029136078192945437	-0.0864154094080181
SAMEA2466917	0.097147922291373	-0.0327091094725246	0.023500489371291945
SAMEA2466918	-0.026255552692373254	-0.02599055974665003	-0.04351114936251635
SAMEA2466920	0.08872934555938353	0.06134009468108327	0.02854788402999005
SAMEA2466921	-0.026701491437273926	-0.048206060640087325	-0.0783489164394767
SAMEA2466922	0.06157315103293313	-0.09268459633767229	0.12666752140912488
SAMEA2466923	0.05129200321535532	0.015288013907045366	-0.04545269285321854
SAMEA2466924	0.027910107860118737	-0.06970485141641972	-0.06410413085519083
SAMEA2466925	-0.07107739969701352	-0.02018911354462989	-0.0026272282118837385
SAMEA2466926	0.040068711194107653	-0.016290389904842117	-0.021329818364953505
SAMEA2466927	-0.023390703316310588	-0.10407482336966849	-0.07078853695282081
SAMEA2466928	0.0228164989753427	-0.07858588638544706	-0.051653321937157985
SAMEA2466930	-0.014283742762950614	-0.019027477404574434	0.10474937198804127
SAMEA2466931	-0.020388603360018902	-0.0011939024190892875	-0.009348724807797826
SAMEA2466932	-0.08028992238567685	-0.021018163065311457	0.0025349851044230943
SAMEA2466933	0.04409558032720124	0.03859432037199792	-0.04914786081237292
SAMEA2466934	-0.024124001478595492	-0.0214237414510613	0.07790710640856377
SAMEA2466935	0.023272344384682994	0.005003233762977891	-0.06574069803234868
SAMEA2466936	0.03906737292704719	-0.031055933626883685	-0.045972567038009934
SAMEA2466937	-0.04053189616363916	-0.07495219791529262	-0.021282949341436274
SAMEA2466938	-0.0311501349999221	0.008754264759306163	-0.07417418740179897
SAMEA2466939	-0.03738127405496839	-0.07147294922012598	0.041592128048300044
SAMEA2466940	-0.03871792250443007	0.015010914952163367	0.024189798761405364
SAMEA2466941	0.04263607389779897	-0.05001971607571383	-0.04580033663395743
SAMEA2466942	-0.06331117186775405	-0.00585595357596608	0.07731480391277261
SAMEA2466943	-0.060357422512781894	-0.08515245825362004	0.039255823841189606
SAMEA2466944	0.040174941278084075	-0.020870844093564683	-0.05936234548828298
SAMEA2466945	0.01781914469557893	-0.12508958271054235	0.03733058043220441
SAMEA2466946	0.024041082981611367	-0.016672609416420472	-0.05548535591022291
SAMEA2466947	-0.04260740431352684	-0.07692721943450233	0.040976563844018425
SAMEA2466948	0.01117691166968189	-0.017639149535899335	-0.018273941976181374
SAMEA2466949	-0.04850895928460999	0.038574586072624394	-0.031030503628613086
SAMEA2466950	-0.05416446373301279	-0.02552321804830603	-0.0733072499115896
SAMEA2466951	-0.08999288561397291	-0.0503511572009906	-0.004802295699882099
SAMEA2466952	-0.011829356849602787	-0.01470912594834031	-0.08154425152404353
SAMEA2466953	-0.07884453638688542	0.01153813713065641	-0.06877911192012459
SAMEA2466954	0.06588779165749611	-0.06517141750791165	-0.00863772981056674
SAMEA2466955	-0.07239591396225659	-0.028093934266349232	-0.03818842619177897
SAMEA2466956	0.06678629355601039	-0.09971554663929154	0.04078105715162652
SAMEA2466957	-0.022537431236975637	0.0104269246167433	-0.07509348596100221
SAMEA2466958	0.03648121914439682	-0.08072809418545125	-0.007202981035656286
SAMEA2466959	-0.0845704808671263	0.0053624305923445905	-0.017100484299346966
SAMEA2466960	0.053505173630336945	-0.02376573283661563	0.08630273227029626
SAMEA2466961	0.012242621355756893	-0.008692700048296129	0.025019466423147216
SAMEA2466962	-0.027493872263943335	-0.024411411575107043	0.03956832913827218
SAMEA2466963	-0.04953474702293072	0.004289044635994303	0.012481489793008872
SAMEA2466964	-0.07591888593611834	0.006131648787208894	0.05410351675572904
SAMEA2466965	-0.035838969198966605	-0.013116080119333498	-0.05825623476140058
SAMEA2466966	0.035112248848811006	-0.012674717782749922	-0.07449160805298011
SAMEA2466967	-0.0711205866898614	0.010724994719918215	-0.09284360380680735
SAMEA2466968	-0.004481115794140985	0.08860067987465814	-0.013514738198431695
SAMEA2466969	-0.025923285793298466	0.02483880893412272	-0.05620067153321841
SAMEA2466970	0.021724103880458073	0.029322636424653357	-0.05268740543580441
SAMEA2466971	-0.08935492590763465	0.028007656146873866	-0.0019031671195709416
SAMEA2466972	-0.008161316899428443	-0.04476583995685757	0.13730872296187568
SAMEA2466973	0.027809827333725376	-0.062064657690876684	0.13562221745624595
SAMEA2466974	-0.04284371303993571	-0.019015190572357815	0.08245654208564941
SAMEA2466975	0.012887300770514875	-0.0167980144255885	-0.02029558667032964
SAMEA2466976	-0.04196135821120714	-0.03896353083189055	0.03548041278376528
SAMEA2466977	-0.06590952610564786	-0.006822501025125647	-0.04304315936682547
SAMEA2466979	-0.021684667608555773	-0.04779407939623565	0.0005220204505070098
SAMEA2466980	0.03635026565866648	0.005948225146159349	-0.041198436145613755
SAMEA2466981	0.03880722976417122	-0.02718600201762963	-0.04547383186569155
SAMEA2466983	-0.04543008372687175	0.0009249701130052341	-0.026302960024788963
SAMEA2466984	-0.03836749819604392	-0.031986936801057464	0.07896075603195922
SAMEA2466986	-0.06799182150346264	-0.0369096119990575	0.023715319726154475
SAMEA2466987	0.08058852877624244	-0.05602076911381172	0.06940578365179564
SAMEA2466988	-0.06165898755425365	-0.06778716382131547	0.03773128904508992
SAMEA2466989	0.021000146437735637	-0.026003715831991535	0.1202601475378091
