	PC1	PC2	PC3
SAMEA2466887	-0.04673247072420061	0.001500371807531467	-0.0039163665115475085
SAMEA2466888	-0.047636961073630135	0.032273837228391083	-0.06077897074049403
SAMEA2466889	-0.04242933242349167	-0.010535628989404418	-0.017184897500810925
SAMEA2466890	-0.026371389804607112	-0.08126925618178513	-0.03781784329747082
SAMEA2466891	-0.03417456479513133	-0.01707454464432806	0.006133131846341365
SAMEA2466892	-0.04383186384396678	0.005300557235397407	-0.050942441919171605
SAMEA2466893	-0.02221642070196726	0.0033391887268192644	-0.06752833676655541
SAMEA2466894	-0.00970915737031995	0.019822234570807867	-0.10401337608701014
SAMEA2466895	-0.007686674049965433	-0.07818581122589817	-0.080403529558984
SAMEA2466896	0.020607638800045916	-0.016990941296404445	-0.07647284087447936
SAMEA2466897	-0.06543491381521299	0.015010574987457458	-0.0612349347588064
SAMEA2466898	-0.03563626656652989	0.03025111712027619	0.043624563002520995
SAMEA2466899	-0.07465053576746512	0.07387057311571386	-0.0109461625069135
SAMEA2466900	0.06933333492382593	0.005473796330995664	0.064018119625468
SAMEA2466901	-0.03186439853924092	0.0008861199680675145	-0.04636528630221857
SAMEA2466902	0.07639858200745822	-0.03728508718708862	-0.023830722895144953
SAMEA2466903	-0.057003931414574494	0.03709798882437117	-0.05900083386144124
SAMEA2466904	0.03455960640584884	-0.03930394810559679	0.06757901244786708
SAMEA2466905	0.033359269587360796	-0.032605368785584087	-0.037963142903625076
SAMEA2466906	-0.06525023004666353	-0.02612007290789588	0.008063899324244972
SAMEA2466907	0.07984920077113661	-0.03015996364708	-0.004680153796543686
SAMEA2466908	-0.0726490808932925	0.026495505760290434	-0.06807413123303148
SAMEA2466910	-0.006589681682482866	-0.005899438799229068	0.015118419440478545
SAMEA2466911	-0.07372103410095114	-0.000714236582522794	-0.004762098241843785
SAMEA2466912	0.004485558685062934	0.01239619076638737	-0.08859203156120937
SAMEA2466913	-0.021416544329222024	-0.07372509158679105	-0.039282807794983395
SAMEA2466914	-0.006782912694134287	-0.02648570856682756	-0.08330552307067064
SAMEA2466915	0.04850253561829202	-0.03434617157567026	0.10856164173323288
SAMEA2466916	0.022578051691783136	-0.024855821175890185	-0.07960882594504176
SAMEA2466917	0.09722578041295821	-0.037603938491656407	0.035952020516524526
SAMEA2466918	-0.02277385662530508	-0.023046017674026212	-0.0426568600342879
SAMEA2466920	0.0878356563318653	0.0573939759449741	0.038477351716432254
SAMEA2466921	-0.03485422562778617	-0.0469283814298784	-0.07138023283927902
SAMEA2466922	0.055046139464491294	-0.10132222816054265	0.13179159605173954
SAMEA2466923	0.05626102621192599	0.019075281828334987	-0.039015813117078836
SAMEA2466924	0.025828190365318617	-0.07361691281456818	-0.07114038073643836
SAMEA2466925	-0.07147266082810891	-0.019070087258211466	-0.005750639646563668
SAMEA2466926	0.041026426204495085	-0.012523947461662533	-0.012342524727710856
SAMEA2466927	-0.032854288611846756	-0.09103692038752466	-0.05161563724895365
SAMEA2466928	0.024575119479512506	-0.08139494640586788	-0.05488261469153325
