	PC1	PC2	PC3
SAMEA2466887	-0.04965975280809007	-0.022343289875821827	-0.02308557344822395
SAMEA2466888	-0.0461808224074971	-0.04766875724877187	-0.07749540414647944
SAMEA2466889	-0.04306675471867716	-0.0020832176528224194	-0.04161633025271501
SAMEA2466890	-0.025099716101129793	0.06999352549752519	-0.0588416374416848
SAMEA2466891	-0.026315458924234213	-0.009815575352223882	-0.02788864849755289
SAMEA2466892	-0.042115605073389094	-0.025458351184795114	-0.06853684168558684
SAMEA2466893	-0.027222568850594417	-0.021693739344830654	-0.07757357749430524
SAMEA2466894	-0.013019276003349163	-0.04168167217340307	-0.10274520477861371
SAMEA2466895	-0.007364505371806757	0.05967694926848795	-0.08995578342847244
SAMEA2466896	0.02373574941325501	0.0015051100531613673	-0.08956599538716684
SAMEA2466897	-0.06317049306216733	-0.02756437454535666	-0.06337163190295642
SAMEA2466898	-0.03889646965780658	-0.04512987721228089	0.02594234736605364
SAMEA2466899	-0.07775546251745775	-0.07509943373867199	-0.005450540811718468
SAMEA2466900	0.06576101658801908	0.018250993539171874	0.06478783179352067
SAMEA2466901	-0.031395187418047796	-0.015112053888836368	-0.06180357650510058
SAMEA2466902	0.07862568816827854	0.030087093963520762	-0.026875045658866132
SAMEA2466903	-0.06223887282794775	-0.03474662454670736	-0.03580157675280592
SAMEA2466904	0.03206916806026855	0.04777461392641789	0.07142603551754163
SAMEA2466905	0.03504160501677318	0.041329270688508266	-0.01197412375612902
SAMEA2466906	-0.06594638432090266	0.013552982172477262	-0.010125151501240751
SAMEA2466907	0.08098857695538944	0.015343816913651474	-0.020264291818599373
SAMEA2466908	-0.07206746729353507	-0.038808380483018254	-0.05651439041126457
SAMEA2466910	-0.0011488398851954033	0.0314865241430672	0.03868595670058579
SAMEA2466911	-0.07877242853603844	0.008256651341625865	0.010778427734704218
SAMEA2466912	0.0005262467603053947	-0.03443704769263619	-0.0958436427690079
SAMEA2466913	-0.023228101747905117	0.07311306741866122	-0.03545794669199838
SAMEA2466914	-0.006068843183447954	0.021278000836787398	-0.08292424935726674
SAMEA2466915	0.05129929270085431	0.037050730743034554	0.08866044972946553
SAMEA2466916	0.02704504885901592	-0.001362846473573594	-0.09654877477714283
SAMEA2466917	0.09756005950048145	0.014644067902591078	0.0015557899941903526
SAMEA2466918	-0.02281497284788609	0.027089257000126044	-0.03307232712463049
SAMEA2466920	0.0879643636297803	-0.0573773914570983	0.04096698757749376
SAMEA2466921	-0.02962225056796881	0.01884838306615514	-0.09508942018163294
SAMEA2466922	0.05894942803620527	0.10182812256909156	0.0868731661227067
SAMEA2466923	0.05570193119428177	-0.026559470143550888	-0.04648222150798252
SAMEA2466924	0.030370631035853652	0.050487163186737294	-0.080565847382064
SAMEA2466925	-0.06850989962384617	0.02067218036795703	-0.009312519239750145
SAMEA2466926	0.0332417537865987	0.002147293569736622	-0.04705469505993904
SAMEA2466927	-0.026996774433580378	0.07644296413616244	-0.10375053362975879
SAMEA2466928	0.02280093352898141	0.0654015156602615	-0.07860284186247235
SAMEA2466930	-0.013773696099742876	0.03789452789201275	0.10426024939235869
SAMEA2466931	-0.015361306359683231	0.009114278922850078	-0.00654568293327903
SAMEA2466932	-0.07735853811696623	0.00025559919878914044	-0.00567066644479611
SAMEA2466933	0.04809407385930516	-0.04591458736457934	-0.02991076097100651
SAMEA2466934	-0.02757683533696582	0.01881705153925623	0.0629513033078522
SAMEA2466935	0.024247252629186762	-0.005367911725051382	-0.0666240097652999
SAMEA2466936	0.03416807623695483	0.021866630257065117	-0.06669256596975998
SAMEA2466937	-0.04094898999009664	0.06268349422954518	-0.029500449422094625
SAMEA2466938	-0.03736297313007811	-0.02740002609691162	-0.07164864343201668
SAMEA2466939	-0.039950198541246124	0.07296830649303483	0.019500348212905465
SAMEA2466940	-0.03414447385682094	-0.007480385437544867	0.024229759780014716
SAMEA2466941	0.047645121548326064	0.02202989839091312	-0.05917646925344063
SAMEA2466942	-0.06742919708567884	0.003426940558285834	0.05687751183536522
SAMEA2466943	-0.0658735210137392	0.06969892751077378	-0.004362609355447119
SAMEA2466944	0.041345252164415286	0.004487422593987897	-0.06764637774305056
