	kraken2 + bracken	metaphlan3	motus3	metaphlan4
SAMEA2466887	97.55112598087517	84.1304540680228	50.785454128890855	30.812743090234665
SAMEA2466888	96.01998304388746	81.36371867150572	45.28863807585496	29.34365798117161
SAMEA2466889	105.32317182433125	104.46865563751051	62.07910828327915	42.30556112192197
SAMEA2466890	99.116212124824	83.007409050681	46.90961668379594	32.58751046793295
SAMEA2466891	103.1169768633182	85.06894402475972	58.56262353252234	29.491577523107534
SAMEA2466892	86.70940202966278	80.68038934478157	45.31121102043045	29.137927951309198
SAMEA2466893	101.20022895647661	71.84307099565359	54.01172952133627	29.1498172282253
SAMEA2466894	96.33791174618909	71.05881108104697	46.516816248201145	31.306632193589156
SAMEA2466895	101.71696224292683	73.21014990310228	48.13125929727269	31.031132239565913
SAMEA2466896	92.2907523684256	60.00684627096215	40.39442273669097	20.518692334374805
SAMEA2466897	84.23847867933026	89.71103866042077	56.14366906575281	31.367954586636188
SAMEA2466898	107.43620695658267	87.55272091318443	51.27604328806559	28.521894587524073
SAMEA2466899	93.56484749470512	85.59359381470814	48.07313927415427	35.168385225748246
SAMEA2466900	94.44236593966289	79.2782995058945	45.532804135938626	29.98244655785307
SAMEA2466901	86.08466248746598	72.84755108141765	46.63589281662982	28.784176153339487
SAMEA2466902	91.95232742092476	77.52405634427936	48.85501463420492	24.478294111329326
SAMEA2466903	103.24058391878764	89.66468174705999	58.247751151244785	35.52603645186551
SAMEA2466904	93.49917615348883	88.15129902222174	54.13220867131459	31.507412034943084
SAMEA2466905	96.48466687635786	72.80038486802472	49.85978143808031	30.778312633016235
SAMEA2466906	96.55681202614171	89.69474219447287	42.10548861351745	31.282700402557168
SAMEA2466907	95.49612363480138	69.02307292080266	45.94629780748388	23.389023575546343
SAMEA2466908	89.17041994895617	85.83201056923569	57.48535249289112	32.80880292066097
SAMEA2466910	94.08854712955815	82.76628115826583	50.55601223919738	28.791238732924885
SAMEA2466911	90.01829410972333	95.90434262467998	59.97499483708405	36.08075430209448
SAMEA2466912	91.70333205884937	63.50019896852534	38.435248365397676	28.341982759751584
SAMEA2466913	91.27943096320676	89.61550876543193	52.644842977958675	33.05206885375053
SAMEA2466914	82.58322684649043	73.61943962063532	48.50421679635776	33.53776752092627
SAMEA2466915	98.25675352917142	97.65477596397983	55.849203664235944	32.96312439852843
SAMEA2466916	95.0542308977991	72.58652002709309	48.32509216115164	25.330106065682326
SAMEA2466917	99.67785820184825	69.38493061365045	43.1523002496616	22.008150861239557
SAMEA2466918	78.28109542082903	73.73499036949784	43.7651697787201	35.249906788933075
SAMEA2466920	97.84855120639668	76.62984154838266	45.560648157180175	22.52674935115128
SAMEA2466921	100.93890355391908	82.78914939237768	52.25849471995495	32.68940952615458
SAMEA2466922	109.38637587222448	93.0385311860748	46.27529835917755	29.87505859297812
SAMEA2466923	83.28325821767683	59.317261366501405	41.17111543508392	24.660385244872558
SAMEA2466924	89.25072925648054	68.81936135618244	45.69240481923752	22.713169810378805
SAMEA2466925	102.68397129182866	95.74166223650245	56.98153132284622	31.56632644255579
SAMEA2466926	96.08691479409232	75.5098675935641	50.49887109346929	37.074067224805745
SAMEA2466927	101.69259090713894	81.6809802111282	52.026734727189485	35.208578856614196
SAMEA2466928	92.80366798879605	68.79768965285564	45.36709575576216	26.769768510027667
SAMEA2466930	101.47396940744937	88.86898194804144	49.26721353101386	32.68255380707194
SAMEA2466931	90.22207210740508	81.93603143222968	50.61272063935714	27.05235850647174
SAMEA2466932	97.01087475708361	96.86806302584833	60.33131461713483	29.801508158929817
SAMEA2466933	90.60524696193141	71.835415257124	49.683185657093034	27.404696819978742
SAMEA2466934	107.5687459981755	100.76646040867932	59.883168080151144	34.68898263882011
SAMEA2466935	86.29850528575575	70.17314367612002	50.715524079354346	28.886127757411934
SAMEA2466936	91.56073009003094	64.76797671716919	43.11822796702511	32.99702364589682
SAMEA2466937	99.09331098201497	80.98428693098155	51.45045009986189	31.71828613680823
SAMEA2466938	91.18423611553817	80.89688394954784	54.80242532295242	41.18418559365069
SAMEA2466939	94.42255979408164	89.81097354737297	54.56813606984685	36.97446584115136
SAMEA2466940	95.38599229866922	83.52089025252833	56.583311255417954	32.40705075506155
SAMEA2466941	100.33852741625573	80.28936282550211	51.14672909401813	26.440247271487824
SAMEA2466942	103.12930915528356	99.4674937801237	53.46401515714491	35.64248218447641
SAMEA2466943	101.25322539402373	99.9931065841591	56.30384546656975	37.718325012144795
SAMEA2466944	102.28793515664786	75.36522143730423	51.699861325898354	36.7266854918138
SAMEA2466945	103.78938362206563	97.93116974664312	53.40091873780772	34.09029718596
SAMEA2466946	87.60560451750536	77.9265985639297	40.206717861852084	23.224233871285904
SAMEA2466947	88.82082182010897	81.28094660928119	45.20950470043595	29.399689213534046
SAMEA2466948	98.7131171655531	83.43364141712934	55.9920713222539	38.13133606832534
SAMEA2466949	85.59498268703454	82.89787703409324	48.973467759558545	30.875369256224282
SAMEA2466950	103.97482464055788	87.16815614101597	54.31134584996569	27.69714794579238
SAMEA2466951	97.96715787291085	92.54138253327265	55.262612285554226	34.91882054434648
SAMEA2466952	87.35832627748403	69.82161079099367	45.346021608039806	30.534021075592072
SAMEA2466953	83.6189975387777	83.72844519363991	50.85750300090196	32.21422884513987
SAMEA2466954	92.20508451408064	74.82251766900765	50.280901437779505	26.780575161877923
SAMEA2466955	92.763189955307	87.13936336453366	56.192126130591426	39.46955675413259
SAMEA2466956	99.70554765495196	78.67551430260183	49.25475168109134	33.726855698733786
SAMEA2466957	97.54854772092212	85.77727346353795	53.79567839662323	36.159267262423846
SAMEA2466958	93.03351465141925	76.04297899088247	48.8956292646329	31.48337673493048
SAMEA2466959	96.29469183383621	85.37148805136378	50.41921982575594	36.96294071040134
SAMEA2466960	93.74445410393352	84.69448068927986	51.359226476626525	27.47401007700997
SAMEA2466961	93.73558890808522	78.99301902369537	49.13148314094474	30.62217201285596
SAMEA2466962	109.14742768834239	91.56849355674765	52.273302790753014	37.06323223319656
SAMEA2466963	107.9662733133771	91.74462330036883	57.50414658444437	32.78340132400488
