	PC1	PC2	PC3
SAMEA2466887	-0.037206411085955036	-0.026160192052420084	0.025078943463543907
SAMEA2466888	-0.021251113747376538	-0.021728571748172193	-0.06190044406297823
SAMEA2466889	-0.04155215254955236	0.0036453210287528404	-0.12517110604838982
SAMEA2466890	-0.0655009357785131	0.02907590451224018	0.018369366312752267
SAMEA2466891	-0.04500133383939312	-0.0039781951591245646	-0.06398283972541144
SAMEA2466892	-0.06271009803176057	-0.014665509726042858	0.0021303127290795976
SAMEA2466893	-0.05622477914959948	-0.012673176905202976	-0.08221103707074362
SAMEA2466894	-0.04885958498058194	-0.02112306586479646	0.006381710148939845
SAMEA2466895	-0.0946968658198875	0.0527111636699198	0.05342538977035094
SAMEA2466896	-0.05817304403861459	0.01445990204651508	-0.10802187132348895
SAMEA2466897	-0.04866489627092738	-0.046331443734306574	0.03813511659403997
SAMEA2466898	-0.020616091734198743	-0.0025858336163154497	-0.07219455459767574
SAMEA2466899	0.002446657805168392	-0.07958707772740953	-0.01612402975900843
SAMEA2466900	0.03799850926146327	0.011549040414789175	-0.023719628324355885
SAMEA2466901	-0.037920867803820237	-0.026730072205832033	-0.012483162815222774
SAMEA2466902	0.012050879758590215	0.03332399598893366	0.08619907237218599
SAMEA2466903	-0.021785357747217626	-0.07518858210718739	0.02284154030705846
SAMEA2466904	-0.0057642246805870104	-0.010648479421202362	0.010695550731412635
SAMEA2466905	0.03330023073273857	-0.038969439326736355	0.045047434192754615
SAMEA2466906	-0.0649072213045368	-0.02674460407338914	0.004834562256583453
SAMEA2466907	-0.030273984205182333	0.10060142833705342	0.06828401038824493
SAMEA2466908	-0.01563000360585988	-0.059287389356058685	0.038928299476918525
SAMEA2466910	0.04594043885033504	-0.0616612201647556	0.021426531205283133
SAMEA2466911	-0.014509519852165533	-0.06127816908225483	0.01717642010627612
SAMEA2466912	-0.043013035901850925	-0.016396871327059605	-0.0031527152051624937
SAMEA2466913	-0.06222530350544795	0.0063882933368169265	0.07315713689904885
SAMEA2466914	-0.021576952774515195	-0.031592748758798854	0.02919272280594718
SAMEA2466915	-0.03251706411033378	0.056237466846193566	-0.05027043996411623
SAMEA2466916	-0.0707467430969949	0.04519900869605433	-0.07089073934720411
SAMEA2466917	-0.06405841162484188	0.1575888992770171	0.07348712535304429
SAMEA2466918	-0.02505621123535772	-0.02623750017811696	0.0532910944860083
SAMEA2466920	0.07144016174498376	0.06717962130374869	-0.029385095097859613
SAMEA2466921	-0.08916804890227281	0.06286628873217885	-0.04043556503151173
SAMEA2466922	-0.03307932119926497	0.06985037515032717	-0.05638322253252437
SAMEA2466923	0.021717715436291012	0.03473872142988837	0.09179049024053434
SAMEA2466924	-0.08037004677290355	0.061642515127850246	0.08465123133045273
SAMEA2466925	-0.02424812025438597	-0.007610982877140151	0.007786423676303494
SAMEA2466926	-0.036638012754039176	0.05313138630119089	-0.029465275962356142
SAMEA2466927	-0.09139377042846608	0.054256270605812056	-0.002801315546582934
SAMEA2466928	-0.07290722061520702	0.055552116922558126	0.08333419547306037
SAMEA2466930	-0.011611937179545447	-0.007698448896072095	-0.018215718412384153
SAMEA2466931	-0.00299201469275491	-0.02777030564935401	0.07920756288006098
SAMEA2466932	-0.01641322549087129	-0.01175977462612078	-0.0009028912376800959
SAMEA2466933	0.0841401547073781	0.03594870172344052	-0.004202468386552357
SAMEA2466934	-0.057791610348351875	0.035492845920226626	-0.04777773229652722
SAMEA2466935	0.03488010132063771	-0.0061904415746582234	0.03342013360330765
SAMEA2466936	-0.03758631542821373	0.08459137420022228	0.07136447668795697
SAMEA2466937	-0.06863463171292476	-0.0028140506786891494	0.030723184601885247
SAMEA2466938	-0.012630202398911215	-0.018851300377716335	-0.07677432668264866
SAMEA2466939	-0.06562766081893931	-0.02841877709263356	0.020801604341243632
SAMEA2466940	0.016020090637099582	-0.03374974933580831	-0.03871083344260838
SAMEA2466941	-0.08011281960148686	0.07570885604870733	0.06122314920222915
SAMEA2466942	-0.03976355413980675	-0.022643154044364625	-0.13057802384689404
SAMEA2466943	-0.05864249889240923	-0.012829900548814641	-0.10656365701421915
SAMEA2466944	-0.022931284293375223	0.057515755309093815	-0.055540370710786706
SAMEA2466945	-0.06681061863336789	0.08409466117519615	-0.007709415328312046
SAMEA2466946	0.01192054634498607	-0.0189463434251029	0.07464217980261167
SAMEA2466947	-0.06686017530526876	-0.02108464649511407	-0.01727684226697581
SAMEA2466948	-0.033358385912385546	0.04766839586010899	-0.021748248388330626
SAMEA2466949	-0.033598027491063345	-0.04331038715864317	0.027510490932977357
SAMEA2466950	-0.06893183342143923	0.004164817362409316	-0.13035123631884055
SAMEA2466951	-0.05226759233840808	-0.045869173391920065	-0.06000380623379496
SAMEA2466952	-0.03767382336488253	-0.057683866204075084	0.0655761538040793
SAMEA2466953	-0.04011840703428488	-0.06936384563267452	0.012206931493164368
