	PC1	PC2	PC3
SAMEA2466887	-0.024692980560939427	-0.047229340524597374	0.0032609907312552734
SAMEA2466888	-0.026053271962919566	-0.002633502423145362	0.03302909949932765
SAMEA2466889	-0.043825870342926065	0.034053528046928905	0.07461161368328781
SAMEA2466890	-0.05899991140748262	0.03730226484593885	-0.01874562598335892
SAMEA2466891	-0.04651641241037266	0.014882511946218924	0.056393400470496485
SAMEA2466892	-0.06245293147684116	-0.0004467445868214792	0.016020479897679428
SAMEA2466893	-0.057016092137134995	0.013230697428264077	0.032164731217359945
SAMEA2466894	-0.051539784481041864	0.006106626844499113	-0.0033804569444354435
SAMEA2466895	-0.08934790246768082	0.04506039387678949	-0.07409326349464337
SAMEA2466896	-0.06052107705440862	0.047302810191878625	0.04403921004218636
SAMEA2466897	-0.04988515779228896	-0.05294726490547682	-0.0365603537697311
SAMEA2466898	-0.0285801977833696	0.025956492450846583	0.09399169278166263
SAMEA2466899	-0.010230775891299075	-0.06530716304304426	0.013966730392975864
SAMEA2466900	0.03508096936326762	-0.02471643687294298	0.012952530969555145
SAMEA2466901	-0.04453431129320944	-0.00015182627519551485	0.03268149210154808
SAMEA2466902	0.03029434294138397	-0.004624992255633985	-0.09786076885207969
SAMEA2466903	-0.031053889249669106	-0.0593234035804827	0.0035579019881374187
SAMEA2466904	-0.0058090961284676616	-0.03592892866588145	-0.019279121819780715
SAMEA2466905	0.0308905206055251	-0.04825395034155205	-0.05986718232337459
SAMEA2466906	-0.06510111470837239	-0.0019394122980558018	0.02585804574466915
SAMEA2466907	-0.0039780839108978575	0.053174319917167395	-0.0803048227258651
SAMEA2466908	-0.02124532869333529	-0.04371258273074069	-0.02381387130708039
SAMEA2466910	0.03651880246468436	-0.07176207436554612	-0.01111063946678675
SAMEA2466911	-0.02927743456395011	-0.05473642076071354	0.003935932981532032
SAMEA2466912	-0.049063982187202725	0.01163915724194579	-0.00034782928490727406
SAMEA2466913	-0.06063225109301245	-0.0028025578307216813	-0.07529878420949479
SAMEA2466914	-0.028900307332808812	-0.010305594018659865	-0.03322845741765926
SAMEA2466915	-0.024591617306968717	0.039719912036659456	0.05623183417204429
SAMEA2466916	-0.0682394221878285	0.07414024652044349	0.023262015683808517
SAMEA2466917	-0.0270755008475292	0.08926897447424573	-0.0991965476818393
SAMEA2466918	-0.024746663373969528	-0.021967725591586957	-0.04791947169387046
SAMEA2466920	0.05611701313098593	0.07509331163038449	0.01780246486410863
SAMEA2466921	-0.08409381788073687	0.074055326562295	0.0033360412259712474
SAMEA2466922	-0.034598882377622056	0.07978367000460847	0.03285086950202357
SAMEA2466923	0.036574243426382894	0.02582472227335322	-0.09098200536917214
SAMEA2466924	-0.0676436615733793	0.059988956978358446	-0.11976484622792656
SAMEA2466925	-0.024253829174064365	-0.010736302474969863	0.029629631911805832
SAMEA2466926	-0.028073582030745753	0.05436146492738889	0.024020901359893286
SAMEA2466927	-0.08523032028034022	0.0653568360956946	-0.03003106799989205
SAMEA2466928	-0.0642180509303223	0.05361479720621816	-0.09287798247365531
SAMEA2466930	-0.011794788519097025	-0.018027859476714696	0.05427585613491871
SAMEA2466931	0.0020101825376185566	-0.055437906680628105	-0.06839492781792052
SAMEA2466932	-0.02613009778867655	-0.022837520870822407	0.03331618453734289
SAMEA2466933	0.08429939397700935	0.043280109564517055	0.009526143488841182
SAMEA2466934	-0.05387617846667788	0.04437524313214594	0.04382455324305094
SAMEA2466935	0.04422252946918222	-0.025290029947683475	-0.04653641037076036
SAMEA2466936	-0.007341496150427323	0.02894818169008448	-0.08261983409971584
SAMEA2466937	-0.07390816702197286	0.012641264168225396	-0.04033875466865547
SAMEA2466938	-0.01757295046434062	0.006313946331497555	0.03480555931816922
SAMEA2466939	-0.07426890834567514	0.0016382019375616775	-0.014785981723000281
SAMEA2466940	0.008901337620681668	-0.027672494102467558	0.051329634007435426
SAMEA2466941	-0.06785511064448549	0.06657251896877539	-0.08342709437098333
SAMEA2466942	-0.05767523204138496	0.020011972365311572	0.12781245631959526
SAMEA2466943	-0.06518757786188689	0.018503034678040455	0.08544637444225901
SAMEA2466944	-0.01948830878371784	0.0639713799791531	0.009177968769431218
SAMEA2466945	-0.06068436619532114	0.08578608900538587	-0.006558859867183384
SAMEA2466946	0.021317276156552652	-0.048474480895249014	-0.08384412162733021
SAMEA2466947	-0.07060521092442038	-0.007206565072821707	0.028295506766234158
SAMEA2466948	-0.03320531328097563	0.06171296738583879	0.00790576594598947
SAMEA2466949	-0.03449244733783076	-0.0488528631118029	-0.024953985130572474
SAMEA2466950	-0.07520165155906058	0.04690816401648214	0.06488969325252522
SAMEA2466951	-0.06324031139887817	-0.02646961807620949	0.05122027642884329
SAMEA2466952	-0.04592112626455584	-0.03387114373066031	-0.08000858358231625
SAMEA2466953	-0.054510652547731034	-0.03651949977597586	0.012246405393906088
SAMEA2466954	-0.002608382379324266	0.1023664434543674	-0.0639640211423762
SAMEA2466955	-0.0602245296670315	-0.014183653195221422	0.014523406748769672
SAMEA2466956	-0.05677257184874304	0.10078544617635529	-0.042340003745386046
