	PC1	PC2	PC3
SAMEA2466887	-0.02498829561079122	-0.04958197559186439	0.004051393294881459
SAMEA2466888	-0.03330732745809645	-0.004322556247360332	0.03359939617640166
SAMEA2466889	-0.049413596056194886	0.02723777411683337	0.08108616780023398
SAMEA2466890	-0.059457250550850826	0.03473558802526788	-0.02093691870242401
SAMEA2466891	-0.05267117951591346	0.0040819446208848476	0.06779162596259482
SAMEA2466892	-0.06507841558102416	0.00672040890820369	0.0011303512092642708
SAMEA2466893	-0.06289014466372594	0.017754554800241434	0.04418542646474753
SAMEA2466894	-0.05328455126952946	0.010482484600291199	-0.015472610870252049
SAMEA2466895	-0.09265487408544634	0.03936818922415097	-0.07428134500646255
SAMEA2466896	-0.06597759855240085	0.05416864246734697	0.03218025057883245
SAMEA2466897	-0.04601992874600095	-0.05192173175435251	-0.04266544520447346
SAMEA2466898	-0.027620309735314475	0.013057155658114588	0.09577547114582191
SAMEA2466899	-0.015271766611139525	-0.0587486351324922	0.008032309846469556
SAMEA2466900	0.04974972408259271	-0.01824189513628037	0.014701074334265991
SAMEA2466901	-0.044975210837577204	0.002190461975978233	0.021120253070413156
SAMEA2466902	0.034405982301953145	0.0005280115979655812	-0.0957279438846656
SAMEA2466903	-0.03153469813433261	-0.05699866021689411	-0.00955952825252419
SAMEA2466904	-0.002438428104823236	-0.031831421269910884	-0.01848445669323021
SAMEA2466905	0.03280764448756564	-0.04129740925021115	-0.0643218170457352
SAMEA2466906	-0.06389992394609847	-0.005979842527496124	0.024029413758503357
SAMEA2466907	-0.005669388511526316	0.0618863721926692	-0.06496559099088389
SAMEA2466908	-0.020191069197491	-0.03606512222341753	-0.030032184271225865
SAMEA2466910	0.04661826460490949	-0.06069158536024482	-0.011570136634041021
SAMEA2466911	-0.02196963231756927	-0.05458514091362535	-0.003058884159261936
SAMEA2466912	-0.0500444049338757	0.01625142977598568	-0.008036775714283191
SAMEA2466913	-0.06189119107895238	-0.0026820931525175585	-0.07242957174616324
SAMEA2466914	-0.029877793952953466	-0.0004546883337459149	-0.02916436336833834
SAMEA2466915	-0.023930137508603497	0.02578338088637669	0.07496397393411994
SAMEA2466916	-0.07343277771292794	0.07304246717295161	0.02455874886432402
SAMEA2466917	-0.024059256331928285	0.09352378129593092	-0.07894216683518247
SAMEA2466918	-0.025684874013433945	-0.010727560028849675	-0.054264510799163446
SAMEA2466920	0.05201485587056944	0.07352340619398434	0.03710386934109017
SAMEA2466921	-0.08993660220195433	0.06384430337114493	0.01609415946735278
