	PC1	PC2	PC3
SAMEA2466887	-0.02611193662725012	-0.04442445325145119	2.0251004188939282e-05
SAMEA2466888	-0.027974678580758916	-0.004257668075934584	-0.03894995948155203
SAMEA2466889	-0.04448317533913437	0.02913683297177133	-0.07816859388443097
SAMEA2466890	-0.05913805208418488	0.037179699609376615	0.017961823006079677
SAMEA2466891	-0.04633190327387052	0.013762969390347268	-0.059080644156717835
SAMEA2466892	-0.06219014371062738	-0.0014298144892772036	-0.015091887603871928
SAMEA2466893	-0.056614226124833855	0.010664659733305215	-0.03337263492700624
SAMEA2466894	-0.05207571568399276	0.005484558685620991	0.003672171820226213
SAMEA2466895	-0.08876533153878165	0.04840761229807325	0.0730532924593621
SAMEA2466896	-0.059695983204215354	0.04489092255777563	-0.046920512400711586
SAMEA2466897	-0.04992611385379697	-0.05035107710820056	0.03941389480095343
SAMEA2466898	-0.028557611321853145	0.021610053082229835	-0.09455527265935379
SAMEA2466899	-0.010974325126250094	-0.06749761753195789	-0.014845466799961238
SAMEA2466900	0.037020562909536245	-0.022836472283416624	-0.009009147217739821
SAMEA2466901	-0.04433255831881867	-0.002525391506039596	-0.031957565806562255
SAMEA2466902	0.02929812221066523	0.0014165659585836227	0.10246353785449144
SAMEA2466903	-0.031706014060315736	-0.05982863141913856	-0.0017785585772719364
SAMEA2466904	-0.005395080613546138	-0.032587930588794056	0.02293924131331179
SAMEA2466905	0.03090088965306225	-0.045810564207508696	0.06386483322786506
SAMEA2466906	-0.06543781135733202	-0.0028974272568990135	-0.02586555101676532
SAMEA2466907	-0.003316549058979335	0.059638734903525184	0.08176858922580801
SAMEA2466908	-0.022435022492920707	-0.044406494730428486	0.023808716556904856
SAMEA2466910	0.03562280520760642	-0.07180550644381704	0.015851316084895033
SAMEA2466911	-0.0293228541382088	-0.055636640918487204	-0.0047556005805865255
SAMEA2466912	-0.048356211823396576	0.011154058704602088	-0.0001798474017470646
SAMEA2466913	-0.060109859811175725	0.00013018026448480898	0.07505431357060566
SAMEA2466914	-0.028828338094545523	-0.010498983787873253	0.030043136703229723
SAMEA2466915	-0.024172047016681516	0.040648920980049935	-0.05622089312720561
SAMEA2466916	-0.06734971324446282	0.07199986877918749	-0.027483963791171837
SAMEA2466917	-0.027233276938628242	0.09978625994894923	0.09881751597618026
SAMEA2466918	-0.02480698219607873	-0.021060777507424133	0.04757595881589368
SAMEA2466920	0.058261322511379665	0.07329126883242666	-0.022012867051146263
SAMEA2466921	-0.0834802157408706	0.07286955770782556	-0.007082838423255695
SAMEA2466922	-0.0336377032866793	0.08038981087482741	-0.03390864963484595
SAMEA2466923	0.03701352601038935	0.030097821253260177	0.08611835783617212
SAMEA2466924	-0.06746742037219869	0.06625415770606136	0.11671667050422772
SAMEA2466925	-0.025890046193127972	-0.012283888551363847	-0.027990075759628884
SAMEA2466926	-0.027311463555165394	0.05408762966720411	-0.027276263467017878
SAMEA2466927	-0.08450477513680177	0.0654571772002329	0.025318998599289825
SAMEA2466928	-0.06365385433954249	0.05866336518076358	0.08769205502424994
SAMEA2466930	-0.011605193710801797	-0.01956710699605911	-0.04944173776042291
