	kraken2 + bracken	metaphlan3	motus3	metaphlan4
SAMEA2466887	0.24627028224077907	0.43802775721919784	0.14004279437175973	0.02330040061708714
SAMEA2466888	0.19571844870863458	0.5142875968538634	0.11153523118818351	0.07887773723437429
SAMEA2466889	0.21718038374958665	0.6031429209806133	0.11686843033615288	0.02617431093305088
SAMEA2466890	0.2211281898421454	0.3661857116744655	0.2001252205694358	0.02800320616228656
SAMEA2466891	0.24353920915303237	0.38444250348133246	0.19755349996471328	0.021189078715706376
SAMEA2466892	0.17599824340983486	0.30127921441663325	0.0944221330589378	0.020792789979329717
SAMEA2466893	0.22243067274174724	0.4515715317844312	0.10961135701301597	0.018543115385324153
SAMEA2466894	0.17370925084978253	0.4773814108614141	0.09594732345405928	0.019981906599188904
SAMEA2466895	0.22894355410733822	0.41440698668144477	0.22491383706738072	0.028023702034311936
SAMEA2466896	0.19301123726594463	0.4112254473848839	0.0930080103027761	0.016927315590585728
SAMEA2466897	0.1626847292363641	0.3770717183773098	0.13566272915364033	0.02677171601313489
SAMEA2466898	0.21881120158774225	0.5387324022132534	0.0899649897847837	0.017770946843433024
SAMEA2466899	0.18592356555714476	0.4703511496741253	0.11304840712935356	0.025061360314267214
SAMEA2466900	0.23332901784534707	0.3461726442780538	0.12295261093567887	0.03522415920691683
SAMEA2466901	0.2013819240054151	0.5379054109747694	0.09014627694082726	0.01790902678305085
SAMEA2466902	0.1972318471091674	0.4438471391539109	0.11122396076091041	0.023544485798207858
SAMEA2466903	0.2117659896672004	0.5352117430866984	0.15382233821537505	0.02609081929441614
SAMEA2466904	0.20104416700846137	0.4499623777908565	0.09438170722103156	0.026570224186402217
SAMEA2466905	0.19386969580114724	0.3842406584857189	0.10935662725275581	0.019979129318369142
SAMEA2466906	0.21550333218752518	0.40520973534958316	0.08121368310638795	0.021032386879793422
SAMEA2466907	0.22504998554418726	0.293186673547545	0.1599927659095204	0.018773799684094993
SAMEA2466908	0.17403668419634566	0.4252975672344164	0.13654529547982605	0.03150358147322635
SAMEA2466910	0.21574579363096177	0.37558192449875866	0.14851962562884974	0.018276283036763187
SAMEA2466911	0.18637897964670713	0.46679768405253036	0.1667864745993583	0.028618091284964165
SAMEA2466912	0.18202809494416727	0.32770223079205063	0.06980729263514429	0.01788977145687009
SAMEA2466913	0.20443601571704761	0.45290824889872394	0.26248279869350777	0.025528615378863063
SAMEA2466914	0.1747754534790118	0.43971903312239285	0.15613801869278873	0.022234197081497997
SAMEA2466915	0.27508666182752484	0.5902085378139764	0.12205583245883353	0.027273799081926807
SAMEA2466916	0.19282559207448755	0.42693578847327596	0.09241364918629927	0.020239457287942617
SAMEA2466917	0.2496363822552365	0.239511789884036	0.3225359208029071	0.04439349711521193
SAMEA2466918	0.161192408333022	0.37189101431002647	0.1325747985562584	0.03028863750489182
SAMEA2466920	0.169285473959224	0.5623618100709237	0.11903931816100073	0.016319235224125365
SAMEA2466921	0.22747867935656327	0.34668637838462474	0.2531990166525461	0.02295795122621219
SAMEA2466922	0.1291182147998646	0.7064216585715396	0.08584093509462078	0.021083798363564932
SAMEA2466923	0.22080462111206417	0.4548164668829487	0.17197041763200202	0.019018798674627267
SAMEA2466924	0.1703983695846337	0.32712150285307945	0.16106852419671988	0.03127016533305524
SAMEA2466925	0.23480011634337614	0.3920798807994886	0.14249985788264993	0.030277705472710616
SAMEA2466926	0.23544808786734417	0.4049737519679083	0.11300856111609693	0.022696187471572798
SAMEA2466927	0.1930647200226483	0.388798848970493	0.1585492799907623	0.036127191217412494
SAMEA2466928	0.19122609220014608	0.37441401340218733	0.13170807681316077	0.03241389835646376
SAMEA2466930	0.2551579463726958	0.3053066340224722	0.1630927511732023	0.0234769612205565
SAMEA2466931	0.22799695770438952	0.4414405636373526	0.17485129168471936	0.020270143595229665
SAMEA2466932	0.22496625367756737	0.5169965226898532	0.1569679190919153	0.032131671439165115
SAMEA2466933	0.24817922556388244	0.44287597322435085	0.2546264890386041	0.024660711755472575
SAMEA2466934	0.213493190464916	0.5753375892138438	0.10182914614108898	0.024958532323571155
SAMEA2466935	0.203011678565664	0.41387628955438205	0.14141237139919968	0.019002919767743445
