,simulation,kraken2 + bracken,metaphlan3,motus3,metaphlan4
SAMEA2466887,259,432,141,233,230
SAMEA2466888,214,438,106,195,189
SAMEA2466889,301,473,119,267,243
SAMEA2466890,236,471,123,216,206
SAMEA2466891,216,464,127,205,192
SAMEA2466892,221,380,121,203,196
SAMEA2466893,190,404,115,182,167
SAMEA2466894,166,400,94,146,138
SAMEA2466895,192,427,101,172,161
SAMEA2466896,115,319,79,112,103
SAMEA2466897,265,432,128,234,231
SAMEA2466898,255,426,123,226,226
SAMEA2466899,268,466,125,238,226
SAMEA2466900,149,287,71,121,116
SAMEA2466901,215,358,115,191,189
SAMEA2466902,142,404,82,131,128
SAMEA2466903,265,493,118,226,223
SAMEA2466904,237,451,134,203,204
SAMEA2466905,196,446,116,176,167
SAMEA2466906,275,470,136,260,244
SAMEA2466907,116,314,81,108,100
SAMEA2466908,271,450,140,252,238
SAMEA2466910,220,445,109,200,192
SAMEA2466911,328,489,161,284,283
SAMEA2466912,150,335,91,133,125
SAMEA2466913,262,467,124,229,229
SAMEA2466914,214,372,114,195,179
SAMEA2466915,212,298,112,190,179
SAMEA2466916,154,398,97,155,140
SAMEA2466917,69,241,46,58,57
SAMEA2466918,226,391,110,201,191
SAMEA2466920,91,309,67,82,76
SAMEA2466921,221,404,118,203,192
SAMEA2466922,161,289,70,140,137
SAMEA2466923,110,329,79,100,92
SAMEA2466924,137,327,76,126,122
SAMEA2466925,318,525,146,285,281
SAMEA2466926,182,363,129,154,142
SAMEA2466927,236,464,131,220,207
SAMEA2466928,159,341,92,145,140
SAMEA2466930,277,479,150,243,241
SAMEA2466931,199,418,100,176,175
SAMEA2466932,297,515,138,272,267
SAMEA2466933,156,352,113,142,133
SAMEA2466934,278,505,137,248,237
SAMEA2466935,180,400,101,150,152
SAMEA2466936,149,349,87,134,125
SAMEA2466937,227,475,110,204,198
SAMEA2466938,256,437,140,216,210
SAMEA2466939,260,458,98,221,213
SAMEA2466940,247,454,136,217,213
SAMEA2466941,161,411,116,156,144
SAMEA2466942,321,513,148,288,275
SAMEA2466943,323,470,150,280,274
SAMEA2466944,176,386,105,147,142
SAMEA2466945,265,477,133,231,228
SAMEA2466946,166,401,95,153,148
SAMEA2466947,232,440,120,209,202
SAMEA2466948,190,425,98,169,150
SAMEA2466949,254,433,123,219,223
SAMEA2466950,232,408,118,211,208
SAMEA2466951,321,516,163,296,290
SAMEA2466952,184,397,90,169,155
SAMEA2466953,279,437,128,251,246
SAMEA2466954,141,336,81,126,120
SAMEA2466955,284,482,132,249,236
SAMEA2466956,155,338,82,128,130
SAMEA2466957,231,420,122,200,197
SAMEA2466958,159,354,101,134,130
SAMEA2466959,302,478,148,280,260
SAMEA2466960,166,335,94,159,147
SAMEA2466961,203,410,117,190,174
SAMEA2466962,265,479,127,238,227
SAMEA2466963,266,517,137,246,239
SAMEA2466964,285,509,120,252,249
SAMEA2466965,228,475,115,200,188
SAMEA2466966,165,405,89,141,132
SAMEA2466967,266,445,122,236,235
SAMEA2466968,211,385,96,167,164
SAMEA2466969,195,373,99,179,169
SAMEA2466970,171,392,92,150,144
SAMEA2466971,328,441,148,294,292
SAMEA2466972,312,483,156,266,256
SAMEA2466973,289,433,119,236,234
SAMEA2466974,274,453,129,240,225
SAMEA2466975,202,412,121,177,173
SAMEA2466976,265,491,135,241,240
SAMEA2466977,249,450,119,225,217
SAMEA2466979,239,420,120,212,193
SAMEA2466980,150,388,91,126,119
SAMEA2466981,148,386,91,129,119
SAMEA2466983,233,426,112,221,208
SAMEA2466984,333,477,169,303,285
SAMEA2466986,290,509,140,254,243
SAMEA2466987,128,286,70,111,103
SAMEA2466988,302,525,124,267,253
SAMEA2466989,227,400,104,187,182
SAMEA2466991,244,448,124,225,214
SAMEA2466992,267,460,126,238,227
SAMEA2466993,291,492,130,257,251
SAMEA2466995,259,470,126,221,215
SAMEA2466996,317,533,157,280,276
SAMEA2466997,165,413,84,156,150
SAMEA2466998,118,313,83,107,104
SAMEA2466999,150,420,91,146,134
SAMEA2467001,103,300,82,95,88
SAMEA2467002,158,358,76,139,126
SAMEA2467003,177,400,111,161,153
SAMEA2467004,215,413,116,176,178
SAMEA2467006,334,474,151,303,300
SAMEA2467008,220,408,124,196,181
SAMEA2467009,58,207,50,55,53
SAMEA2467010,195,332,109,182,168
SAMEA2467011,114,372,77,106,93
SAMEA2467012,263,489,116,226,216
SAMEA2467013,264,423,132,229,226
SAMEA2467014,202,385,99,172,168
SAMEA2467015,215,417,117,195,193
SAMEA2467016,244,423,126,210,200
SAMEA2467017,260,443,141,239,224
SAMEA2467018,155,389,96,140,139
SAMEA2467019,294,495,133,252,247
SAMEA2467020,319,457,143,277,278
SAMEA2467021,286,476,134,252,246
SAMEA2467022,281,429,129,243,232
SAMEA2467023,114,347,78,105,97
SAMEA2467024,260,455,110,236,221
SAMEA2467025,238,483,122,205,203
SAMEA2467026,225,471,130,193,190
SAMEA2467027,309,477,132,279,270
SAMEA2467028,222,409,119,200,191
SAMEA2467029,346,522,138,304,294
SAMEA2467030,237,406,119,215,214
SAMEA2467031,304,497,126,271,274
SAMEA2467032,76,255,56,65,61
SAMEA2467033,154,365,114,150,141
SAMEA2467034,320,453,136,280,274
SAMEA2467035,347,524,153,309,302
SAMEA2467036,263,510,142,252,242
SAMEA2467037,188,412,97,165,159
SAMEA2467038,84,328,61,77,76
SAMEA2467039,270,467,118,252,240
SAMEA2467040,168,385,88,147,139
SAMEA2467041,212,431,112,190,178
SAMEA2467042,223,453,127,190,185
SAMEA2467043,141,383,80,130,123
SAMEA2467044,271,435,116,235,230
SAMEA2467045,180,392,102,164,156
SAMEA2467046,308,491,147,271,259
SAMEA2467047,107,312,66,97,98
SAMEA2467048,180,384,111,164,150
SAMEA2467049,234,444,102,205,195
SAMEA2467050,279,496,128,243,241
SAMEA2467051,165,428,87,148,138
SAMEA2467052,201,425,84,177,175
SAMEA2467053,188,369,95,158,150
SAMEA2467054,284,504,132,255,246
SAMEA2467055,345,544,145,300,303
SAMEA2467056,165,421,98,159,147
SAMEA2467057,162,343,82,156,145
SAMEA2467058,189,399,91,170,154
SAMEA2467059,92,326,68,85,81
SAMEA2467060,206,370,100,192,180
SAMEA2467061,306,485,127,282,260
SAMEA2467062,238,418,120,208,196
SAMEA2467063,203,436,108,173,171
SAMEA2467064,191,451,116,173,163
SAMEA2467065,233,435,108,219,204
SAMEA2467066,217,406,116,197,180
SAMEA2467067,273,441,140,239,222
SAMEA2467068,88,324,65,85,80
SAMEA2467069,185,332,82,154,147
SAMEA2467070,170,386,92,155,144
SAMEA2467071,175,389,99,151,145
SAMEA2467072,235,419,105,208,202
SAMEA2467073,273,478,138,237,236
SAMEA2467074,302,461,116,261,259
SAMEA2467075,234,460,100,212,204
SAMEA2467076,242,487,141,223,217
SAMEA2467077,232,477,114,209,194
SAMEA2467078,306,489,137,268,254
SAMEA2467079,136,305,71,118,109
SAMEA2467080,225,481,105,185,182
SAMEA2467081,172,423,94,154,158
SAMEA2467082,99,293,59,101,84
SAMEA2467083,203,453,100,172,173
SAMEA2467084,144,337,93,133,128
SAMEA2467085,134,341,78,116,113
SAMEA3136623,123,357,67,113,104
SAMEA3136624,165,338,104,149,140
SAMEA3136625,240,398,119,210,195
SAMEA3136626,106,271,65,87,87
SAMEA3136627,278,506,146,236,243
SAMEA3136628,158,355,88,144,126
SAMEA3136629,254,474,135,220,213
SAMEA3136630,282,483,112,262,250
SAMEA3136631,162,378,83,141,138
SAMEA3136632,274,451,121,249,236
SAMEA3136633,64,264,53,62,55
SAMEA3136634,276,425,115,242,233
SAMEA3136635,87,268,65,79,70
SAMEA3136636,83,275,56,73,64
