		kraken2 + bracken	metaphlan3	motus3	metaphlan4
SAMEA2466887	TP	228.0	120.0	214.0	230.0
SAMEA2466887	FN	31.0	139.0	45.0	29.0
SAMEA2466887	FP	204.0	21.0	19.0	0.0
SAMEA2466887	TN	3103.0	3286.0	3288.0	3307.0
SAMEA2466887	TPR	0.8803088802748915	0.4633204633025745	0.8262548262229245	0.8880308879966011
SAMEA2466887	FPR	0.06168732990607292	0.006350166313860447	0.005745388569683262	0.0
SAMEA2466887	TNR	0.9383126700909032	0.9936498336831157	0.9942546114272929	0.9999999999969762
SAMEA2466887	FNR	0.11969111968649841	0.5366795366588154	0.17374517373846543	0.11196911196478883
SAMEA2466887	PPV	0.5277777777655607	0.8510638297268749	0.9184549355828989	0.9999999999565217
SAMEA2466887	NPV	0.99010848755268	0.9594160583913593	0.9864986498620267	0.9913069544334794
SAMEA2466887	FDR	0.4722222222112911	0.1489361702022031	0.08154506437418262	0.0
SAMEA2466887	FOR	0.009891512444129256	0.04058394160572092	0.013501350134972993	0.008693045563523103
SAMEA2466887	P_T	0.12114413909141895	0.039540100953449245	0.06533931575995514	0.06449803701626472
SAMEA2466887	P_F	0.878855860908581	0.9604598990465507	0.9346606842400449	0.9355019629837352
SAMEA2466887	FPRA	0.10450074834294733	0.18872378553904498	0.0682347904381129	0.0
SAMEA2466887	FNRA	0.004989310596780741	0.3205741724872702	0.06956962276486674	0.0009954023113381166
SAMEA2466887	F1	0.6599131693102762	0.599999999985	0.8699186991693105	0.9406952965042803
SAMEA2466887	ACC	0.9340998317416318	0.955131800333833	0.9820527201318507	0.9918676388082113
SAMEA2466887	Dice	0.34008683068017365	0.4	0.13008130081300814	0.05930470347648262
SAMEA2466888	TP	193.0	87.0	181.0	189.0
SAMEA2466888	FN	21.0	127.0	33.0	25.0
SAMEA2466888	FP	245.0	19.0	14.0	0.0
SAMEA2466888	TN	3107.0	3333.0	3338.0	3352.0
SAMEA2466888	TPR	0.9018691588363612	0.40654205605576904	0.8457943924838414	0.8831775700521879
SAMEA2466888	FPR	0.07309069212388697	0.005668257756546336	0.004176610978507827	0.0
SAMEA2466888	TNR	0.9269093078731298	0.9943317422404704	0.9958233890185089	0.9999999999970167
SAMEA2466888	FNR	0.09813084111690977	0.593457943897502	0.15420560746942963	0.11682242990108306
SAMEA2466888	PPV	0.4406392693963324	0.8207547169037024	0.9282051281575279	0.9999999999470899
