	kraken2 + bracken	metaphlan3	motus3	metaphlan4
SAMEA2466887	0.2751374203201205	0.3926853039585232	0.07660638403384892	0.07661919914557978
SAMEA2466888	0.30292162218299507	0.413673072087749	0.07511073368377807	0.08639088531919845
SAMEA2466889	0.31317684268597856	0.5437837284362922	0.14132632156533256	0.16248583944293715
SAMEA2466890	0.3326984818195993	0.4764536431201998	0.0954724279561685	0.09914136007108404
SAMEA2466891	0.3291918106356072	0.42283107283758176	0.08754989441693212	0.07516529675380505
SAMEA2466892	0.25410514189787264	0.41109946161127037	0.07345762778422897	0.09851870418712134
SAMEA2466893	0.38260687520880665	0.39294309710633063	0.0875866789831213	0.07999817826219963
SAMEA2466894	0.43351031092202974	0.39797260206670254	0.1526642845580609	0.15365546878297304
SAMEA2466895	0.38827536327887	0.41032701200894517	0.09969453235784141	0.09415431428960143
SAMEA2466896	0.38598510794779517	0.33866621535428426	0.09582024580656094	0.053376154106343866
SAMEA2466897	0.27703745917007006	0.4686110481134927	0.09502003965461438	0.09860331432426384
SAMEA2466898	0.2999508039921643	0.47622958443009067	0.12481328721022279	0.08364138456035737
SAMEA2466899	0.3403039683680247	0.44004496418401046	0.10559642813739606	0.1160928591727547
SAMEA2466900	0.4031562804728546	0.4655782037260994	0.1432885839909611	0.14208592193295583
SAMEA2466901	0.3013144077633249	0.41280809134732793	0.10335508285545196	0.08182347312182721
SAMEA2466902	0.4428067376597822	0.3064532800768746	0.08238713760466185	0.0666910305919093
SAMEA2466903	0.3392701139581268	0.45559179208990686	0.1446040461455779	0.1470107863310137
SAMEA2466904	0.3441225935944244	0.40044899043944254	0.10147686045782589	0.06624381658388052
SAMEA2466905	0.39698396153164106	0.40415739821116475	0.09546070793962184	0.11777891891725682
SAMEA2466906	0.2735835868037749	0.46525115467993633	0.057374779508692776	0.06059529267278271
SAMEA2466907	0.41368893441202587	0.2800043336524435	0.0752126876982512	0.068643812454309
SAMEA2466908	0.26839771005871754	0.4268588542956182	0.09844760719411078	0.09338732993771702
SAMEA2466910	0.34136275650614273	0.44440554426447837	0.10544215066273958	0.0770580121901684
SAMEA2466911	0.26248109810575265	0.4712002063154028	0.11910285330415576	0.11043208123276514
SAMEA2466912	0.3708054971535318	0.28901230202240946	0.11069232838869844	0.09465707603014141
SAMEA2466913	0.32190595150330154	0.46590692171905274	0.10976369568838534	0.06542610454103179
SAMEA2466914	0.2979762736420006	0.3658686436007071	0.0993541626537705	0.11720407735292789
SAMEA2466915	0.24632913021600925	0.5184495199228922	0.1348016749951887	0.10847340005534642
SAMEA2466916	0.4181904071338008	0.34664984441488805	0.05047089133053991	0.10338858571710732
SAMEA2466917	0.578016959507381	0.31309780631818807	0.1703774775950678	0.16387633654708986
SAMEA2466918	0.2924174037524966	0.47973461250266375	0.10522397566333479	0.12442971594053287
SAMEA2466920	0.47782894110234386	0.2846334727859633	0.09733888647537065	0.08282744823263218
SAMEA2466921	0.29261526078031647	0.40494976503967883	0.12566361341818819	0.08767808478489982
SAMEA2466922	0.3065235097681789	0.4873462482850944	0.10592216087874179	0.07507735748592019
SAMEA2466923	0.44207106361598153	0.24236487350044258	0.07301922457205245	0.08994747403099915
SAMEA2466924	0.3939501007015669	0.42659417999070737	0.16685333453896808	0.10714512525210848
SAMEA2466925	0.2888259627222454	0.48802338607192264	0.09858005861328306	0.07077205704833103
SAMEA2466926	0.28151231372322083	0.3154032141271223	0.13719993855007237	0.1263560658859851
SAMEA2466927	0.3500096895477314	0.37972476223740187	0.09043065141846793	0.1105745908804103
SAMEA2466928	0.34886988292143684	0.39289915263034353	0.08439634853572126	0.08638566958890584
SAMEA2466930	0.3167759800279218	0.440696638421177	0.10226781929571621	0.10693283407586357
