	kraken2 + bracken	metaphlan3	motus3	metaphlan4
SAMEA2466887	0.12220627419524568	0.1266096084582098	0.020999433008858502	0.008462335883678758
SAMEA2466888	0.07917710855251715	0.1397169202321168	0.024318649142688893	0.05073149276940848
SAMEA2466889	0.08374148643803117	0.20213649603294598	0.019347648478932625	0.007074981332401899
SAMEA2466890	0.09185031370864602	0.13226382142558032	0.021772967355954683	0.009130092185677594
SAMEA2466891	0.12190894729604777	0.13374832435064107	0.027350998986619388	0.0085585813519963
SAMEA2466892	0.08850673874071016	0.09738752425518317	0.01720162314926909	0.00866191734371373
SAMEA2466893	0.07462118742371703	0.15550008241405963	0.04349497240057965	0.005537396512659188
SAMEA2466894	0.06331829364861814	0.1669161637885536	0.021093854750850145	0.00827718044567466
SAMEA2466895	0.08538918178672009	0.16524831685747499	0.03492166960650452	0.007348697180506555
SAMEA2466896	0.048948836030739844	0.12104225234649076	0.01582757035822552	0.004083346824607
SAMEA2466897	0.06080803319079871	0.10204340961896403	0.024274662113755528	0.010808770474343527
SAMEA2466898	0.11407408805912041	0.20575165568929232	0.017721859868726122	0.007580094516953886
SAMEA2466899	0.08480479551522652	0.1645892251695175	0.035624559402234135	0.007644019302933575
SAMEA2466900	0.061318159814513135	0.11179319773378553	0.08083947674934225	0.022021878167899144
SAMEA2466901	0.09026210121590751	0.2612658047367907	0.019351247609445257	0.008360928082217948
SAMEA2466902	0.06307098327549447	0.1522332466920224	0.029596422754091054	0.00992838046425219
SAMEA2466903	0.09538590134824301	0.16794510495147116	0.029013321082268274	0.01016034961090682
SAMEA2466904	0.058964292384288186	0.1472353150145187	0.024867612210002117	0.011743530518359812
SAMEA2466905	0.05276685204805951	0.11216029922461088	0.024781178936420616	0.006232222429988751
SAMEA2466906	0.12402927058734003	0.16896213031845161	0.020551257899981138	0.00870593443076323
SAMEA2466907	0.08294541826907399	0.08564670006273067	0.022040717560179945	0.005692286013779746
SAMEA2466908	0.060640127915284066	0.11393210272461007	0.027922570760724703	0.01110612434361438
SAMEA2466910	0.07192328768356634	0.11219699063914618	0.03551843825000855	0.00639049230797712
SAMEA2466911	0.07520983269530104	0.11662655230423981	0.027911786634412634	0.010976810234464698
SAMEA2466912	0.09867878016772859	0.06176141170865796	0.022825797503752528	0.008765130225486854
SAMEA2466913	0.08325270238619303	0.1611658366285717	0.04037777709247275	0.007907053880526886
SAMEA2466914	0.07809101589718123	0.1124448512163833	0.07082415696836877	0.007252055820074861
SAMEA2466915	0.10910872334910807	0.25866392920145925	0.04708929014061689	0.01165729078187433
SAMEA2466916	0.06338822976424299	0.1542631585660179	0.02202948464059529	0.0059965233821948375
SAMEA2466917	0.0498796208530226	0.03582280570614238	0.01756433006811743	0.011132171630414769
SAMEA2466918	0.06562969139252213	0.09487694589724134	0.03450111773725873	0.00841363179112399
SAMEA2466920	0.03979911414034289	0.10769497987282416	0.03621181290398065	0.005547096382125735
SAMEA2466921	0.07435630938495531	0.10398122656076468	0.04818646090979029	0.00617095374879944
SAMEA2466922	0.04876100484098799	0.32755277808311106	0.021897437838695306	0.008664844619794157
SAMEA2466923	0.05666153394373041	0.11872295198321353	0.03555692005354246	0.007864021801701423
SAMEA2466924	0.07032779013545656	0.1300338259555868	0.028962900210418276	0.008251030584267035
SAMEA2466925	0.11821276868275918	0.12674145482967397	0.0364622240504069	0.013967528402601058
