	space	simu	kraken2 + bracken	metaphlan3	motus3	metaphlan4
SAMEA2466887	gtdb207	refKrak	0.2008474851403482	0.4288742276084486	0.2069689248195289	0.1676751536676017
SAMEA2466888	gtdb207	refKrak	0.1960101901934178	0.5797246047421923	0.2213225416601728	0.1628069343154211
SAMEA2466889	gtdb207	refKrak	0.2073918373206032	0.6632990742730643	0.2290935785780996	0.1534707139628104
SAMEA2466890	gtdb207	refKrak	0.2032052645047764	0.4115701672983221	0.2099539773274077	0.0902920129343955
SAMEA2466891	gtdb207	refKrak	0.2471953125488417	0.443858269681436	0.2535257468496817	0.1544244544042656
SAMEA2466892	gtdb207	refKrak	0.1763318322672233	0.3300390248063592	0.2346814798088294	0.0760401107616569
SAMEA2466893	gtdb207	refKrak	0.1916071597909691	0.508062961594793	0.193724634244269	0.0845690712936635
SAMEA2466894	gtdb207	refKrak	0.17681177251702	0.4587250783860799	0.1804862307105416	0.0850064638027331
SAMEA2466895	gtdb207	refKrak	0.2104514681500042	0.4045523711153945	0.3028267017179101	0.0871090260997056
SAMEA2466896	gtdb207	refKrak	0.2998866712692796	0.6604630681523953	0.4809705807527442	0.4045008443481564
SAMEA2466897	gtdb207	refKrak	0.1826227443274396	0.388524079542693	0.2193555865106652	0.1027760543883399
SAMEA2466898	gtdb207	refKrak	0.2233980120977755	0.5403412610677442	0.1444287120202671	0.1211032697691656
SAMEA2466899	gtdb207	refKrak	0.2012000980403805	0.5384795640806503	0.2291235263675665	0.1731755201898939
SAMEA2466900	gtdb207	refKrak	0.1871284918089654	0.5613528147226755	0.3328647679275255	0.3053852663199591
SAMEA2466901	gtdb207	refKrak	0.1953186935964634	0.4818993948379391	0.1678016208994271	0.058848656617724
SAMEA2466902	gtdb207	refKrak	0.1974570074796029	0.4942338882598249	0.2198452618108888	0.1239417389795165
SAMEA2466903	gtdb207	refKrak	0.1796327912626781	0.5251743147272663	0.1899349292798768	0.0857827448415509
SAMEA2466904	gtdb207	refKrak	0.1850877515523226	0.5260091351083572	0.163151559260471	0.1255468929537846
SAMEA2466905	gtdb207	refKrak	0.1716200926713754	0.4572591610080053	0.1586867602726015	0.0864604052688199
SAMEA2466906	gtdb207	refKrak	0.2021446439252922	0.3654635553008497	0.1594889942445722	0.1017772467231407
SAMEA2466907	gtdb207	refKrak	0.1921886687447342	0.3573296828616193	0.30091804370004	0.1003420408052362
SAMEA2466908	gtdb207	refKrak	0.1754763138246854	0.4672657776144067	0.1874122111297894	0.0793281873170862
SAMEA2466910	gtdb207	refKrak	0.1859194102834393	0.4692220891312413	0.1682754761163584	0.1091095844356136
SAMEA2466911	gtdb207	refKrak	0.1772637533598854	0.5176990251355701	0.2251795864325827	0.1251148576388401
SAMEA2466912	gtdb207	refKrak	0.1753915757692159	0.3474242315069454	0.1794661784722235	0.0630892095056564
SAMEA2466913	gtdb207	refKrak	0.197396819612252	0.4350358690100329	0.2596029569934122	0.1285650221800812
SAMEA2466914	gtdb207	refKrak	0.1630418270365096	0.464332290560406	0.2075750636236865	0.084792135806689
SAMEA2466915	gtdb207	refKrak	0.2311966881489868	0.6738890110097713	0.2258290170439139	0.1452797002923958
SAMEA2466916	gtdb207	refKrak	0.2383580290863717	0.5141846019218361	0.363419370054164	0.2066866371945393
SAMEA2466917	gtdb207	refKrak	0.2412801369908543	0.2032487877588501	0.3930612012570634	0.1177624904602823
SAMEA2466918	gtdb207	refKrak	0.1884505953977916	0.4422519164192303	0.2176695414963248	0.176722357833414
SAMEA2466921	gtdb207	refKrak	0.2366333606780813	0.4438547320611454	0.3929276592131454	0.1646580439283257
SAMEA2466922	gtdb207	refKrak	0.1537350674939699	0.6627256657565124	0.153054296393525	0.1122299000233221
SAMEA2466923	gtdb207	refKrak	0.2112880978466114	0.3944253039185615	0.2856877298923215	0.1454635641023602
SAMEA2466924	gtdb207	refKrak	0.1715037367584832	0.3004667101594793	0.2082828478577469	0.1001573100938524
SAMEA2466925	gtdb207	refKrak	0.1978487086786965	0.4910998453569467	0.2206269408423944	0.1314425258441081
SAMEA2466926	gtdb207	refKrak	0.2532241017292552	0.3443151099516179	0.1922479748584095	0.087215490870277
SAMEA2466927	gtdb207	refKrak	0.2031891533882039	0.4568048568537227	0.2709731296439485	0.1303581279558714
SAMEA2466928	gtdb207	refKrak	0.2078727968636646	0.3449241168616922	0.1927138485060229	0.1196036067198991
SAMEA2466930	gtdb207	refKrak	0.2272095405411356	0.3494773957978297	0.1685291982455743	0.1098708944763987
SAMEA2466931	gtdb207	refKrak	0.192600529734702	0.4513802539804853	0.2394575955495596	0.1097433053884304
SAMEA2466932	gtdb207	refKrak	0.2145033275817121	0.5186779428717172	0.2115799336051439	0.1358973335925632
SAMEA2466933	gtdb207	refKrak	0.1799238935253127	0.4733685058332765	0.2395808982186011	0.1369066482416151
SAMEA2466934	gtdb207	refKrak	0.2149030674709696	0.5795115979772714	0.201930118664651	0.1126553083696141
SAMEA2466935	gtdb207	refKrak	0.1793849757620229	0.4486297989808248	0.2112134765683968	0.1041721813231026
SAMEA2466936	gtdb207	refKrak	0.2456204360828234	0.3542696198574194	0.407074630409956	0.1520328288228716
SAMEA2466937	gtdb207	refKrak	0.1941588429623813	0.5180754064281291	0.1910712542020539	0.103982091749839
SAMEA2466938	gtdb207	refKrak	0.287668382168919	0.5844246002244186	0.370433659931997	0.315849152666828
SAMEA2466939	gtdb207	refKrak	0.183097094724157	0.543090707822189	0.1536014741710599	0.0899104932356928
SAMEA2466940	gtdb207	refKrak	0.251873032617715	0.5164368000391634	0.286225657402245	0.189996210976902
SAMEA2466941	gtdb207	refKrak	0.2114527287691218	0.3790963130305025	0.2391122694341205	0.1025925160206965
SAMEA2466942	gtdb207	refKrak	0.1800853629858366	0.5050770379040828	0.183776774277124	0.1105858887669198
SAMEA2466943	gtdb207	refKrak	0.1845515870625115	0.5431066479170509	0.1819493368716652	0.1145277458401139
SAMEA2466944	gtdb207	refKrak	0.4048101771818629	0.5802844741126304	0.4891816261051885	0.4112892646541898
SAMEA2466945	gtdb207	refKrak	0.1857495877752477	0.4843854312492495	0.231648063040987	0.0963221975599004
SAMEA2466946	gtdb207	refKrak	0.198291022483975	0.4194122468853842	0.2440157220065955	0.1377425845603906
SAMEA2466947	gtdb207	refKrak	0.1931519067620151	0.3878731456444372	0.1606687253348729	0.0873836675401286
SAMEA2466948	gtdb207	refKrak	0.2051645679291214	0.4957667325264185	0.2238634027188314	0.1273614059282145
SAMEA2466949	gtdb207	refKrak	0.1920298015046024	0.4698166292961781	0.2079227714029793	0.1414850421855206
SAMEA2466950	gtdb207	refKrak	0.3006567486941389	0.671390132453461	0.4504104402968187	0.3465726684384446
SAMEA2466951	gtdb207	refKrak	0.1986353130108243	0.4754507991439611	0.2419649882719698	0.1135530525657061
SAMEA2466952	gtdb207	refKrak	0.1849954543384616	0.4645894916106651	0.1741304931331329	0.0863438397415932
SAMEA2466953	gtdb207	refKrak	0.159898870120504	0.4743247206941112	0.1712561709488697	0.0769034133227574
SAMEA2466954	gtdb207	refKrak	0.1753686431647704	0.3970217725064293	0.306251677072632	0.1079349857631324
SAMEA2466955	gtdb207	refKrak	0.1954122654691993	0.4863840251800697	0.2238084199842636	0.1148372116094136
SAMEA2466956	gtdb207	refKrak	0.1917796931892622	0.3797666188353144	0.2125215221390091	0.0789558751672634
SAMEA2466957	gtdb207	refKrak	0.2120086435640507	0.4187794532960607	0.1994044804666349	0.1624059090714602
SAMEA2466958	gtdb207	refKrak	0.1648746761879785	0.3356379337979238	0.2841613937796459	0.0773069114614507
SAMEA2466959	gtdb207	refKrak	0.2475887438682349	0.6434859410538539	0.2838868524799097	0.2584344051543661
SAMEA2466960	gtdb207	refKrak	0.2344851747397567	0.476016729560508	0.3527619268477842	0.1444703178184984
SAMEA2466961	gtdb207	refKrak	0.2195683060972746	0.5045409932221336	0.3013770031942208	0.1704640591925553
SAMEA2466962	gtdb207	refKrak	0.212763535758659	0.5102060936478026	0.1393804650916221	0.0956616321698863
SAMEA2466963	gtdb207	refKrak	0.1970852690724777	0.4138558744952736	0.2037314494455649	0.1087771799787263
SAMEA2466964	gtdb207	refKrak	0.2421336141238963	0.541262195975455	0.2391960073427701	0.1934981885409145
SAMEA2466965	gtdb207	refKrak	0.2028921628911743	0.5785406548478165	0.2133091052148556	0.1491127359750437
SAMEA2466966	gtdb207	refKrak	0.2221654155986003	0.4222570049769935	0.3639288387227855	0.1238836624596609
SAMEA2466967	gtdb207	refKrak	0.1736222983349337	0.4801268245425961	0.2309536434239829	0.124964416749804
SAMEA2466968	gtdb207	refKrak	0.1681454869367102	0.6303894353910313	0.3066888294841688	0.1764614500083315
SAMEA2466969	gtdb207	refKrak	0.2828938557152617	0.7006001906270253	0.4170233752015024	0.3698350613443282
SAMEA2466970	gtdb207	refKrak	0.1754041520926464	0.5070409811044453	0.2027807018911037	0.109132558354579
SAMEA2466971	gtdb207	refKrak	0.1639767039681517	0.4752116674505672	0.2011038012065146	0.114241855719628
SAMEA2466972	gtdb207	refKrak	0.2307123898462516	0.5695262946528891	0.1894608889718647	0.132713559298078
SAMEA2466973	gtdb207	refKrak	0.2117792159683778	0.4238414523863452	0.2311439354395707	0.1197847888507356
SAMEA2466974	gtdb207	refKrak	0.2259697408573112	0.5223345939755666	0.2851260245352897	0.178498905500815
SAMEA2466975	gtdb207	refKrak	0.1860600433078973	0.3578465626209061	0.2101696264540579	0.0899741894640694
SAMEA2466976	gtdb207	refKrak	0.1947972126580522	0.432241602832681	0.1795067774611875	0.1061135998170922
SAMEA2466977	gtdb207	refKrak	0.246104101521773	0.5469986441510634	0.2769765644324198	0.2128764691133327
SAMEA2466979	gtdb207	refKrak	0.2015816034060695	0.4441548719284904	0.2466837165414142	0.1651897182962479
SAMEA2466980	gtdb207	refKrak	0.2151026454536021	0.4567701800830535	0.2454679021219479	0.1063457411777051
SAMEA2466981	gtdb207	refKrak	0.2028008106721373	0.5086063844172766	0.1834313749001782	0.103789146032343
SAMEA2466983	gtdb207	refKrak	0.2648771014612039	0.5580427601623985	0.3455316767080406	0.2839795156243748
SAMEA2466984	gtdb207	refKrak	0.1819494377958052	0.5996366330133217	0.1952799551803629	0.1256073755870246
SAMEA2466986	gtdb207	refKrak	0.2302750229071249	0.464363228978705	0.2021894961102383	0.1525124517470125
SAMEA2466987	gtdb207	refKrak	0.2094084218311609	0.3511454369553375	0.2828951377242795	0.1048394021265896
SAMEA2466988	gtdb207	refKrak	0.2054458458325855	0.5943203888978648	0.1723216271436503	0.1090084729613285
SAMEA2466989	gtdb207	refKrak	0.3558817157804216	0.5067932473034463	0.3976237562575566	0.3051738889011088
SAMEA2466991	gtdb207	refKrak	0.2158771927076067	0.4104393620594156	0.310038321262471	0.117765681744489
SAMEA2466992	gtdb207	refKrak	0.2015068685570846	0.5711918163706955	0.2627190812450407	0.1877213800937791
SAMEA2466993	gtdb207	refKrak	0.2089942823622597	0.518311248483256	0.1585419717792894	0.1314318312006168
SAMEA2466995	gtdb207	refKrak	0.1792381791861839	0.5169514917473654	0.1877160380115923	0.0839663259383837
SAMEA2466996	gtdb207	refKrak	0.1933291482944074	0.4953614793278619	0.2054899843344755	0.1304458795520436
SAMEA2466997	gtdb207	refKrak	0.1902238640378268	0.4895657693761893	0.1785942889178014	0.0891669750047039
SAMEA2466998	gtdb207	refKrak	0.2327593692388865	0.3404751232013214	0.2993105254456391	0.1402790463242191
SAMEA2466999	gtdb207	refKrak	0.1724780345240791	0.3776464388624203	0.2564251644633528	0.0971176894410992
SAMEA2467001	gtdb207	refKrak	0.2295354925157004	0.2694452065397354	0.5316940973119068	0.145131871602992
SAMEA2467002	gtdb207	refKrak	0.2543888902849412	0.4303028354008044	0.224105547025219	0.1247173626198032
SAMEA2467003	gtdb207	refKrak	0.1853609751706001	0.4286025401828594	0.1901193500824572	0.1314605545348161
