	space	simu	kraken2 + bracken	metaphlan3	motus3	metaphlan4
SAMEA2466887	gtdb207	refKrak	0.1313368536300005	0.1477662250905861	0.0187490053104188	0.0363129862705734
SAMEA2466888	gtdb207	refKrak	0.1002259132861645	0.1836705994250357	0.034361644862355	0.0609821547266227
SAMEA2466889	gtdb207	refKrak	0.0856557850847347	0.1192948725104902	0.0181631263775696	0.0211712120271653
SAMEA2466890	gtdb207	refKrak	0.1330337318075862	0.1765755008466879	0.0438762019747658	0.0214336641518258
SAMEA2466891	gtdb207	refKrak	0.1265262901923158	0.146230618024561	0.0296896475324009	0.0309434886409691
SAMEA2466892	gtdb207	refKrak	0.1226586421996625	0.1094699534356046	0.0280186267922209	0.0201005805309222
SAMEA2466893	gtdb207	refKrak	0.0648224744044223	0.1098963905358479	0.0177785240354004	0.0139468991757954
SAMEA2466894	gtdb207	refKrak	0.0897061117771399	0.1556283029203635	0.0423737016954818	0.030596447237517
SAMEA2466895	gtdb207	refKrak	0.1239701246135609	0.211313977779061	0.0720464511370246	0.0175910796492594
SAMEA2466896	gtdb207	refKrak	0.0482827120547535	0.0967261180524792	0.021751261478659	0.0115931293206069
SAMEA2466897	gtdb207	refKrak	0.109028142750682	0.1291836687698324	0.0413281306745497	0.0232963762103251
SAMEA2466898	gtdb207	refKrak	0.1531829980301617	0.1907070261565075	0.0283254211509631	0.0376139370708901
SAMEA2466899	gtdb207	refKrak	0.0820711237087739	0.1679191871139657	0.0440725275953028	0.0261659878825661
SAMEA2466900	gtdb207	refKrak	0.0495650216382681	0.1464412218797041	0.0722960415552074	0.0203840919123197
SAMEA2466901	gtdb207	refKrak	0.1188319408544815	0.2016316026300721	0.0392641323369725	0.0163737737496044
SAMEA2466902	gtdb207	refKrak	0.1017334299267143	0.203835818442389	0.0341143748812369	0.0384932777236219
SAMEA2466903	gtdb207	refKrak	0.0816776465222319	0.1267678426762369	0.0430428342741288	0.0209194065013487
SAMEA2466904	gtdb207	refKrak	0.080989508044704	0.1565781534020622	0.029824792262468	0.0228869352928228
SAMEA2466905	gtdb207	refKrak	0.0571161280533039	0.1346854593924448	0.0290287115188421	0.0167283220024563
SAMEA2466906	gtdb207	refKrak	0.1318118569582804	0.160457323810355	0.0243395758267416	0.0368617484557675
SAMEA2466907	gtdb207	refKrak	0.102448865987249	0.1103026822931366	0.0368631428449055	0.0166281327642554
SAMEA2466908	gtdb207	refKrak	0.0851357271672866	0.1373870930811974	0.0415040514134989	0.0229570823219853
SAMEA2466910	gtdb207	refKrak	0.0663872097112908	0.120414592291899	0.0436246826740571	0.0209394019062014
SAMEA2466911	gtdb207	refKrak	0.0932668750677292	0.1612743813826641	0.0425846055050342	0.0319123491231715
SAMEA2466912	gtdb207	refKrak	0.098209969322459	0.0738782330275452	0.042018797262131	0.014455667542389
SAMEA2466913	gtdb207	refKrak	0.1199458024375613	0.2055496296809007	0.05676829980988	0.0361105705613624
SAMEA2466914	gtdb207	refKrak	0.0963695675754195	0.1107385489980128	0.0522987688752771	0.0265927967888757
SAMEA2466915	gtdb207	refKrak	0.1013646240888834	0.3234546990105265	0.0577768298797648	0.0475215206101411
SAMEA2466916	gtdb207	refKrak	0.0937192240274143	0.1469146870267228	0.035361842339089	0.0176900085767103
SAMEA2466917	gtdb207	refKrak	0.0401764152380828	0.0434164824849673	0.0500602704738857	0.0155247211699114
SAMEA2466918	gtdb207	refKrak	0.1310856953252593	0.198752044084489	0.0512542057001111	0.1078262770549013
SAMEA2466921	gtdb207	refKrak	0.098514175067095	0.1287722455742909	0.0467168780473521	0.0171064053969291
SAMEA2466922	gtdb207	refKrak	0.0700829847662657	0.4189473566324863	0.0333278788533248	0.0282073298856813
SAMEA2466923	gtdb207	refKrak	0.1005776400864965	0.1752328250802049	0.0487622037446674	0.0578298060422066
SAMEA2466924	gtdb207	refKrak	0.0979988741296084	0.1406434065179716	0.0293206719606419	0.0165650638656968
SAMEA2466925	gtdb207	refKrak	0.1240652137998765	0.1529466297086028	0.042916341555452	0.0284869435097445
SAMEA2466926	gtdb207	refKrak	0.1476520804076281	0.1658278501081216	0.0773284136042115	0.0224080463201087
SAMEA2466927	gtdb207	refKrak	0.1155487319017986	0.177246120739499	0.0291189497054165	0.032641386367186
SAMEA2466928	gtdb207	refKrak	0.1065382135989165	0.1400991662339477	0.0356251292552202	0.0379899548731874
SAMEA2466930	gtdb207	refKrak	0.1425920994306179	0.1185481468508658	0.0391261718609915	0.0235391986229546
SAMEA2466931	gtdb207	refKrak	0.0998658926307095	0.1749484948960798	0.038878634266143	0.0285679312305596
SAMEA2466932	gtdb207	refKrak	0.1485080293872946	0.228534437518657	0.048898570905392	0.0310889185411907
SAMEA2466933	gtdb207	refKrak	0.0924232609764854	0.1674988646237714	0.0457822549342756	0.037193176816638
SAMEA2466934	gtdb207	refKrak	0.1391861157855285	0.2631572849229503	0.0411904352978766	0.039269214192532
SAMEA2466935	gtdb207	refKrak	0.0843136410600666	0.1215056281076119	0.0280466922261839	0.01473063155714
SAMEA2466936	gtdb207	refKrak	0.1282842047045287	0.1565177275206697	0.0648903827896355	0.0537805820800986
SAMEA2466937	gtdb207	refKrak	0.1109343428946981	0.1824736564926096	0.0351943806656408	0.0297087251256889
SAMEA2466938	gtdb207	refKrak	0.0888345757715226	0.1208465061088395	0.0622687261009287	0.0348481018910193
SAMEA2466939	gtdb207	refKrak	0.1039396746657987	0.2258456395191488	0.0506393401595715	0.0305677690167798
SAMEA2466940	gtdb207	refKrak	0.1060982029297211	0.1702811550362768	0.048178504890721	0.0400164867826179
SAMEA2466941	gtdb207	refKrak	0.1144340968401522	0.1743119514822006	0.041047899161259	0.0341398231252272
SAMEA2466942	gtdb207	refKrak	0.0772628970491104	0.1417156666406457	0.0247079406474705	0.0231579663565205
SAMEA2466943	gtdb207	refKrak	0.0667290629616505	0.256298678103147	0.0238695664542877	0.0210703201999817
SAMEA2466944	gtdb207	refKrak	0.1150856832964516	0.1111482259188897	0.035195141268791	0.0397761281016652
SAMEA2466945	gtdb207	refKrak	0.1001454214153918	0.2241113687624389	0.0331934602359358	0.021895041225561
SAMEA2466946	gtdb207	refKrak	0.1307334704769787	0.1711624030402195	0.0517169381772641	0.0403943793156649
SAMEA2466947	gtdb207	refKrak	0.1224697892930462	0.1902061934261054	0.0452114614137039	0.0275613330679334
SAMEA2466948	gtdb207	refKrak	0.1054068402729207	0.1786604996213677	0.0294239726168516	0.0214868023547067
SAMEA2466949	gtdb207	refKrak	0.10635848140744	0.1529810539650093	0.0344662823623623	0.0381562576623737
SAMEA2466950	gtdb207	refKrak	0.0744983974092559	0.1874341125062092	0.0165069921397413	0.0153715839202083
SAMEA2466951	gtdb207	refKrak	0.0867872898980419	0.1549083191069244	0.0471801049017101	0.0205849921699081
SAMEA2466952	gtdb207	refKrak	0.0876424816315261	0.1292252256978055	0.0253616066710388	0.0177184028116476
SAMEA2466953	gtdb207	refKrak	0.092707968932647	0.1754766512671209	0.0301474915330462	0.0196764230957664
SAMEA2466954	gtdb207	refKrak	0.0975187270793119	0.1739448803731709	0.0431099435360146	0.0349071701246535
SAMEA2466955	gtdb207	refKrak	0.1102514850099564	0.1714215025858106	0.0522684710166912	0.0281431757229909
SAMEA2466956	gtdb207	refKrak	0.0917343536612497	0.1235804469691289	0.0191957921222287	0.0084396468501092
SAMEA2466957	gtdb207	refKrak	0.1300925874620629	0.1387941521439855	0.0275060914396559	0.0310207059546978
SAMEA2466958	gtdb207	refKrak	0.0995058594587544	0.1473098974781411	0.0374599708561562	0.0198319382250139
SAMEA2466959	gtdb207	refKrak	0.0900150562261081	0.1810135167776802	0.0215657159757332	0.0331331124410466
SAMEA2466960	gtdb207	refKrak	0.1371509404930907	0.1803751325639584	0.0886006561629161	0.0406516122572547
SAMEA2466961	gtdb207	refKrak	0.1159311032202348	0.1592734173726313	0.027240909479852	0.0284482248586738
SAMEA2466962	gtdb207	refKrak	0.0905543076534769	0.1644335721087038	0.0381005881585095	0.0255497419662988
SAMEA2466963	gtdb207	refKrak	0.1059831997118974	0.1594252976405306	0.0273497454824011	0.0230490451589022
SAMEA2466964	gtdb207	refKrak	0.1201128744769462	0.1818773984625665	0.028187125823144	0.033110570124067
SAMEA2466965	gtdb207	refKrak	0.0748509999502402	0.1703589574703671	0.0298303299161143	0.0225848532999746
SAMEA2466966	gtdb207	refKrak	0.1279271865924391	0.1539444746579988	0.0530133222890241	0.0257287678106049
SAMEA2466967	gtdb207	refKrak	0.0891574146992238	0.1642858350530671	0.0311165280715084	0.0274862821481963
SAMEA2466968	gtdb207	refKrak	0.0623078631897544	0.1385736506293865	0.0453735401366443	0.0256205977319992
SAMEA2466969	gtdb207	refKrak	0.0717248597521716	0.0944211545180746	0.0324319644965651	0.0249973354111498
SAMEA2466970	gtdb207	refKrak	0.0604998280286142	0.1240008948188597	0.036933921185095	0.0265785065197431
SAMEA2466971	gtdb207	refKrak	0.0778853430241508	0.1734550324961972	0.0263453006613624	0.0341407657186889
SAMEA2466972	gtdb207	refKrak	0.1425836650594791	0.2478657633684415	0.043331974333649	0.0342511659820319
SAMEA2466973	gtdb207	refKrak	0.1135448126929737	0.1987667232098788	0.0422722653502043	0.0305931992069672
SAMEA2466974	gtdb207	refKrak	0.0971849363564941	0.1559526963698893	0.0504324670032864	0.0305123730294685
SAMEA2466975	gtdb207	refKrak	0.1004862998779637	0.1089440625601316	0.0460945922060135	0.0182587510366533
SAMEA2466976	gtdb207	refKrak	0.1202227134241081	0.189497912610689	0.0346169545303191	0.0336030249286832
SAMEA2466977	gtdb207	refKrak	0.111588579188358	0.1445638740097894	0.0296500306409415	0.0250361342115426
SAMEA2466979	gtdb207	refKrak	0.1117384091828164	0.1391423138395904	0.0436906677009224	0.0329966909927928
SAMEA2466980	gtdb207	refKrak	0.0922935361413741	0.1455080757866686	0.0445111533021968	0.0202281021840304
SAMEA2466981	gtdb207	refKrak	0.1189080907861458	0.2212039850819323	0.023262651823489	0.0248471462292464
SAMEA2466983	gtdb207	refKrak	0.0734567377192236	0.1452894109496419	0.0461530313871701	0.0156657640573343
SAMEA2466984	gtdb207	refKrak	0.0927077536772527	0.1703666179248322	0.0304033162636463	0.0429683608393327
SAMEA2466986	gtdb207	refKrak	0.1323784971113487	0.1511604054084716	0.0278552213745621	0.0323733143653586
SAMEA2466987	gtdb207	refKrak	0.0951870909824734	0.1575935673718483	0.0308921639989953	0.0273093108746176
SAMEA2466988	gtdb207	refKrak	0.0701955160596958	0.1857351478380896	0.0372934336461653	0.0216528207735744
SAMEA2466989	gtdb207	refKrak	0.1446583056404675	0.1884204894226081	0.0312937980906038	0.0398620721491761
SAMEA2466991	gtdb207	refKrak	0.1184069824721114	0.2084700487861268	0.0355440598062042	0.0243415107207857
SAMEA2466992	gtdb207	refKrak	0.0778802446262079	0.1032588977078734	0.0264284894233605	0.0267883090029831
SAMEA2466993	gtdb207	refKrak	0.1368993038180484	0.2702325435898999	0.0328226676940258	0.0191470645639455
SAMEA2466995	gtdb207	refKrak	0.1067454771087988	0.1648374460772549	0.0459591699431505	0.0247892209095981
SAMEA2466996	gtdb207	refKrak	0.0817743513001927	0.1354364732308892	0.0260800448499571	0.0339007328008177
SAMEA2466997	gtdb207	refKrak	0.097428438289974	0.233020869396705	0.0322594917790853	0.0238497302666273
SAMEA2466998	gtdb207	refKrak	0.0867657675397398	0.0964327388664375	0.0368182511535459	0.01960889494652
SAMEA2466999	gtdb207	refKrak	0.0885477718620443	0.1377359207687697	0.0421602835312205	0.0261304829603225
SAMEA2467001	gtdb207	refKrak	0.1103827408063047	0.0911084387949241	0.0755223645312766	0.0380212054114713
SAMEA2467002	gtdb207	refKrak	0.1410462349036798	0.1862453388264983	0.0350451310482219	0.0256031967201442
SAMEA2467003	gtdb207	refKrak	0.0964166955929297	0.1171832852191387	0.0277484456632939	0.0193075496665421
SAMEA2467004	gtdb207	refKrak	0.1026466220157469	0.1405916995240702	0.0468425297029949	0.0197964832474027
SAMEA2467006	gtdb207	refKrak	0.0731690085561765	0.1254525478253188	0.0372016777947445	0.0209884205571987
SAMEA2467008	gtdb207	refKrak	0.0955699129652985	0.0935745595639471	0.0398460827679826	0.0613801683644603
SAMEA2467009	gtdb207	refKrak	0.0964876144855508	0.0502678248298952	0.044364572462759	0.0219320094897906
SAMEA2467010	gtdb207	refKrak	0.0680268951657336	0.070592966144452	0.0179027387290677	0.0200564760110509
SAMEA2467011	gtdb207	refKrak	0.1099986941152415	0.1473636404696405	0.0354600002908147	0.0212925713859338
SAMEA2467012	gtdb207	refKrak	0.1034564120183793	0.1561822751940675	0.0301472638575317	0.0270730968331395
SAMEA2467013	gtdb207	refKrak	0.1059606176028373	0.149022371348319	0.0296329852099294	0.0268861730086713
SAMEA2467014	gtdb207	refKrak	0.1138864360973239	0.1956844579570399	0.0334524099391032	0.0177822883839325
SAMEA2467015	gtdb207	refKrak	0.07806264421837	0.1453793865813159	0.0253500554921921	0.0303262061573709
SAMEA2467016	gtdb207	refKrak	0.0949752340833327	0.0971191621264336	0.0245400837262257	0.0322541256241795
SAMEA2467017	gtdb207	refKrak	0.104432347102475	0.1422415711999115	0.0394099164117249	0.0402358451136219
SAMEA2467018	gtdb207	refKrak	0.0867885043853751	0.1377000192734142	0.0336195465112854	0.0364834618970547
SAMEA2467019	gtdb207	refKrak	0.0824248773995998	0.1472803765196028	0.0305793964281957	0.0312407784268594
SAMEA2467020	gtdb207	refKrak	0.0876110345603845	0.1513993668054445	0.0261408617454399	0.0294071772351938
SAMEA2467021	gtdb207	refKrak	0.1134514851338148	0.1851521984095413	0.0323427680962048	0.0220637589278439
SAMEA2467022	gtdb207	refKrak	0.0817488286593772	0.1914913115808049	0.0506817009403132	0.0242395162085013
SAMEA2467023	gtdb207	refKrak	0.1207012125069102	0.1319157065279843	0.0640747232315476	0.0371772035580786
SAMEA2467024	gtdb207	refKrak	0.1558215347174742	0.2589484169438759	0.0445364620690685	0.0254018976427061
SAMEA2467025	gtdb207	refKrak	0.0895784884880409	0.1394467577094159	0.0279373229885544	0.0236324049699452
SAMEA2467026	gtdb207	refKrak	0.11838235212522	0.1262087694886584	0.0361016494148076	0.019986361109934
SAMEA2467027	gtdb207	refKrak	0.1356828639116257	0.1859588004294328	0.0388896645720873	0.0261711465485949
SAMEA2467028	gtdb207	refKrak	0.0975613148185056	0.1751553711100158	0.038576704507827	0.024078753742467
SAMEA2467029	gtdb207	refKrak	0.0815415940552034	0.2067644942982114	0.026088965941916	0.0697217130016155
SAMEA2467030	gtdb207	refKrak	0.0648393202259473	0.156915238203158	0.0310489112772591	0.026049051294385
SAMEA2467031	gtdb207	refKrak	0.0805864429796115	0.1395252030358789	0.0323777987495371	0.0418164532732941
SAMEA2467032	gtdb207	refKrak	0.1124918458173327	0.1555656917869834	0.0863300627601611	0.0213967066312984
SAMEA2467033	gtdb207	refKrak	0.1276742461620436	0.1085423796384989	0.0695945060411116	0.0256254132071887
SAMEA2467034	gtdb207	refKrak	0.146150412381565	0.1559998934245875	0.0469717505379558	0.0375327211855649
SAMEA2467035	gtdb207	refKrak	0.1292996798159959	0.1730556107033513	0.033235215959149	0.041319944097928
SAMEA2467036	gtdb207	refKrak	0.1334622585914859	0.2184753683400244	0.0465529484529558	0.0327531052122976
SAMEA2467037	gtdb207	refKrak	0.1014456240048749	0.1331859895936593	0.0310037203471879	0.0203752734278557
SAMEA2467038	gtdb207	refKrak	0.0907330446997433	0.1521934866464209	0.0752285179082639	0.0131111923938227
SAMEA2467039	gtdb207	refKrak	0.0947405345499203	0.2116101198352006	0.0433364676888779	0.0287501233916969
SAMEA2467040	gtdb207	refKrak	0.1165128456672842	0.1850235640290939	0.0673191707525105	0.0218977786712443
SAMEA2467041	gtdb207	refKrak	0.1006650280208648	0.1611847443099047	0.0306157345579928	0.0315128816408912
SAMEA2467042	gtdb207	refKrak	0.1208918460587659	0.1613018356768187	0.0435006604973122	0.0531136081956508
SAMEA2467043	gtdb207	refKrak	0.0805283750932003	0.1010144710176115	0.0545958954235375	0.0158850080885309
SAMEA2467044	gtdb207	refKrak	0.1041012941832985	0.1766815808324465	0.0234809317263951	0.0228210689125826
SAMEA2467045	gtdb207	refKrak	0.0984374872312222	0.1335677565393837	0.0375809405767425	0.0329003779899163
SAMEA2467046	gtdb207	refKrak	0.1111587348190094	0.2329044652927256	0.0325859621618769	0.0224052993148325
SAMEA2467047	gtdb207	refKrak	0.0833808531523194	0.1009931263965098	0.048878862881201	0.0138688833815553
