sample	stat	space	simu	reference	motus3	metaphlan4	metaphlan3	kraken2
SAMEA2466922	Kept_abundance	gtdb207	refKrak	1.0	0.9991994008314384	1.0	1.0	1.0
SAMEA2466922	Kept_mOTUs	gtdb207	refKrak	341.0	313.0	283.0	98.0	508.0
SAMEA2466922	Raw_mOTUs	gtdb207	refKrak	341.0	316.0	283.0	98.0	508.0
SAMEA2466922	Lost_mOTUs	gtdb207	refKrak	0.0	3.0	0.0	0.0	0.0
SAMEA2466922	Lost_abundance	gtdb207	refKrak	0.0	0.0008005991685614	0.0	1.1102230246251563e-16	0.0
SAMEA2466922	Lost_mOTUs_frac	gtdb207	refKrak	0.0	0.0094936708860759	0.0	0.0	0.0
SAMEA3136635	Kept_abundance	gtdb207	refKrak	1.0	1.0	1.0	1.0000000000000002	1.0000000000000002
SAMEA3136635	Kept_mOTUs	gtdb207	refKrak	320.0	291.0	245.0	115.0	511.0
SAMEA3136635	Raw_mOTUs	gtdb207	refKrak	320.0	291.0	245.0	115.0	511.0
SAMEA3136635	Lost_mOTUs	gtdb207	refKrak	0.0	0.0	0.0	0.0	0.0
SAMEA3136635	Lost_abundance	gtdb207	refKrak	0.0	0.0	1.1102230246251563e-16	-2.220446049250313e-16	-2.220446049250313e-16
SAMEA3136635	Lost_mOTUs_frac	gtdb207	refKrak	0.0	0.0	0.0	0.0	0.0
SAMEA2467056	Kept_abundance	gtdb207	refKrak	1.0	1.0000000000000002	1.0	0.9999999999999998	0.9999999999999998
SAMEA2467056	Kept_mOTUs	gtdb207	refKrak	522.0	495.0	412.0	165.0	679.0
SAMEA2467056	Raw_mOTUs	gtdb207	refKrak	522.0	495.0	412.0	165.0	679.0
SAMEA2467056	Lost_mOTUs	gtdb207	refKrak	0.0	0.0	0.0	0.0	0.0
SAMEA2467056	Lost_abundance	gtdb207	refKrak	0.0	-2.220446049250313e-16	0.0	2.220446049250313e-16	2.220446049250313e-16
SAMEA2467056	Lost_mOTUs_frac	gtdb207	refKrak	0.0	0.0	0.0	0.0	0.0
SAMEA3136711	Kept_abundance	gtdb207	refKrak	1.0000000000000002	0.9998432622821372	1.0	1.0	0.9999999999999998
SAMEA3136711	Kept_mOTUs	gtdb207	refKrak	328.0	314.0	268.0	96.0	507.0
SAMEA3136711	Raw_mOTUs	gtdb207	refKrak	328.0	315.0	268.0	96.0	507.0
SAMEA3136711	Lost_mOTUs	gtdb207	refKrak	0.0	1.0	0.0	0.0	0.0
SAMEA3136711	Lost_abundance	gtdb207	refKrak	-2.220446049250313e-16	0.0001567377178627	0.0	0.0	2.220446049250313e-16
SAMEA3136711	Lost_mOTUs_frac	gtdb207	refKrak	0.0	0.0031746031746031	0.0	0.0	0.0
SAMEA3136712	Kept_abundance	gtdb207	refKrak	1.0	1.0	1.0	1.0	1.0
SAMEA3136712	Kept_mOTUs	gtdb207	refKrak	370.0	320.0	287.0	110.0	487.0
SAMEA3136712	Raw_mOTUs	gtdb207	refKrak	370.0	320.0	287.0	110.0	487.0
SAMEA3136712	Lost_mOTUs	gtdb207	refKrak	0.0	0.0	0.0	0.0	0.0
SAMEA3136712	Lost_abundance	gtdb207	refKrak	1.1102230246251563e-16	1.1102230246251563e-16	0.0	1.1102230246251563e-16	0.0
SAMEA3136712	Lost_mOTUs_frac	gtdb207	refKrak	0.0	0.0	0.0	0.0	0.0
SAMEA2467068	Kept_abundance	gtdb207	refKrak	0.9999999999999998	0.9997113132300156	1.0	1.0	1.0
SAMEA2467068	Kept_mOTUs	gtdb207	refKrak	494.0	332.0	272.0	126.0	556.0
SAMEA2467068	Raw_mOTUs	gtdb207	refKrak	494.0	333.0	272.0	126.0	556.0
SAMEA2467068	Lost_mOTUs	gtdb207	refKrak	0.0	1.0	0.0	0.0	0.0
SAMEA2467068	Lost_abundance	gtdb207	refKrak	2.220446049250313e-16	0.0002886867699842	0.0	0.0	1.1102230246251563e-16
SAMEA2467068	Lost_mOTUs_frac	gtdb207	refKrak	0.0	0.003003003003003	0.0	0.0	0.0
SAMEA2467065	Kept_abundance	gtdb207	refKrak	1.0	0.9988396636025124	1.0	1.0	0.9999999999999996
SAMEA2467065	Kept_mOTUs	gtdb207	refKrak	597.0	543.0	487.0	175.0	711.0
SAMEA2467065	Raw_mOTUs	gtdb207	refKrak	597.0	545.0	487.0	175.0	711.0
SAMEA2467065	Lost_mOTUs	gtdb207	refKrak	0.0	2.0	0.0	0.0	0.0
SAMEA2467065	Lost_abundance	gtdb207	refKrak	0.0	0.0011603363974874	0.0	1.1102230246251563e-16	3.3306690738754696e-16
SAMEA2467065	Lost_mOTUs_frac	gtdb207	refKrak	0.0	0.0036697247706422	0.0	0.0	0.0
SAMEA3136680	Kept_abundance	gtdb207	refKrak	1.0	1.0	1.0	1.0	1.0
SAMEA3136680	Kept_mOTUs	gtdb207	refKrak	554.0	489.0	419.0	190.0	692.0
SAMEA3136680	Raw_mOTUs	gtdb207	refKrak	554.0	489.0	419.0	190.0	692.0
SAMEA3136680	Lost_mOTUs	gtdb207	refKrak	0.0	0.0	0.0	0.0	0.0
SAMEA3136680	Lost_abundance	gtdb207	refKrak	0.0	0.0	0.0	0.0	1.1102230246251563e-16
SAMEA3136680	Lost_mOTUs_frac	gtdb207	refKrak	0.0	0.0	0.0	0.0	0.0
SAMEA3136708	Kept_abundance	gtdb207	refKrak	1.0	0.999107430204425	1.0	1.0	0.9999999999999998
SAMEA3136708	Kept_mOTUs	gtdb207	refKrak	289.0	270.0	216.0	90.0	604.0
SAMEA3136708	Raw_mOTUs	gtdb207	refKrak	289.0	272.0	216.0	90.0	604.0
SAMEA3136708	Lost_mOTUs	gtdb207	refKrak	0.0	2.0	0.0	0.0	0.0
SAMEA3136708	Lost_abundance	gtdb207	refKrak	0.0	0.0008925697955749	0.0	0.0	2.220446049250313e-16
SAMEA3136708	Lost_mOTUs_frac	gtdb207	refKrak	0.0	0.0073529411764705	0.0	0.0	0.0
SAMEA2467032	Kept_abundance	gtdb207	refKrak	1.0	1.0	1.0	1.0	1.0
SAMEA2467032	Kept_mOTUs	gtdb207	refKrak	299.0	254.0	225.0	103.0	406.0
SAMEA2467032	Raw_mOTUs	gtdb207	refKrak	299.0	254.0	225.0	103.0	406.0
SAMEA2467032	Lost_mOTUs	gtdb207	refKrak	0.0	0.0	0.0	0.0	0.0
SAMEA2467032	Lost_abundance	gtdb207	refKrak	1.1102230246251563e-16	0.0	0.0	0.0	0.0
SAMEA2467032	Lost_mOTUs_frac	gtdb207	refKrak	0.0	0.0	0.0	0.0	0.0
SAMEA2467085	Kept_abundance	gtdb207	refKrak	0.9999999999999998	0.9997009402631272	0.9999999999999998	1.0	1.0
SAMEA2467085	Kept_mOTUs	gtdb207	refKrak	735.0	443.0	315.0	137.0	636.0
SAMEA2467085	Raw_mOTUs	gtdb207	refKrak	735.0	444.0	315.0	137.0	636.0
SAMEA2467085	Lost_mOTUs	gtdb207	refKrak	0.0	1.0	0.0	0.0	0.0
SAMEA2467085	Lost_abundance	gtdb207	refKrak	2.220446049250313e-16	0.0002990597368728	2.220446049250313e-16	0.0	1.1102230246251563e-16
SAMEA2467085	Lost_mOTUs_frac	gtdb207	refKrak	0.0	0.0022522522522522	0.0	0.0	0.0
SAMEA2466902	Kept_abundance	gtdb207	refKrak	1.0	1.0	1.0000000000000002	1.0	1.0000000000000002
SAMEA2466902	Kept_mOTUs	gtdb207	refKrak	512.0	466.0	410.0	173.0	653.0
SAMEA2466902	Raw_mOTUs	gtdb207	refKrak	512.0	466.0	410.0	173.0	653.0
SAMEA2466902	Lost_mOTUs	gtdb207	refKrak	0.0	0.0	0.0	0.0	0.0
SAMEA2466902	Lost_abundance	gtdb207	refKrak	0.0	0.0	-2.220446049250313e-16	0.0	-2.220446049250313e-16
SAMEA2466902	Lost_mOTUs_frac	gtdb207	refKrak	0.0	0.0	0.0	0.0	0.0
SAMEA3178939	Kept_abundance	gtdb207	refKrak	1.0	0.9991784567965144	1.0000000000000002	1.0	1.0
SAMEA3178939	Kept_mOTUs	gtdb207	refKrak	444.0	422.0	369.0	158.0	637.0
SAMEA3178939	Raw_mOTUs	gtdb207	refKrak	444.0	424.0	369.0	158.0	637.0
SAMEA3178939	Lost_mOTUs	gtdb207	refKrak	0.0	2.0	0.0	0.0	0.0
SAMEA3178939	Lost_abundance	gtdb207	refKrak	0.0	0.0008215432034857	-2.220446049250313e-16	0.0	1.1102230246251563e-16
SAMEA3178939	Lost_mOTUs_frac	gtdb207	refKrak	0.0	0.0047169811320754	0.0	0.0	0.0
SAMEA2467021	Kept_abundance	gtdb207	refKrak	1.0	0.9992967011978682	1.0	1.0	1.0
SAMEA2467021	Kept_mOTUs	gtdb207	refKrak	597.0	539.0	481.0	191.0	737.0
SAMEA2467021	Raw_mOTUs	gtdb207	refKrak	597.0	541.0	481.0	191.0	737.0
SAMEA2467021	Lost_mOTUs	gtdb207	refKrak	0.0	2.0	0.0	0.0	0.0
SAMEA2467021	Lost_abundance	gtdb207	refKrak	1.1102230246251563e-16	0.0007032988021318	0.0	1.1102230246251563e-16	0.0
SAMEA2467021	Lost_mOTUs_frac	gtdb207	refKrak	0.0	0.0036968576709796	0.0	0.0	0.0
SAMEA2467070	Kept_abundance	gtdb207	refKrak	1.0	0.9994213753097791	1.0	0.9999999999999998	0.9999999999999998
SAMEA2467070	Kept_mOTUs	gtdb207	refKrak	519.0	475.0	401.0	164.0	653.0
SAMEA2467070	Raw_mOTUs	gtdb207	refKrak	519.0	477.0	401.0	164.0	653.0
SAMEA2467070	Lost_mOTUs	gtdb207	refKrak	0.0	2.0	0.0	0.0	0.0
SAMEA2467070	Lost_abundance	gtdb207	refKrak	1.1102230246251563e-16	0.0005786246902208	0.0	2.220446049250313e-16	2.220446049250313e-16
