	simu	space	L1	L2	JSD	Mantel (Pearson)	Mantel (Spearman)
kraken2 + bracken	refKrak	gtdb207	1191901.2748090017	5888.965592347364	0.0230889269680926	0.8217040227461623	0.8169050561102325
metaphlan3	refKrak	gtdb207	4652488.31877899	19347.967879769425	0.0177949298743668	0.867809690349437	0.8580860860642068
motus3	refKrak	gtdb207	363733.225388884	1695.3900322622137	0.0064197330298787	0.9811433919702944	0.980852082790462
metaphlan4	refKrak	gtdb207	1328676.615482726	5623.134287705396	0.0109819871055697	0.9549309888134913	0.9516457981246176
kraken2 + bracken	refKrak	uhgg	631723.4161869966	3057.379346301677	0.0220916325773255	0.8341372263208051	0.82848531974453
metaphlan3	refKrak	uhgg	4681176.281017268	19491.6084658248	0.0202631633401507	0.8339997696437504	0.823022015131634
motus3	refKrak	uhgg	522871.69202845136	2333.719235964143	0.0067027749582595	0.9797581514349718	0.9795865198181426
metaphlan4	refKrak	uhgg	1572940.875747546	6624.61819945906	0.0112786884453135	0.9528068227351276	0.9494552580443336
kraken2 + bracken	refMet4	gtdb207	2594582.208968019	11162.101930100382	0.027199653394988	0.7205545128922917	0.7011792023020662
metaphlan3	refMet4	gtdb207	2566801.580471081	10789.000060002014	0.0191013199253492	0.8561977697818461	0.8374120631654449
motus3	refMet4	gtdb207	101118.08551763798	522.6174576538667	0.0051104399447505	0.990375316531807	0.9886697316023928
metaphlan4	refMet4	gtdb207	248221.1530108903	1110.7501829819143	0.0046379092651143	0.992387621139554	0.9909244803886776
kraken2 + bracken	refMet4	uhgg	1414379.073753697	6394.40248837138	0.0247072567650801	0.7730912727069305	0.753829059297405
metaphlan3	refMet4	uhgg	2301116.7160063214	9757.97842544155	0.0226640486461838	0.7969276650634003	0.7751181041138442
motus3	refMet4	uhgg	111079.78190360546	570.46442199768	0.0051639963839933	0.990256639133234	0.9886183728028348
metaphlan4	refMet4	uhgg	265049.48222783767	1173.6512386723382	0.0045319183096656	0.9927746751276816	0.99141061441423
