	simu	space	L1	L2	JSD	Mantel (Pearson)	Mantel (Spearman)
kraken2 + bracken	refKrak	gtdb207	1805.1513430270504	8.99211918962721	0.0335502134191477	0.9779204390091244	0.9755861993096472
metaphlan3	refKrak	gtdb207	3335.445348372275	16.71836561647057	0.0481676484846744	0.9361185181312792	0.9278176652019916
motus3	refKrak	gtdb207	974.1985348736628	5.583260129913213	0.0198188589478014	0.9876402322132412	0.9866325543808984
metaphlan4	refKrak	gtdb207	579.8114551932183	3.2221761327070197	0.0116756933305295	0.9959387060982008	0.9955223880385702
kraken2 + bracken	refKrak	uhgg	1340.0021064142145	6.754605425914984	0.0324368145222398	0.9767295482160148	0.9744783911975952
metaphlan3	refKrak	uhgg	2057.58993169107	10.498058826012889	0.0438503157285347	0.9326247570164306	0.9270669258556604
motus3	refKrak	uhgg	648.246908248492	3.675084951429468	0.0171972406395696	0.9881401212083348	0.987183985420684
metaphlan4	refKrak	uhgg	437.898539185798	2.39762196087612	0.0105629369657294	0.9956743758154848	0.9954492163367802
kraken2 + bracken	refMet4	gtdb207	1595.3063420404274	8.146218906106618	0.0294144072981445	0.9726388554808166	0.968956861304596
metaphlan3	refMet4	gtdb207	3626.443984568809	18.31582249375573	0.0477266579095769	0.9041489823315804	0.8947758554096807
motus3	refMet4	gtdb207	915.30651469269	5.298668358833076	0.018636477408324	0.9841799426485176	0.9831197979358496
metaphlan4	refMet4	gtdb207	341.3735197790418	2.65264261218879	0.0090306176544892	0.9961310957219048	0.9964447702037962
kraken2 + bracken	refMet4	uhgg	1310.5427087632088	6.776240719460763	0.0271763888460336	0.9685325616624854	0.9655062250546628
metaphlan3	refMet4	uhgg	2311.633820130626	11.863700783716196	0.0428106645264835	0.8968916745691666	0.8898408072173272
motus3	refMet4	uhgg	674.2479429565155	3.8082198956471065	0.0164386153606527	0.9836892626434358	0.982835730467518
metaphlan4	refMet4	uhgg	248.74869101112213	1.7549294545634142	0.0070582263409237	0.9968663671653724	0.9970929427183826
