tool	simu	space	q25	q50	q75	iqr
kraken2 + bracken	refMet4	gtdb207	0.0010822398130574	0.0018087909798212	0.0031635145723095497	0.0020812747592521496
kraken2 + bracken	refMet4	uhgg	0.0027411440313996503	0.0060184033521626	0.011173802379777501	0.00843265834837785
kraken2 + bracken	refKrak	gtdb207	0.0049001230679130495	0.007569924300754	0.011069722513873101	0.0061695994459600514
kraken2 + bracken	refKrak	uhgg	0.0240549991524055	0.030397568194541	0.04011640422422445	0.016061405071818954
metaphlan3	refMet4	gtdb207	0.2866918701820098	0.3489472940898556	0.42848337012052484	0.14179149993851503
metaphlan3	refMet4	uhgg	0.2450824018455776	0.3113165514601009	0.37095345291616577	0.12587105107058816
metaphlan3	refKrak	gtdb207	0.32470948000110705	0.3887000000000003	0.4452878316272679	0.12057835162616087
metaphlan3	refKrak	uhgg	0.29088927218810146	0.3475769515390284	0.41286883142821107	0.12197955924010961
motus3	refMet4	gtdb207	0.04637927442234355	0.0678057661601289	0.11581614395626325	0.0694368695339197
motus3	refMet4	uhgg	0.03576735681917875	0.0528688382544423	0.0855516284356598	0.04978427161648105
motus3	refKrak	gtdb207	0.12214829020318765	0.1525254242372655	0.20148794767276368	0.07933965746957602
motus3	refKrak	uhgg	0.1095466416430669	0.1394627892557844	0.1727568953516252	0.06321025370855829
metaphlan4	refMet4	gtdb207	0.0194716681850759	0.0340796710793369	0.06307205474012789	0.043600386555051995
metaphlan4	refMet4	uhgg	0.00094661034898415	0.0013180265133306	0.00173767357399485	0.0007910632250107
metaphlan4	refKrak	gtdb207	0.07263217268119755	0.0958534194787214	0.13483141299919388	0.06219924031799633
metaphlan4	refKrak	uhgg	0.056535278722388005	0.0736877893663154	0.0943231143725832	0.037787835650195195
