tool	simu	space	q25	q50	q75	iqr
kraken2 + bracken	refMet4	gtdb207	0.11895449593605445	0.143622501545411	0.17812557412894856	0.059171078192894105
kraken2 + bracken	refMet4	uhgg	0.0860362065861654	0.1074608645698605	0.13024654901206115	0.04421034242589575
kraken2 + bracken	refKrak	gtdb207	0.05586270978328925	0.0697865353037686	0.08859322776081975	0.0327305179775305
kraken2 + bracken	refKrak	uhgg	0.01245411700106565	0.0166404199475043	0.028027987321749548	0.015573870320683898
metaphlan3	refMet4	gtdb207	0.0158589991718453	0.0356580071316012	0.08113420813883346	0.06527520896698816
metaphlan3	refMet4	uhgg	0.10594411009241986	0.159566058333333	0.22948515744086884	0.12354104734844898
metaphlan3	refKrak	gtdb207	0.01123884845126325	0.0281279028127902	0.0697809464945965	0.05854209804333325
metaphlan3	refKrak	uhgg	0.0031971049662111997	0.0066669183333325	0.0153573576450487	0.0121602526788375
motus3	refMet4	gtdb207	0.046026270908426245	0.0709980805447708	0.11032122800216179	0.06429495709373555
motus3	refMet4	uhgg	0.03913309085994085	0.0586987765923153	0.0869166056936505	0.047783514833709656
motus3	refKrak	gtdb207	0.051964854747126005	0.0792858267927208	0.1179966962458812	0.0660318414987552
motus3	refKrak	uhgg	0.008992492685587699	0.0156533814624059	0.025518475374709748	0.01652598268912205
metaphlan4	refMet4	gtdb207	0.0157623468393056	0.0296243148121567	0.0577274144295985	0.0419650675902929
metaphlan4	refMet4	uhgg	0.0	0.0	0.0	0.0
metaphlan4	refKrak	gtdb207	0.018214649972610353	0.0335210832394579	0.0601598380191977	0.041945188046587346
metaphlan4	refKrak	uhgg	0.00023489994149999998	0.0019886978124323	0.0094006037603229	0.0091657038188229
