tool	simu	space	q25	q50	q75	iqr
kraken2 + bracken	refMet4	gtdb207	0.3078603974264176	0.3659003831347528	0.42271442621875266	0.11485402879233508
kraken2 + bracken	refMet4	uhgg	0.37426122930522243	0.4424951266970274	0.49779485179500227	0.12353362248977984
kraken2 + bracken	refKrak	gtdb207	0.6066182633377468	0.6965517241259215	0.7395169675679726	0.13289870423022576
kraken2 + bracken	refKrak	uhgg	0.7130950955455184	0.7955010224786196	0.8441642365553292	0.13106914100981082
metaphlan3	refMet4	gtdb207	0.8949874685819574	0.9172413792470868	0.9326382885803812	0.03765081999842379
metaphlan3	refMet4	uhgg	0.7976105816142817	0.8207547169037024	0.8458710406278054	0.048260459013523715
metaphlan3	refKrak	gtdb207	0.9329501300000012	0.9455445544086364	0.9574464153150407	0.024496285315039557
metaphlan3	refKrak	uhgg	0.9193115993613867	0.9367088607002082	0.9525418274907451	0.033230228129358386
motus3	refMet4	gtdb207	0.8660901075343703	0.8867924527744155	0.9013240488982076	0.035233941363837284
motus3	refMet4	uhgg	0.8910104507949019	0.9090909090392562	0.9229355203127524	0.03192506951785046
motus3	refKrak	gtdb207	0.9004920688433056	0.917938931280192	0.9278952627635622	0.027403193920256586
motus3	refKrak	uhgg	0.9474685882966047	0.9649681528355104	0.9745300919264615	0.02706150362985671
metaphlan4	refMet4	gtdb207	0.9344830889692453	0.944444444356996	0.9539851784046054	0.019502089435360137
metaphlan4	refMet4	uhgg	0.9999999998742088	0.9999999999342104	0.9999999999530516	7.884271013836042e-11
metaphlan4	refKrak	gtdb207	0.9457034454102378	0.953038674006822	0.9589041095616753	0.013200664151437502
metaphlan4	refKrak	uhgg	0.9902079462812667	0.993166286993322	0.9953271027688553	0.005119156487588539
