tool	simu	space	q25	q50	q75	iqr
kraken2 + bracken	refMet4	gtdb207	0.8737563990762734	0.8965517241070154	0.9127711877194873	0.03901478864321384
kraken2 + bracken	refMet4	uhgg	0.8434436273932584	0.8641975308108519	0.8830246913198654	0.039581063926606985
kraken2 + bracken	refKrak	gtdb207	0.9356077689418785	0.9516806722489144	0.9631742131519566	0.027566444210078145
kraken2 + bracken	refKrak	uhgg	0.8313559066760414	0.8515497552879029	0.8705918837313213	0.039235977055279925
metaphlan3	refMet4	gtdb207	0.36582395668743994	0.3962264150756497	0.43384860190839125	0.06802464522095131
metaphlan3	refMet4	uhgg	0.3921005891343581	0.4251012145576882	0.47075923389985613	0.07865864476549805
metaphlan3	refKrak	gtdb207	0.2813191736011563	0.3021276595680398	0.32965887158693463	0.04833969798577831
metaphlan3	refKrak	uhgg	0.3022533397664854	0.3290598290527978	0.3638730988559018	0.061619759089416415
motus3	refMet4	gtdb207	0.7619813198347879	0.7852564102312417	0.8120912238302059	0.05010990399541804
motus3	refMet4	uhgg	0.7821147498921055	0.8055555555108024	0.8265132398668407	0.04439848997473517
motus3	refKrak	gtdb207	0.7518491164599403	0.7929824561125269	0.8169184380530448	0.06506932159310441
motus3	refKrak	uhgg	0.7704231060763336	0.811538461522855	0.8337380939716361	0.06331498789530254
metaphlan4	refMet4	gtdb207	0.7774024023452872	0.8053892215327727	0.8289221864012177	0.051519784055930495
metaphlan4	refMet4	uhgg	0.8231283422099899	0.848484848399143	0.8714796489723784	0.048351306762388524
metaphlan4	refKrak	gtdb207	0.7441848390308066	0.7923387096614448	0.8224396217638081	0.07825478273300157
metaphlan4	refKrak	uhgg	0.7446319408872843	0.7968127489722385	0.8234923927923403	0.07886045190505597
