tool	simu	space	q25	q50	q75	iqr
kraken2 + bracken	refMet4	gtdb207	0.19705052828715658	0.2170894900529433	0.24283905658561206	0.04578852829845548
kraken2 + bracken	refMet4	uhgg	0.17801632447790866	0.1957184487086345	0.21940640933245015	0.04139008485454149
kraken2 + bracken	refKrak	gtdb207	0.18268553838444251	0.1971857655212539	0.2158784489707892	0.033192910586346686
kraken2 + bracken	refKrak	uhgg	0.17702989685870923	0.1925055752066155	0.21376816733385456	0.03673827047514533
metaphlan3	refMet4	gtdb207	0.3764601547641516	0.4361443201449593	0.5126308367878065	0.1361706820236549
metaphlan3	refMet4	uhgg	0.400012568821728	0.4438471391539109	0.4902573874019127	0.09024481858018474
metaphlan3	refKrak	gtdb207	0.4295885315046265	0.4907443360912117	0.5579901829738182	0.1284016514691917
metaphlan3	refKrak	uhgg	0.4155064352519644	0.4567907020246608	0.5093050193261281	0.09379858407416375
motus3	refMet4	gtdb207	0.11743646045624115	0.1476372345953581	0.19995262638729736	0.0825161659310562
motus3	refMet4	uhgg	0.11653527392931026	0.1400432421410094	0.17484414218437475	0.05830886825506448
motus3	refKrak	gtdb207	0.1851266196746829	0.2176695414963248	0.27426997353682325	0.08914335386214034
motus3	refKrak	uhgg	0.1753259906453313	0.2022985625249316	0.24127389310869335	0.06594790246336205
metaphlan4	refMet4	gtdb207	0.040789428709125095	0.0556404881238193	0.0831182075761255	0.0423287788670004
metaphlan4	refMet4	uhgg	0.0214377806612873	0.0256074399268863	0.028773381860121003	0.007335601198833704
metaphlan4	refKrak	gtdb207	0.1047503515412739	0.1285650221800812	0.16820096233220588	0.06345061079093198
metaphlan4	refKrak	uhgg	0.0869046421596778	0.1028610380195866	0.12277404040011636	0.035869398240438555
