tool	simu	space	q25	q50	q75	iqr
simulation	refMet4	gtdb207	0.0	0.0	0.0	0.0
simulation	refMet4	uhgg	0.0	0.0	0.0	0.0
simulation	refKrak	gtdb207	0.0	0.0	1.1102230246251563e-16	1.1102230246251563e-16
simulation	refKrak	uhgg	0.0	0.0	0.0	0.0
motus3	refMet4	gtdb207	0.0	0.0	0.00027669257423275004	0.00027669257423275004
motus3	refMet4	uhgg	0.0	0.0	0.0	0.0
motus3	refKrak	gtdb207	1.1102230246251563e-16	0.0004451014967987	0.00085329178955535	0.000853291789555239
motus3	refKrak	uhgg	0.0	1.1102230246251563e-16	0.00012785171194745	0.00012785171194745
metaphlan4	refMet4	gtdb207	0.0	0.0	0.0	0.0
metaphlan4	refMet4	uhgg	0.0	0.0	0.0	0.0
metaphlan4	refKrak	gtdb207	0.0	0.0	0.0	0.0
metaphlan4	refKrak	uhgg	0.0	0.0	0.0	0.0
metaphlan3	refMet4	gtdb207	0.0	0.0	0.0	0.0
metaphlan3	refMet4	uhgg	0.0	0.0	0.0	0.0
metaphlan3	refKrak	gtdb207	0.0	0.0	1.1102230246251563e-16	1.1102230246251563e-16
metaphlan3	refKrak	uhgg	0.0	0.0	1.1102230246251563e-16	1.1102230246251563e-16
kraken2 + bracken	refMet4	gtdb207	0.0	0.0	1.1102230246251563e-16	1.1102230246251563e-16
kraken2 + bracken	refMet4	uhgg	0.0249200936522671	0.0304186430191794	0.038234067702637445	0.013313974050370346
kraken2 + bracken	refKrak	gtdb207	0.0	0.0	1.1102230246251563e-16	1.1102230246251563e-16
kraken2 + bracken	refKrak	uhgg	0.031256447286981695	0.0377338984803061	0.04524588834654275	0.013989441059561056
